Date,ADP
2010-01-04,25.898799896240234
2010-01-05,25.759721755981445
2010-01-06,25.69924545288086
2010-01-07,25.68715476989746
2010-01-08,25.65087127685547
2010-01-11,25.76576042175293
2010-01-12,25.584354400634766
2010-01-13,25.771818161010742
2010-01-14,25.69924545288086
2010-01-15,25.560171127319336
2010-01-19,25.947168350219727
2010-01-20,25.60249137878418
2010-01-21,25.487598419189453
2010-01-22,24.8950138092041
2010-01-25,24.955476760864258
2010-01-26,24.8284912109375
2010-01-27,24.804304122924805
2010-01-28,24.59872055053711
2010-01-29,24.66524314880371
2010-02-01,24.834531784057617
2010-02-02,24.901060104370117
2010-02-03,24.671281814575195
2010-02-04,24.41730499267578
2010-02-05,24.356842041015625
2010-02-08,24.429401397705078
2010-02-09,24.610807418823242
2010-02-10,24.59872055053711
2010-02-11,24.73174285888672
2010-02-12,24.544286727905273
2010-02-16,24.973615646362305
2010-02-17,25.07036590576172
2010-02-18,24.907094955444336
2010-02-19,25.130834579467773
2010-02-22,25.155027389526367
2010-02-23,24.913145065307617
2010-02-24,25.542028427124023
2010-02-25,25.221540451049805
2010-02-26,25.16107177734375
2010-03-01,25.37875747680664
2010-03-02,25.30619239807129
2010-03-03,25.342483520507812
2010-03-04,25.221540451049805
2010-03-05,26.11043357849121
2010-03-08,26.092304229736328
2010-03-09,26.40673065185547
2010-03-10,26.74191665649414
2010-03-11,26.772397994995117
2010-03-12,26.699264526367188
2010-03-15,26.961322784423828
2010-03-16,26.9674129486084
2010-03-17,27.235559463500977
2010-03-18,27.25383758544922
2010-03-19,27.180723190307617
2010-03-22,27.320880889892578
2010-03-23,27.369640350341797
2010-03-24,27.022274017333984
2010-03-25,26.802858352661133
2010-03-26,26.961322784423828
2010-03-29,27.14414405822754
2010-03-30,27.174623489379883
2010-03-31,27.101484298706055
2010-04-01,26.92475128173828
2010-04-05,27.052730560302734
2010-04-06,26.991796493530273
2010-04-07,26.772397994995117
2010-04-08,26.74191665649414
2010-04-09,26.973499298095703
2010-04-12,26.94302749633789
