Date,DOV
2010-01-04,21.154212951660156
2010-01-05,21.054338455200195
2010-01-06,21.30403709411621
2010-01-07,21.773462295532227
2010-01-08,22.3976993560791
2010-01-11,22.667375564575195
2010-01-12,22.747268676757812
2010-01-13,22.957015991210938
2010-01-14,23.186737060546875
2010-01-15,22.767250061035156
2010-01-19,22.92205810546875
2010-01-20,22.69733428955078
2010-01-21,22.3976993560791
2010-01-22,21.858362197875977
2010-01-25,21.598676681518555
2010-01-26,21.45384979248047
2010-01-27,21.378936767578125
2010-01-28,21.234115600585938
2010-01-29,21.413902282714844
2010-02-01,21.708539962768555
2010-02-02,22.13302230834961
2010-02-03,22.03813934326172
2010-02-04,21.353979110717773
2010-02-05,20.719743728637695
2010-02-08,20.500019073486328
2010-02-09,21.004396438598633
2010-02-10,21.019380569458008
2010-02-11,21.413902282714844
2010-02-12,21.33399772644043
2010-02-16,21.79842758178711
2010-02-17,22.19794464111328
2010-02-18,22.69234848022461
2010-02-19,23.01194953918457
2010-02-22,22.981992721557617
2010-02-23,22.442644119262695
2010-02-24,22.452695846557617
2010-02-25,22.407487869262695
2010-02-26,22.733983993530273
2010-03-01,22.98512840270996
2010-03-02,23.181026458740234
2010-03-03,23.065492630004883
2010-03-04,23.140838623046875
2010-03-05,23.618019104003906
2010-03-08,23.44221305847168
2010-03-09,23.36687469482422
2010-03-10,23.271438598632812
2010-03-11,23.311620712280273
2010-03-12,23.321664810180664
2010-03-15,23.226226806640625
2010-03-16,23.286502838134766
2010-03-17,23.572824478149414
2010-03-18,23.65318489074707
2010-03-19,23.37189483642578
2010-03-22,23.316646575927734
2010-03-23,23.798847198486328
2010-03-24,23.306602478027344
2010-03-25,23.196086883544922
2010-03-26,23.140838623046875
2010-03-29,23.427148818969727
2010-03-30,23.66824722290039
2010-03-31,23.482397079467773
2010-04-01,23.60797691345215
2010-04-05,23.88424301147461
2010-04-06,23.934471130371094
2010-04-07,23.778749465942383
2010-04-08,23.678293228149414
2010-04-09,24.120317459106445
2010-04-12,24.019853591918945
2010-04-13,24.044965744018555
2010-04-14,24.45685577392578
2010-04-15,24.36644172668457
2010-04-16,23.999767303466797
2010-04-19,23.984699249267578
2010-04-20,24.23584747314453
2010-04-21,24.557321548461914
2010-04-22,25.240442276000977
2010-04-23,27.22452163696289
2010-04-26,26.928159713745117
2010-04-27,25.988862991333008
2010-04-28,26.13955307006836
2010-04-29,26.546409606933594
2010-04-30,26.229976654052734
2010-05-03,26.827699661254883
2010-05-04,26.079280853271484
2010-05-05,25.918542861938477
2010-05-06,24.48196792602539
2010-05-07,24.125343322753906
2010-05-10,25.58702278137207
2010-05-11,25.35094451904297
2010-05-12,26.00394058227539
2010-05-13,25.526752471923828
2010-05-14,24.858699798583984
2010-05-17,24.863718032836914
2010-05-18,24.23081398010254
2010-05-19,23.698383331298828
2010-05-20,22.20655632019043
2010-05-21,22.327117919921875
2010-05-24,22.096067428588867
2010-05-25,21.9302978515625
2010-05-26,22.107158660888672
2010-05-27,23.047025680541992
2010-05-28,22.683212280273438
2010-06-01,22.09200096130371
2010-06-02,22.819644927978516
2010-06-03,23.153141021728516
2010-06-04,21.753440856933594
2010-06-07,21.2127685546875
2010-06-08,21.369413375854492
2010-06-09,21.571533203125
2010-06-10,22.561939239501953
2010-06-11,22.80953598022461
2010-06-14,22.945968627929688
2010-06-15,23.719085693359375
2010-06-16,23.446218490600586
2010-06-17,23.218835830688477
2010-06-18,23.05712890625
2010-06-21,23.405790328979492
2010-06-22,22.481088638305664
2010-06-23,22.410341262817383
2010-06-24,21.879772186279297
2010-06-25,22.304231643676758
2010-06-28,22.1223201751709
2010-06-29,21.17739486694336
2010-06-30,21.11676025390625
2010-07-01,20.874210357666016
2010-07-02,20.773151397705078
2010-07-06,21.05106544494629
2010-07-07,21.788822174072266
2010-07-08,22.02631187438965
2010-07-09,22.319385528564453
2010-07-12,21.95556640625
2010-07-13,22.425504684448242
2010-07-14,22.481088638305664
2010-07-15,22.284013748168945
2010-07-16,21.515949249267578
2010-07-19,21.778711318969727
2010-07-20,22.071788787841797
2010-07-21,22.38507652282715
2010-07-22,23.264305114746094
2010-07-23,24.12333106994629
2010-07-26,24.5275821685791
2010-07-27,23.946474075317383
2010-07-28,23.91615867614746
2010-07-29,24.11827278137207
2010-07-30,24.239553451538086
2010-08-02,24.699378967285156
2010-08-03,24.53767967224121
2010-08-04,24.94192886352539
2010-08-05,24.78528594970703
2010-08-06,24.85602378845215
2010-08-09,24.765077590942383
2010-08-10,24.987407684326172
2010-08-11,23.678661346435547
2010-08-12,23.55234146118164
2010-08-13,23.451271057128906
2010-08-16,23.441173553466797
2010-08-17,23.99700164794922
2010-08-18,24.012163162231445
2010-08-19,23.476545333862305
2010-08-20,23.33505630493164
2010-08-23,22.930814743041992
2010-08-24,22.465925216674805
2010-08-25,22.354759216308594
2010-08-26,22.410341262817383
2010-08-27,23.058631896972656
2010-08-30,22.611186981201172
2010-08-31,22.758638381958008
2010-09-01,24.238252639770508
2010-09-02,24.63993263244629
2010-09-03,25.02127456665039
2010-09-07,24.72637367248535
2010-09-08,24.761962890625
2010-09-09,24.878910064697266
2010-09-10,25.016197204589844
2010-09-13,25.412790298461914
2010-09-14,25.626344680786133
2010-09-15,25.524658203125
2010-09-16,25.341615676879883
2010-09-17,25.72295379638672
2010-09-20,26.358524322509766
2010-09-21,26.124643325805664
2010-09-22,25.74837875366211
2010-09-23,25.250089645385742
2010-09-24,26.34326934814453
2010-09-27,25.921260833740234
2010-09-28,26.165307998657227
