Date,HI
2010-01-04,12.379403114318848
2010-01-05,12.418498039245605
2010-01-06,12.470623970031738
2010-01-07,12.490167617797852
2010-01-08,12.692147254943848
2010-01-11,12.196968078613281
2010-01-12,12.125304222106934
2010-01-13,12.164395332336426
2010-01-14,12.03408432006836
2010-01-15,11.890748977661133
2010-01-19,11.936354637145996
2010-01-20,11.760432243347168
2010-01-21,11.669218063354492
2010-01-22,11.669218063354492
2010-01-25,11.65618896484375
2010-01-26,11.630125999450684
2010-01-27,11.80604076385498
2010-01-28,11.955902099609375
2010-01-29,11.955902099609375
2010-02-01,11.923321723937988
2010-02-02,12.001509666442871
2010-02-03,12.092726707458496
2010-02-04,12.079696655273438
2010-02-05,12.053634643554688
2010-02-08,12.11878490447998
2010-02-09,12.229548454284668
2010-02-10,12.340312957763672
2010-02-11,12.438047409057617
2010-02-12,12.705182075500488
2010-02-16,12.542293548583984
2010-02-17,12.633504867553711
2010-02-18,12.659570693969727
2010-02-19,12.881097793579102
2010-02-22,13.063529968261719
2010-02-23,13.030949592590332
2010-02-24,13.063529968261719
2010-02-25,13.154746055603027
2010-02-26,13.063529968261719
2010-03-01,13.337179183959961
2010-03-02,13.623863220214844
2010-03-03,13.728110313415527
2010-03-04,13.72159194946289
2010-03-05,13.80629825592041
2010-03-08,13.84538745880127
2010-03-09,13.832355499267578
2010-03-10,13.864933967590332
2010-03-11,13.956151008605957
2010-03-12,14.151606559753418
2010-03-15,14.27517318725586
2010-03-16,14.511775016784668
2010-03-17,14.492058753967285
2010-03-18,14.478920936584473
2010-03-19,14.518352508544922
2010-03-22,14.518352508544922
2010-03-23,14.636652946472168
2010-03-24,14.636652946472168
2010-03-25,14.524928092956543
2010-03-26,14.472345352172852
2010-03-29,14.498635292053223
2010-03-30,14.531500816345215
2010-03-31,14.45263385772705
2010-04-01,14.774673461914062
2010-04-05,14.768102645874023
2010-04-06,14.879837989807129
2010-04-07,15.81967830657959
2010-04-08,15.59621810913086
2010-04-09,15.56993579864502
2010-04-12,15.648796081542969
2010-04-13,15.786820411682129
2010-04-14,15.872257232666016
2010-04-15,15.760530471801758
2010-04-16,15.799964904785156
2010-04-19,16.06943130493164
2010-04-20,16.174591064453125
2010-04-21,16.2271671295166
2010-04-22,16.135154724121094
2010-04-23,16.12200927734375
2010-04-26,16.24031639099121
2010-04-27,15.839390754699707
