Date,VZ
2010-01-04,13.987557411193848
2010-01-05,14.012773513793945
2010-01-06,13.60985279083252
2010-01-07,13.528837203979492
2010-01-08,13.537368774414062
2010-01-11,13.592801094055176
2010-01-12,13.605589866638184
2010-01-13,13.588532447814941
2010-01-14,13.311387062072754
2010-01-15,13.0385103225708
2010-01-19,13.315652847290039
2010-01-20,13.093939781188965
2010-01-21,13.059832572937012
2010-01-22,12.936178207397461
2010-01-25,13.08115291595459
2010-01-26,12.863694190979004
2010-01-27,12.735782623291016
2010-01-28,12.505537986755371
2010-01-29,12.54391860961914
2010-02-01,12.624932289123535
2010-02-02,12.676090240478516
2010-02-03,12.445853233337402
2010-02-04,12.207079887390137
2010-02-05,12.253981590270996
2010-02-08,12.096222877502441
2010-02-09,12.258245468139648
2010-02-10,12.309408187866211
2010-02-11,12.381898880004883
2010-02-12,12.334993362426758
2010-02-16,12.441590309143066
2010-02-17,12.424532890319824
2010-02-18,12.428793907165527
2010-02-19,12.373367309570312
2010-02-22,12.36483383178711
2010-02-23,12.253981590270996
2010-02-24,12.347783088684082
2010-02-25,12.313673973083496
2010-02-26,12.334993362426758
2010-03-01,12.360577583312988
2010-03-02,12.47569751739502
2010-03-03,12.420271873474121
2010-03-04,12.479958534240723
2010-03-05,12.462902069091797
2010-03-08,12.633458137512207
2010-03-09,12.752840042114258
2010-03-10,12.684619903564453
2010-03-11,12.722994804382324
2010-03-12,12.676090240478516
2010-03-15,12.731525421142578
2010-03-16,12.761368751525879
2010-03-17,12.855171203613281
2010-03-18,12.919123649597168
2010-03-19,12.96602725982666
2010-03-22,13.068358421325684
2010-03-23,13.209057807922363
2010-03-24,12.987343788146973
2010-03-25,12.92339038848877
2010-03-26,12.948974609375
2010-03-29,12.983077049255371
2010-03-30,13.315652847290039
2010-03-31,13.226113319396973
2010-04-01,13.336974143981934
2010-04-05,13.413714408874512
2010-04-06,13.302857398986816
2010-04-07,13.092877388000488
2010-04-08,13.058239936828613
