Date,WABC
2010-01-04,34.51893615722656
2010-01-05,33.79940414428711
2010-01-06,33.79326629638672
2010-01-07,35.017086029052734
2010-01-08,35.250755310058594
2010-01-11,35.17696762084961
2010-01-12,35.29994583129883
2010-01-13,35.55824661254883
2010-01-14,35.98257064819336
2010-01-15,35.6505012512207
2010-01-19,36.19167709350586
2010-01-20,35.9948844909668
2010-01-21,36.86201095581055
2010-01-22,35.41066360473633
2010-01-25,35.13392639160156
2010-01-26,34.9371223449707
2010-01-27,34.82027053833008
2010-01-28,34.43284225463867
2010-01-29,34.1806755065918
2010-02-01,33.983890533447266
2010-02-02,33.67640686035156
2010-02-03,32.944583892822266
2010-02-04,32.294490814208984
2010-02-05,32.80219268798828
2010-02-08,32.152069091796875
2010-02-09,31.997295379638672
2010-02-10,32.418304443359375
2010-02-11,32.77122497558594
2010-02-12,32.610233306884766
2010-02-16,33.037452697753906
2010-02-17,33.01268768310547
2010-02-18,33.22319030761719
2010-02-19,33.446083068847656
2010-02-22,33.699951171875
2010-02-23,33.86090087890625
2010-02-24,34.37480163574219
2010-02-25,34.33146667480469
2010-02-26,33.978553771972656
2010-03-01,34.05284118652344
2010-03-02,34.281925201416016
2010-03-03,34.319068908691406
2010-03-04,34.45528793334961
2010-03-05,35.34685134887695
2010-03-08,35.062049865722656
2010-03-09,35.09300994873047
2010-03-10,35.41496276855469
2010-03-11,35.60071563720703
2010-03-12,35.167301177978516
2010-03-15,35.11777877807617
2010-03-16,35.35304641723633
2010-03-17,35.92266082763672
2010-03-18,35.79882049560547
2010-03-19,35.73072814941406
2010-03-22,36.07744216918945
2010-03-23,36.48607635498047
2010-03-24,35.87312316894531
2010-03-25,35.996952056884766
2010-03-26,35.37163162231445
2010-03-29,35.5078239440918
2010-03-30,35.941226959228516
2010-03-31,35.693580627441406
2010-04-01,35.09300994873047
2010-04-05,34.9134635925293
2010-04-06,35.38399887084961
2010-04-07,35.328277587890625
2010-04-08,35.68119430541992
2010-04-09,35.56356430053711
2010-04-12,35.996952056884766
2010-04-13,36.32509231567383
2010-04-14,36.91948699951172
2010-04-15,36.85136413574219
2010-04-16,36.72136688232422
2010-04-19,36.85136413574219
2010-04-20,37.06806945800781
2010-04-21,37.01853942871094
2010-04-22,37.08664321899414
2010-04-23,37.11140823364258
2010-04-26,36.461307525634766
2010-04-27,36.263187408447266
2010-04-28,36.368431091308594
2010-04-29,37.221885681152344
2010-04-30,36.61140060424805
2010-05-03,36.61140060424805
2010-05-04,35.384159088134766
2010-05-05,35.54612731933594
2010-05-06,34.91693878173828
2010-05-07,34.50579071044922
2010-05-10,35.68317794799805
2010-05-11,36.61762237548828
2010-05-12,36.9228630065918
2010-05-13,36.505496978759766
2010-05-14,36.424503326416016
2010-05-17,36.61140060424805
2010-05-18,35.73925018310547
2010-05-19,36.10057067871094
2010-05-20,34.530704498291016
2010-05-21,35.315635681152344
2010-05-24,34.3998908996582
2010-05-25,34.73628234863281
2010-05-26,34.754966735839844
2010-05-27,35.44645690917969
2010-05-28,34.68021011352539
2010-06-01,34.0572509765625
2010-06-02,34.5992317199707
2010-06-03,34.54939651489258
2010-06-04,33.40937423706055
2010-06-07,33.34708023071289
2010-06-08,33.2972526550293
2010-06-09,33.12281036376953
2010-06-10,33.820533752441406
2010-06-11,33.93266677856445
2010-06-14,34.07594680786133
2010-06-15,34.61792755126953
2010-06-16,34.54317092895508
2010-06-17,34.561851501464844
2010-06-18,34.524471282958984
2010-06-21,34.244136810302734
2010-06-22,34.03855895996094
2010-06-23,33.820533752441406
2010-06-24,33.52151107788086
2010-06-25,34.013641357421875
2010-06-28,34.200538635253906
2010-06-29,33.22871017456055
2010-06-30,32.7178955078125
2010-07-01,32.23822021484375
2010-07-02,32.456233978271484
2010-07-06,32.64313888549805
2010-07-07,33.565120697021484
2010-07-08,33.66478729248047
2010-07-09,33.93266677856445
2010-07-12,33.6897087097168
2010-07-13,34.64906692504883
2010-07-14,33.79560470581055
2010-07-15,33.60871887207031
2010-07-16,32.59330749511719
2010-07-19,32.80509948730469
2010-07-20,32.64313888549805
2010-07-21,31.995248794555664
2010-07-22,33.35954284667969
2010-07-23,33.69593811035156
2010-07-26,34.530704498291016
2010-07-27,34.4559440612793
2010-07-28,33.8703727722168
2010-07-29,33.78884506225586
2010-07-30,33.71359634399414
2010-08-02,33.98952102661133
2010-08-03,33.719871520996094
2010-08-04,33.58816146850586
2010-08-05,33.318504333496094
2010-08-06,33.50663757324219
2010-08-09,34.045963287353516
2010-08-10,33.437660217285156
2010-08-11,32.5408935546875
2010-08-12,32.2712287902832
2010-08-13,31.907503128051758
2010-08-16,32.2712287902832
2010-08-17,32.55344009399414
2010-08-18,32.55344009399414
2010-08-19,31.83225440979004
2010-08-20,31.863601684570312
2010-08-23,31.87615203857422
2010-08-24,31.82599449157715
2010-08-25,32.2586784362793
2010-08-26,32.315120697021484
2010-08-27,32.64749526977539
2010-08-30,31.763269424438477
2010-08-31,31.782079696655273
2010-09-01,32.66004943847656
2010-09-02,33.230709075927734
2010-09-03,33.84528732299805
2010-09-07,33.167999267578125
2010-09-08,33.418853759765625
2010-09-09,33.4000358581543
2010-09-10,33.318504333496094
2010-09-13,34.05851364135742
2010-09-14,33.418853759765625
2010-09-15,33.43138885498047
2010-09-16,32.973594665527344
2010-09-17,33.675960540771484
2010-09-20,34.44731903076172
2010-09-21,34.00206756591797
2010-09-22,33.51919174194336
2010-09-23,33.287147521972656
2010-09-24,34.03342056274414
2010-09-27,33.49410629272461
2010-09-28,33.9518928527832
