Date,SWKS
2010-01-04,11.97397232055664
2010-01-05,12.159806251525879
2010-01-06,12.0466890335083
2010-01-07,11.909334182739258
2010-01-08,12.11940860748291
2010-01-11,12.127487182617188
2010-01-12,11.885098457336426
2010-01-13,12.159806251525879
2010-01-14,12.386033058166504
2010-01-15,11.941655158996582
2010-01-19,12.006292343139648
2010-01-20,11.885098457336426
2010-01-21,11.715429306030273
2010-01-22,11.157934188842773
2010-01-25,11.271047592163086
2010-01-26,10.802430152893066
2010-01-27,10.955944061279297
2010-01-28,10.697395324707031
2010-01-29,10.25301742553711
2010-02-01,10.697395324707031
2010-02-02,11.052899360656738
2010-02-03,11.125618934631348
2010-02-04,10.818589210510254
2010-02-05,10.891307830810547
2010-02-08,10.915544509887695
2010-02-09,11.117535591125488
2010-02-10,11.109458923339844
2010-02-11,11.22257137298584
2010-02-12,11.206411361694336
2010-02-16,11.408400535583496
2010-02-17,11.569994926452637
2010-02-18,11.820462226867676
2010-02-19,11.78006362915039
2010-02-22,12.353714942932129
2010-02-23,11.917415618896484
2010-02-24,12.280999183654785
2010-02-25,12.095168113708496
2010-02-26,12.337554931640625
2010-03-01,12.660738945007324
2010-03-02,12.7334566116333
2010-03-03,12.555702209472656
2010-03-04,12.53954792022705
2010-03-05,12.741534233093262
2010-03-08,12.862732887268066
2010-03-09,12.765776634216309
2010-03-10,12.72537612915039
2010-03-11,12.628425598144531
2010-03-12,12.410276412963867
2010-03-15,12.410276412963867
2010-03-16,12.660738945007324
2010-03-17,13.000081062316895
2010-03-18,12.781933784484863
2010-03-19,12.377954483032227
2010-03-22,12.676898002624512
2010-03-23,13.258631706237793
2010-03-24,12.967764854431152
2010-03-25,13.1859130859375
2010-03-26,12.895050048828125
2010-03-29,12.749617576599121
2010-03-30,12.951605796813965
2010-03-31,12.604186058044434
2010-04-01,12.51530647277832
2010-04-05,12.911208152770996
2010-04-06,12.84657096862793
2010-04-07,12.717296600341797
2010-04-08,12.596105575561523
2010-04-09,12.72537612915039
2010-04-12,12.765776634216309
2010-04-13,12.854650497436523
2010-04-14,13.153599739074707
2010-04-15,13.26671314239502
2010-04-16,13.056641578674316
2010-04-19,12.773855209350586
2010-04-20,12.9273681640625
2010-04-21,12.870809555053711
2010-04-22,12.644584655761719
2010-04-23,12.563785552978516
2010-04-26,12.72537612915039
