Date,HAFC
2010-01-04,6.273173809051514
2010-01-05,6.273173809051514
2010-01-06,6.065798759460449
2010-01-07,5.962108612060547
2010-01-08,5.288130760192871
2010-01-11,5.288130760192871
2010-01-12,5.495508670806885
2010-01-13,5.702887058258057
2010-01-14,5.806572914123535
2010-01-15,6.22133207321167
2010-01-19,8.709861755371094
2010-01-20,10.62810230255127
2010-01-21,13.22032356262207
2010-01-22,11.302080154418945
2010-01-25,11.146551132202148
2010-01-26,11.768684387207031
2010-01-27,10.93917465209961
2010-01-28,10.576261520385742
2010-01-29,10.317039489746094
2010-02-01,10.265195846557617
2010-02-02,9.539372444152832
2010-02-03,10.213349342346191
2010-02-04,9.176461219787598
2010-02-05,8.969084739685059
2010-02-08,8.502483367919922
2010-02-09,9.124615669250488
2010-02-10,9.331993103027344
2010-02-11,9.694906234741211
2010-02-12,9.954126358032227
2010-02-16,10.213349342346191
2010-02-17,11.198395729064941
2010-02-18,10.472573280334473
2010-02-19,11.457616806030273
2010-02-22,12.287123680114746
2010-02-23,13.375860214233398
2010-02-24,13.375860214233398
2010-02-25,13.22032356262207
2010-02-26,12.494503021240234
2010-03-01,11.768684387207031
2010-03-02,11.042860984802246
2010-03-03,11.405774116516113
2010-03-04,11.820526123046875
2010-03-05,12.75372314453125
2010-03-08,13.22032356262207
2010-03-09,13.531393051147461
2010-03-10,13.63508415222168
2010-03-11,13.790616035461426
2010-03-12,13.894306182861328
2010-03-15,13.842463493347168
2010-03-16,13.22032356262207
2010-03-17,13.012944221496582
2010-03-18,11.872371673583984
2010-03-19,11.924217224121094
2010-03-22,11.924217224121094
2010-03-23,12.390817642211914
2010-03-24,13.116634368896484
2010-03-25,13.116634368896484
2010-03-26,12.961106300354004
2010-03-29,12.701884269714355
2010-03-30,13.324009895324707
2010-03-31,12.44266414642334
2010-04-01,12.546347618103027
2010-04-05,13.738771438598633
2010-04-06,13.427702903747559
2010-04-07,13.427702903747559
2010-04-08,13.583235740661621
2010-04-09,13.531393051147461
2010-04-12,13.686931610107422
2010-04-13,13.427702903747559
2010-04-14,13.738771438598633
2010-04-15,16.5902156829834
2010-04-16,15.501479148864746
2010-04-19,16.330995559692383
2010-04-20,15.916238784790039
2010-04-21,16.330995559692383
2010-04-22,17.627099990844727
2010-04-23,20.37485694885254
2010-04-26,19.70088005065918
2010-04-27,17.21234703063965
2010-04-28,16.175457000732422
2010-04-29,16.38283920288086
2010-04-30,15.44963550567627
2010-05-03,15.190421104431152
2010-05-04,14.257211685180664
2010-05-05,13.790616035461426
2010-05-06,12.546347618103027
2010-05-07,11.198395729064941
2010-05-10,12.131597518920898
2010-05-11,12.961106300354004
2010-05-12,12.909257888793945
2010-05-13,12.857413291931152
2010-05-14,12.131597518920898
2010-05-17,12.44266414642334
2010-05-18,11.976058006286621
2010-05-19,10.576261520385742
2010-05-20,9.902284622192383
2010-05-21,10.887330055236816
2010-05-24,10.368886947631836
2010-05-25,10.524415969848633
2010-05-26,12.338971138000488
2010-05-27,12.59819507598877
2010-05-28,11.976058006286621
2010-06-01,11.561309814453125
2010-06-02,11.042860984802246
