Date,GIII
2010-01-04,10.795000076293945
2010-01-05,10.645000457763672
2010-01-06,10.664999961853027
2010-01-07,10.130000114440918
2010-01-08,10.024999618530273
2010-01-11,9.989999771118164
2010-01-12,9.899999618530273
2010-01-13,9.824999809265137
2010-01-14,9.824999809265137
2010-01-15,9.875
2010-01-19,9.755000114440918
2010-01-20,9.475000381469727
2010-01-21,9.114999771118164
2010-01-22,8.8149995803833
2010-01-25,9.704999923706055
2010-01-26,9.8100004196167
2010-01-27,10.0
2010-01-28,9.5600004196167
2010-01-29,8.704999923706055
2010-02-01,9.0600004196167
2010-02-02,9.505000114440918
2010-02-03,9.380000114440918
2010-02-04,9.34000015258789
2010-02-05,9.390000343322754
2010-02-08,9.354999542236328
2010-02-09,9.454999923706055
2010-02-10,9.574999809265137
2010-02-11,9.8100004196167
2010-02-12,10.0
2010-02-16,9.875
2010-02-17,9.989999771118164
2010-02-18,9.975000381469727
2010-02-19,10.0649995803833
2010-02-22,10.494999885559082
2010-02-23,10.619999885559082
2010-02-24,10.765000343322754
2010-02-25,10.645000457763672
2010-02-26,10.484999656677246
2010-03-01,10.425000190734863
2010-03-02,10.395000457763672
2010-03-03,10.350000381469727
2010-03-04,10.329999923706055
2010-03-05,10.8149995803833
2010-03-08,10.930000305175781
2010-03-09,11.045000076293945
2010-03-10,11.085000038146973
2010-03-11,10.729999542236328
2010-03-12,10.920000076293945
2010-03-15,10.819999694824219
2010-03-16,10.970000267028809
2010-03-17,10.899999618530273
2010-03-18,10.859999656677246
2010-03-19,10.574999809265137
2010-03-22,11.020000457763672
2010-03-23,11.600000381469727
2010-03-24,11.609999656677246
2010-03-25,12.914999961853027
2010-03-26,14.020000457763672
2010-03-29,13.524999618530273
2010-03-30,14.154999732971191
2010-03-31,13.779999732971191
2010-04-01,13.725000381469727
2010-04-05,13.5
2010-04-06,13.885000228881836
2010-04-07,13.774999618530273
2010-04-08,14.104999542236328
2010-04-09,14.010000228881836
2010-04-12,14.050000190734863
2010-04-13,13.795000076293945
2010-04-14,14.0
2010-04-15,14.225000381469727
2010-04-16,14.359999656677246
2010-04-19,14.199999809265137
2010-04-20,14.199999809265137
2010-04-21,14.3149995803833
2010-04-22,14.6850004196167
2010-04-23,14.914999961853027
2010-04-26,14.904999732971191
2010-04-27,14.704999923706055
2010-04-28,14.329999923706055
2010-04-29,15.194999694824219
2010-04-30,14.300000190734863
2010-05-03,15.375
2010-05-04,14.015000343322754
2010-05-05,13.555000305175781
2010-05-06,13.039999961853027
2010-05-07,12.670000076293945
2010-05-10,13.944999694824219
2010-05-11,14.475000381469727
2010-05-12,15.194999694824219
2010-05-13,14.984999656677246
2010-05-14,14.854999542236328
2010-05-17,14.449999809265137
2010-05-18,14.145000457763672
2010-05-19,13.774999618530273
2010-05-20,12.975000381469727
2010-05-21,13.59000015258789
2010-05-24,13.414999961853027
2010-05-25,13.734999656677246
2010-05-26,13.9350004196167
2010-05-27,14.25
2010-05-28,14.335000038146973
2010-06-01,13.824999809265137
2010-06-02,14.109999656677246
2010-06-03,14.46500015258789
2010-06-04,13.800000190734863
2010-06-07,13.119999885559082
2010-06-08,12.880000114440918
2010-06-09,12.505000114440918
2010-06-10,13.154999732971191
2010-06-11,13.204999923706055
2010-06-14,13.055000305175781
2010-06-15,13.364999771118164
2010-06-16,13.170000076293945
2010-06-17,13.375
2010-06-18,13.289999961853027
2010-06-21,12.574999809265137
2010-06-22,12.5
2010-06-23,12.229999542236328
2010-06-24,11.829999923706055
2010-06-25,12.029999732971191
2010-06-28,11.75
2010-06-29,11.21500015258789
2010-06-30,11.444999694824219
2010-07-01,11.404999732971191
2010-07-02,11.319999694824219
2010-07-06,11.100000381469727
2010-07-07,11.6899995803833
2010-07-08,12.03499984741211
2010-07-09,12.024999618530273
2010-07-12,11.604999542236328
2010-07-13,11.795000076293945
2010-07-14,11.729999542236328
2010-07-15,11.395000457763672
2010-07-16,10.619999885559082
2010-07-19,10.670000076293945
2010-07-20,11.069999694824219
2010-07-21,10.720000267028809
2010-07-22,11.710000038146973
2010-07-23,12.265000343322754
2010-07-26,13.4399995803833
2010-07-27,13.079999923706055
2010-07-28,12.699999809265137
2010-07-29,12.920000076293945
2010-07-30,12.899999618530273
2010-08-02,13.300000190734863
2010-08-03,12.739999771118164
2010-08-04,13.03499984741211
2010-08-05,12.734999656677246
2010-08-06,12.5
2010-08-09,12.680000305175781
2010-08-10,12.164999961853027
2010-08-11,11.515000343322754
2010-08-12,11.449999809265137
2010-08-13,11.295000076293945
2010-08-16,11.140000343322754
2010-08-17,11.529999732971191
2010-08-18,11.869999885559082
2010-08-19,11.649999618530273
2010-08-20,11.890000343322754
2010-08-23,11.75
2010-08-24,11.779999732971191
2010-08-25,11.720000267028809
2010-08-26,11.225000381469727
2010-08-27,11.720000267028809
2010-08-30,11.550000190734863
2010-08-31,12.069999694824219
2010-09-01,14.005000114440918
2010-09-02,15.114999771118164
2010-09-03,15.0
2010-09-07,14.944999694824219
2010-09-08,14.949999809265137
2010-09-09,14.984999656677246
2010-09-10,14.734999656677246
2010-09-13,15.095000267028809
2010-09-14,15.180000305175781
2010-09-15,15.739999771118164
2010-09-16,16.0
2010-09-17,15.699999809265137
2010-09-20,15.654999732971191
2010-09-21,15.579999923706055
2010-09-22,14.760000228881836
2010-09-23,14.470000267028809
2010-09-24,14.914999961853027
2010-09-27,15.585000038146973
2010-09-28,15.744999885559082
2010-09-29,15.895000457763672
2010-09-30,15.6899995803833
2010-10-01,15.774999618530273
2010-10-04,15.604999542236328
