Date,PX
2021-10-21,11.557415962219238
2021-10-22,11.480876922607422
2021-10-25,11.959247589111328
2021-10-26,11.94968032836914
2021-10-27,11.8157377243042
2021-10-28,11.681793212890625
2021-10-29,11.959247589111328
2021-11-01,11.6243896484375
2021-11-02,11.787033081054688
2021-11-03,11.720061302185059
2021-11-04,11.882707595825195
2021-11-05,11.959247589111328
2021-11-08,11.94968032836914
2021-11-09,12.026217460632324
2021-11-10,12.007083892822266
2021-11-11,12.102757453918457
2021-11-12,12.868148803710938
2021-11-15,13.38478946685791
2021-11-16,13.356086730957031
2021-11-17,13.356086730957031
2021-11-18,13.42305850982666
2021-11-19,13.346519470214844
2021-11-22,13.327383995056152
2021-11-23,12.65766716003418
2021-11-24,12.915987968444824
2021-11-26,12.69593620300293
2021-11-29,12.600262641906738
2021-11-30,13.174307823181152
2021-12-01,13.413492202758789
2021-12-02,13.729215621948242
2021-12-03,13.729215621948242
2021-12-06,13.872727394104004
2021-12-07,14.360664367675781
2021-12-08,14.092777252197266
2021-12-09,13.757919311523438
2021-12-10,13.42305850982666
2021-12-13,12.90641975402832
2021-12-14,12.676801681518555
2021-12-15,12.849015235900879
2021-12-16,12.46631908416748
2021-12-17,12.160162925720215
2021-12-20,11.614821434020996
2021-12-21,11.767898559570312
2021-12-22,11.882707595825195
2021-12-23,12.054922103881836
2021-12-27,12.102757453918457
2021-12-28,12.188863754272461
2021-12-29,12.581127166748047
2021-12-30,12.954256057739258
2021-12-31,13.375222206115723
2022-01-03,13.078632354736328
2022-01-04,12.849015235900879
2022-01-05,12.6289644241333
2022-01-06,12.504587173461914
2022-01-07,12.533291816711426
2022-01-10,12.188863754272461
2022-01-11,12.437617301940918
2022-01-12,12.581127166748047
2022-01-13,12.915987968444824
2022-01-14,12.724637031555176
2022-01-18,12.246269226074219
2022-01-19,12.169730186462402
2022-01-20,12.083623886108398
2022-01-21,11.720061302185059
2022-01-24,11.576553344726562
2022-01-25,11.500012397766113
2022-01-26,11.165154457092285
2022-01-27,11.203422546386719
2022-01-28,11.279962539672852
2022-01-31,11.557415962219238
2022-02-01,12.026217460632324
2022-02-02,12.150594711303711
2022-02-03,11.968816757202148
2022-02-04,12.112324714660645
2022-02-07,12.054922103881836
2022-02-08,12.007083892822266
2022-02-09,12.026217460632324
2022-02-10,11.959247589111328
2022-02-11,11.987948417663574
2022-02-14,11.681793212890625
2022-02-15,12.198434829711914
2022-02-16,12.734207153320312
2022-02-17,12.485453605651855
2022-02-18,12.265401840209961
2022-02-22,11.729631423950195
2022-02-23,12.064488410949707
2022-02-24,11.767898559570312
2022-02-25,11.94011116027832
2022-02-28,11.901843070983887
2022-03-01,11.394769668579102
2022-03-02,11.767898559570312
2022-03-03,11.633954048156738
2022-03-04,11.56698226928711
2022-03-07,11.480876922607422
2022-03-08,11.289525985717773
2022-03-09,11.672224044799805
2022-03-10,11.37563705444336
2022-03-11,11.193856239318848
2022-03-14,11.165154457092285
2022-03-15,11.318229675292969
2022-03-16,11.452176094055176
2022-03-17,11.691361427307129
2022-03-18,11.385204315185547
2022-03-21,11.58612060546875
2022-03-22,11.748763084411621
2022-03-23,11.748763084411621
2022-03-24,11.86357307434082
2022-03-25,11.86357307434082
2022-03-28,11.825302124023438
2022-03-29,11.643522262573242
2022-03-30,11.643522262573242
2022-03-31,11.595684051513672
2022-04-01,11.748763084411621
2022-04-04,11.844438552856445
2022-04-05,11.37563705444336
2022-04-06,10.887701034545898
2022-04-07,11.01207447052002
2022-04-08,11.059910774230957
2022-04-11,10.94510269165039
2022-04-12,10.897266387939453
2022-04-13,11.29909896850586
2022-04-14,11.193856239318848
2022-04-18,10.925969123840332
2022-04-19,11.279962539672852
2022-04-20,11.605252265930176
2022-04-21,11.337366104125977
2022-04-22,11.385204315185547
2022-04-25,11.691361427307129
2022-04-26,11.681793212890625
2022-04-27,11.56698226928711
2022-04-28,11.720061302185059
2022-04-29,11.576553344726562
2022-05-02,11.710494995117188
2022-05-03,11.633954048156738
2022-05-04,11.920976638793945
2022-05-05,11.662656784057617
2022-05-06,11.729631423950195
2022-05-09,10.849427223205566
2022-05-10,10.284951210021973
2022-05-11,10.390192985534668
2022-05-12,10.562407493591309
2022-05-13,10.715485572814941
2022-05-16,10.772889137268066
2022-05-17,10.916400909423828
2022-05-18,11.01207447052002
2022-05-19,10.696351051330566
2022-05-20,10.897266387939453
2022-05-23,10.992938995361328
2022-05-24,10.801591873168945
2022-05-25,10.734620094299316
2022-05-26,11.174720764160156
2022-05-27,11.18431282043457
2022-05-31,11.030840873718262
2022-06-01,10.982879638671875
2022-06-02,11.366559982299805
2022-06-03,11.500848770141602
2022-06-06,10.954103469848633
2022-06-07,11.078801155090332
2022-06-08,10.781445503234863
2022-06-09,10.810223579406738
2022-06-10,10.129189491271973
2022-06-13,9.82224178314209
2022-06-14,10.004491806030273
2022-06-15,10.464910507202148
2022-06-16,10.110002517700195
2022-06-17,10.44572639465332
2022-06-21,10.541645050048828
2022-06-22,10.157964706420898
2022-06-23,9.985308647155762
2022-06-24,10.129189491271973
2022-06-27,10.44572639465332
2022-06-28,10.800630569458008
2022-06-29,10.5224609375
2022-06-30,10.666343688964844
2022-07-01,10.954103469848633
2022-07-05,11.376153945922852
2022-07-06,11.270639419555664
2022-07-07,11.567994117736816
