Date,MPW
2010-01-04,3.2283236980438232
2010-01-05,3.3212943077087402
2010-01-06,3.3309123516082764
2010-01-07,3.3084716796875
2010-01-08,3.2443535327911377
2010-01-11,3.295647144317627
2010-01-12,3.183440923690796
2010-01-13,3.25396990776062
2010-01-14,3.2732064723968506
2010-01-15,3.2796173095703125
2010-01-19,3.3757941722869873
2010-01-20,3.3565595149993896
2010-01-21,3.3180887699127197
2010-01-22,3.2379417419433594
2010-01-25,3.1930594444274902
2010-01-26,3.1706182956695557
2010-01-27,3.1706182956695557
2010-01-28,3.135352611541748
2010-01-29,3.209087610244751
2010-02-01,3.2058823108673096
2010-02-02,3.186647891998291
2010-02-03,3.1706182956695557
2010-02-04,3.0391762256622314
2010-02-05,3.0680291652679443
2010-02-08,3.0167348384857178
2010-02-09,3.0423827171325684
2010-02-10,3.071235418319702
2010-02-11,3.1449708938598633
2010-02-12,3.1962645053863525
2010-02-16,3.2988524436950684
2010-02-17,3.2828235626220703
2010-02-18,3.343736410140991
2010-02-19,3.3854129314422607
2010-02-22,3.388617753982544
2010-02-23,3.3277056217193604
2010-02-24,3.359764814376831
2010-02-25,3.3212943077087402
2010-02-26,3.2988524436950684
2010-03-01,3.359764814376831
2010-03-02,3.4270901679992676
2010-03-03,3.4078528881073
2010-03-04,3.423884391784668
2010-03-05,3.3918232917785645
2010-03-08,3.388617753982544
2010-03-09,3.4046478271484375
2010-03-10,3.45273494720459
2010-03-11,3.4880001544952393
2010-03-12,3.5457069873809814
2010-03-15,3.5424997806549072
2010-03-16,3.6404478549957275
2010-03-17,3.6698343753814697
2010-03-18,3.6306533813476562
2010-03-19,3.516380786895752
2010-03-22,3.535970687866211
2010-03-23,3.565354347229004
2010-03-24,3.6437151432037354
2010-03-25,3.6469788551330566
2010-03-26,3.5751490592956543
2010-03-29,3.5784144401550293
2010-03-30,3.5229105949401855
2010-03-31,3.4216959476470947
2010-04-01,3.4608757495880127
2010-04-05,3.5620901584625244
2010-04-06,3.6045353412628174
2010-04-07,3.5425002574920654
2010-04-08,3.5294413566589355
2010-04-09,3.571885108947754
2010-04-12,3.545764923095703
2010-04-13,3.4249610900878906
2010-04-14,3.320481061935425
2010-04-15,3.196411609649658
2010-04-16,3.1441731452941895
2010-04-19,3.1702919006347656
2010-04-20,3.2160019874572754
2010-04-21,3.238856554031372
2010-04-22,3.28456711769104
2010-04-23,3.297626256942749
2010-04-26,3.3629260063171387
2010-04-27,3.307422161102295
2010-04-28,3.3270113468170166
2010-04-29,3.4282262325286865
2010-04-30,3.281301975250244
2010-05-03,3.3890464305877686
2010-05-04,3.281301975250244
2010-05-05,3.173558235168457
2010-05-06,2.977658748626709
2010-05-07,2.974393606185913
2010-05-10,3.2127368450164795
2010-05-11,3.2160019874572754
2010-05-12,3.2715086936950684
2010-05-13,3.222532272338867
2010-05-14,3.1507017612457275
2010-05-17,3.1866166591644287
2010-05-18,3.163762331008911
2010-05-19,3.1441731452941895
2010-05-20,2.922153949737549
2010-05-21,3.0070455074310303
2010-05-24,2.980924129486084
2010-05-25,3.016838312149048
2010-05-26,2.980924129486084
