Date,CON
2024-07-25,22.220064163208008
2024-07-26,22.595672607421875
2024-07-29,22.53636360168457
2024-07-30,22.65497589111328
2024-07-31,23.04046630859375
2024-08-01,22.39798355102539
2024-08-02,22.388097763061523
2024-08-05,21.99272346496582
2024-08-06,21.814804077148438
2024-08-07,21.824687957763672
2024-08-08,22.813125610351562
2024-08-09,22.674745559692383
2024-08-12,22.437519073486328
2024-08-13,22.793357849121094
2024-08-14,22.734050750732422
2024-08-15,22.882314682006836
2024-08-16,23.13930892944336
2024-08-19,23.089889526367188
2024-08-20,23.04046630859375
2024-08-21,23.109655380249023
2024-08-22,22.862548828125
2024-08-23,23.129426956176758
2024-08-26,23.366649627685547
2024-08-27,22.57590103149414
2024-08-28,22.882314682006836
2024-08-29,23.435840606689453
2024-08-30,24.16728401184082
2024-09-03,23.584108352661133
2024-09-04,23.762025833129883
2024-09-05,23.712602615356445
2024-09-06,23.98936653137207
2024-09-09,22.8427791595459
2024-09-10,22.585784912109375
2024-09-11,22.803241729736328
2024-09-12,22.309022903442383
2024-09-13,22.852663040161133
2024-09-16,23.080005645751953
2024-09-17,22.94162368774414
2024-09-18,23.070119857788086
2024-09-19,22.60555648803711
2024-09-20,22.595672607421875
2024-09-23,22.971277236938477
2024-09-24,22.892200469970703
2024-09-25,22.734050750732422
2024-09-26,22.417753219604492
2024-09-27,22.160757064819336
2024-09-30,22.101451873779297
2024-10-01,21.488618850708008
2024-10-02,21.24151039123535
2024-10-03,20.836252212524414
2024-10-04,20.727523803710938
2024-10-07,19.244869232177734
2024-10-08,19.551284790039062
2024-10-09,19.53151512145996
2024-10-10,19.580936431884766
2024-10-11,19.85770034790039
2024-10-14,20.70775604248047
2024-10-15,20.687986373901367
2024-10-16,21.4293155670166
2024-10-17,20.885671615600586
2024-10-18,20.994401931762695
2024-10-21,20.885671615600586
2024-10-22,20.94498062133789
2024-10-23,21.211856842041016
2024-10-24,20.895557403564453
2024-10-25,20.6682186126709
2024-10-28,20.569374084472656
2024-10-29,19.996082305908203
2024-10-30,20.549606323242188
2024-10-31,20.035619735717773
2024-11-01,19.847816467285156
2024-11-04,19.986194610595703
2024-11-05,19.363481521606445
2024-11-06,19.403017044067383
2024-11-07,19.81816291809082
2024-11-08,19.403017044067383
2024-11-11,19.44255828857422
2024-11-12,20.01584815979004
2024-11-13,20.42534828186035
2024-11-14,20.197298049926758
2024-11-15,20.355941772460938
2024-11-18,20.58399200439453
2024-11-19,20.09814453125
2024-11-20,21.07975196838379
2024-11-21,21.29788589477539
2024-11-22,21.714324951171875
2024-11-25,21.94237518310547
2024-11-26,22.894235610961914
2024-11-27,22.229917526245117
2024-11-29,21.6350040435791
2024-12-02,21.347463607788086
2024-12-03,21.268142700195312
2024-12-04,21.178905487060547
2024-12-05,20.246875762939453
2024-12-06,20.09814453125
2024-12-09,20.336111068725586
2024-12-10,19.929588317871094
2024-12-11,19.959331512451172
2024-12-12,20.008909225463867
2024-12-13,20.326196670532227
2024-12-16,21.07975196838379
2024-12-17,20.375770568847656
2024-12-18,19.314844131469727
2024-12-19,19.3941650390625
2024-12-20,19.86018180847168
2024-12-23,20.127891540527344
2024-12-24,20.306364059448242
2024-12-26,20.42534828186035
2024-12-27,20.217126846313477
2024-12-30,19.939504623413086
2024-12-31,19.612300872802734
2025-01-02,19.126455307006836
2025-01-03,19.43382453918457
2025-01-06,19.334672927856445
2025-01-07,19.761030197143555
2025-01-08,19.57263946533203
2025-01-10,19.562725067138672
2025-01-13,20.455093383789062
2025-01-14,20.23695945739746
2025-01-15,20.663312911987305
2025-01-16,20.841787338256836
2025-01-17,20.95085334777832
2025-01-21,22.11093521118164
2025-01-22,21.95229148864746
2025-01-23,23.39991569519043
2025-01-24,23.32059097290039
2025-01-27,23.350337982177734
2025-01-28,23.271013259887695
2025-01-29,23.340423583984375
2025-01-30,23.251188278198242
2025-01-31,23.11237144470215
2025-02-03,23.013219833374023
2025-02-04,23.300762176513672
2025-02-05,23.11237144470215
2025-02-06,23.033050537109375
2025-02-07,22.58686637878418
2025-02-10,22.527374267578125
2025-02-11,22.884323120117188
2025-02-12,22.170427322387695
2025-02-13,22.636442184448242
2025-02-14,22.527374267578125
2025-02-18,23.072711944580078
2025-02-19,23.15203285217285
2025-02-20,23.211523056030273
2025-02-21,22.765338897705078
2025-02-24,22.97355842590332
2025-02-25,23.072711944580078
2025-02-26,22.705846786499023
2025-02-27,22.517459869384766
2025-02-28,22.388561248779297
2025-03-03,22.19025421142578
2025-03-04,22.24974822998047
2025-03-05,22.65627098083496
2025-03-06,22.547204971313477
2025-03-07,22.041526794433594
2025-03-10,21.4168701171875
2025-03-11,21.248310089111328
2025-03-12,20.445180892944336
2025-03-13,20.465007781982422
2025-03-14,20.613737106323242
2025-03-17,20.911195755004883
2025-03-18,20.735170364379883
2025-03-19,20.904233932495117
2025-03-20,21.182689666748047
2025-03-21,20.705333709716797
2025-03-24,21.371644973754883
2025-03-25,20.993738174438477
2025-03-26,21.35175323486328
2025-03-27,21.66004753112793
2025-03-28,21.32192039489746
2025-03-31,21.580488204956055
2025-04-01,21.898725509643555
2025-04-02,22.415861129760742
2025-04-03,21.93850326538086
2025-04-04,20.496490478515625
2025-04-07,20.1086368560791
2025-04-08,19.720787048339844
2025-04-09,21.023571014404297
2025-04-10,20.247867584228516
2025-04-11,20.178255081176758
2025-04-14,20.745113372802734
2025-04-15,20.735170364379883
2025-04-16,20.44676399230957
2025-04-17,20.277700424194336
2025-04-21,19.720787048339844
2025-04-22,20.297592163085938
