Date,AMRK
2014-03-17,4.789455890655518
2014-03-18,5.1315598487854
2014-03-19,5.041532516479492
2014-03-20,5.041532516479492
2014-03-21,4.767848014831543
2014-03-24,4.472559452056885
2014-03-25,4.839870929718018
2014-03-26,4.490564823150635
2014-03-27,4.728236675262451
2014-03-28,4.681421756744385
2014-03-31,4.724634647369385
2014-04-01,4.710232734680176
2014-04-02,4.685024261474609
2014-04-03,4.638209819793701
2014-04-04,4.508570194244385
2014-04-07,4.501368045806885
2014-04-08,4.375328540802002
2014-04-09,4.321311950683594
2014-04-10,4.324914455413818
2014-04-11,4.310510635375977
2014-04-14,4.29970645904541
2014-04-15,4.2204813957214355
2014-04-16,4.285303115844727
2014-04-17,4.321311950683594
2014-04-21,4.21328067779541
2014-04-22,4.238488674163818
2014-04-23,4.23128604888916
2014-04-24,4.054832935333252
2014-04-25,4.234886169433594
2014-04-28,4.249292373657227
2014-04-29,4.263696193695068
2014-04-30,4.170067310333252
2014-05-01,4.198876857757568
2014-05-02,4.2204813957214355
2014-05-05,4.23128604888916
2014-05-06,4.141258716583252
2014-05-07,4.242089748382568
2014-05-08,4.249292373657227
2014-05-09,4.152061462402344
2014-05-12,4.249292373657227
2014-05-13,4.177269458770752
2014-05-14,4.159625053405762
2014-05-15,4.141258716583252
2014-05-16,4.137657165527344
2014-05-19,4.069237232208252
2014-05-20,4.123252868652344
2014-05-21,4.1196513175964355
2014-05-22,4.1196513175964355
2014-05-23,4.1196513175964355
2014-05-27,3.9756076335906982
2014-05-28,4.098045825958252
2014-05-29,4.098045825958252
2014-05-30,4.033226490020752
2014-06-02,3.9612038135528564
2014-06-03,3.9684059619903564
2014-06-04,3.9900131225585938
2014-06-05,4.090843200683594
2014-06-06,4.101646423339844
2014-06-09,4.1196513175964355
2014-06-10,4.130456447601318
2014-06-11,4.080039978027344
2014-06-12,4.141258716583252
2014-06-13,4.137657165527344
2014-06-16,4.317712306976318
2014-06-17,4.17366886138916
2014-06-18,4.314110279083252
2014-06-19,4.317712306976318
2014-06-20,3.914389133453369
2014-06-23,4.134056091308594
2014-06-24,4.0152201652526855
2014-06-25,4.051231861114502
2014-06-26,4.101646423339844
2014-06-27,4.0044169425964355
2014-06-30,4.0188212394714355
2014-07-01,4.1088480949401855
2014-07-02,4.21328067779541
2014-07-03,4.206078052520752
2014-07-07,4.33211612701416
2014-07-08,4.27449893951416
2014-07-09,4.321311950683594
2014-07-10,4.317712306976318
2014-07-11,4.33211612701416
2014-07-14,4.33211612701416
2014-07-15,4.310510635375977
2014-07-16,4.303308486938477
2014-07-17,4.303308486938477
2014-07-18,4.335719108581543
2014-07-21,4.303308486938477
2014-07-22,4.234886169433594
2014-07-23,4.2204813957214355
