Date,BBNX
2025-01-30,23.6299991607666
2025-01-31,23.809999465942383
2025-02-03,22.75
2025-02-04,23.0
2025-02-05,22.84000015258789
2025-02-06,23.469999313354492
2025-02-07,23.5
2025-02-10,22.530000686645508
2025-02-11,22.559999465942383
2025-02-12,21.989999771118164
2025-02-13,21.75
2025-02-14,21.809999465942383
2025-02-18,21.959999084472656
2025-02-19,21.809999465942383
2025-02-20,20.8700008392334
2025-02-21,20.56999969482422
2025-02-24,20.600000381469727
2025-02-25,19.170000076293945
2025-02-26,19.989999771118164
2025-02-27,19.90999984741211
2025-02-28,20.969999313354492
2025-03-03,20.979999542236328
2025-03-04,18.469999313354492
2025-03-05,18.06999969482422
2025-03-06,17.809999465942383
2025-03-07,16.139999389648438
2025-03-10,14.989999771118164
2025-03-11,15.020000457763672
2025-03-12,14.5
2025-03-13,14.039999961853027
2025-03-14,14.670000076293945
2025-03-17,16.610000610351562
2025-03-18,15.824999809265137
2025-03-19,15.789999961853027
2025-03-20,15.6899995803833
2025-03-21,15.100000381469727
2025-03-24,14.850000381469727
2025-03-25,15.220000267028809
2025-03-26,13.149999618530273
2025-03-27,12.670000076293945
2025-03-28,11.710000038146973
2025-03-31,12.239999771118164
2025-04-01,11.239999771118164
2025-04-02,12.050000190734863
2025-04-03,10.770000457763672
2025-04-04,9.90999984741211
2025-04-07,10.4399995803833
2025-04-08,9.710000038146973
2025-04-09,11.8100004196167
2025-04-10,10.6899995803833
2025-04-11,10.90999984741211
2025-04-14,10.460000038146973
2025-04-15,10.479999542236328
2025-04-16,10.9399995803833
2025-04-17,11.140000343322754
2025-04-21,10.050000190734863
2025-04-22,10.390000343322754
2025-04-23,10.460000038146973
2025-04-24,11.0600004196167
2025-04-25,10.960000038146973
2025-04-28,10.800000190734863
2025-04-29,10.989999771118164
2025-04-30,11.050000190734863
2025-05-01,11.140000343322754
2025-05-02,11.829999923706055
2025-05-05,11.680000305175781
2025-05-06,11.350000381469727
2025-05-07,14.369999885559082
2025-05-08,14.90999984741211
2025-05-09,13.949999809265137
2025-05-12,14.180000305175781
2025-05-13,13.199999809265137
2025-05-14,12.84000015258789
2025-05-15,13.770000457763672
2025-05-16,14.359999656677246
2025-05-19,15.100000381469727
2025-05-20,15.84000015258789
2025-05-21,15.5600004196167
2025-05-22,15.510000228881836
2025-05-23,14.430000305175781
2025-05-27,14.949999809265137
2025-05-28,14.430000305175781
2025-05-29,15.359999656677246
2025-05-30,17.239999771118164
2025-06-02,18.690000534057617
2025-06-03,17.959999084472656
2025-06-04,19.450000762939453
2025-06-05,19.549999237060547
2025-06-06,19.079999923706055
2025-06-09,19.40999984741211
2025-06-10,19.270000457763672
2025-06-11,19.110000610351562
2025-06-12,19.489999771118164
2025-06-13,19.09000015258789
2025-06-16,19.450000762939453
2025-06-17,18.229999542236328
2025-06-18,17.780000686645508
2025-06-20,17.889999389648438
2025-06-23,15.800000190734863
2025-06-24,15.720000267028809
2025-06-25,14.770000457763672
2025-06-26,14.989999771118164
2025-06-27,15.069999694824219
2025-06-30,14.5600004196167
2025-07-01,13.9399995803833
2025-07-02,14.140000343322754
2025-07-03,13.520000457763672
2025-07-07,13.399999618530273
2025-07-08,13.350000381469727
2025-07-09,13.279999732971191
2025-07-10,13.5600004196167
2025-07-11,12.670000076293945
2025-07-14,12.829999923706055
2025-07-15,12.529999732971191
2025-07-16,12.65999984741211
2025-07-17,13.164999961853027
2025-07-18,13.59000015258789
2025-07-21,14.300000190734863
2025-07-22,14.960000038146973
2025-07-23,14.770000457763672
2025-07-24,14.430000305175781
2025-07-25,14.84000015258789
2025-07-28,13.989999771118164
2025-07-29,14.65999984741211
2025-07-30,16.760000228881836
2025-07-31,16.790000915527344
2025-08-01,16.399999618530273
2025-08-04,16.420000076293945
2025-08-05,15.8100004196167
2025-08-06,15.199999809265137
2025-08-07,15.09000015258789
2025-08-08,14.739999771118164
2025-08-11,14.300000190734863
2025-08-12,14.220000267028809
2025-08-13,15.100000381469727
2025-08-14,16.709999084472656
2025-08-15,17.040000915527344
2025-08-18,17.260000228881836
2025-08-19,15.880000114440918
2025-08-20,15.300000190734863
2025-08-21,16.889999389648438
2025-08-22,17.049999237060547
2025-08-25,17.450000762939453
2025-08-26,18.329999923706055
2025-08-27,18.969999313354492
2025-08-28,18.709999084472656
2025-08-29,18.84000015258789
2025-09-02,19.020000457763672
2025-09-03,19.68000030517578
2025-09-04,20.100000381469727
2025-09-05,20.200000762939453
2025-09-08,23.1299991607666
2025-09-09,25.0
2025-09-10,24.8700008392334
2025-09-11,25.34000015258789
2025-09-12,26.40999984741211
2025-09-15,25.309999465942383
2025-09-16,23.290000915527344
2025-09-17,23.110000610351562
2025-09-18,23.049999237060547
2025-09-19,22.459999084472656
