Date,GSAT
2010-01-04,14.100000381469727
2010-01-05,14.399999618530273
2010-01-06,14.399999618530273
2010-01-07,15.300000190734863
2010-01-08,16.649999618530273
2010-01-11,17.399999618530273
2010-01-12,17.549999237060547
2010-01-13,18.299999237060547
2010-01-14,18.149999618530273
2010-01-15,16.799999237060547
2010-01-19,16.950000762939453
2010-01-20,17.549999237060547
2010-01-21,17.700000762939453
2010-01-22,17.549999237060547
2010-01-25,16.799999237060547
2010-01-26,16.649999618530273
2010-01-27,16.200000762939453
2010-01-28,14.550000190734863
2010-01-29,14.25
2010-02-01,14.100000381469727
2010-02-02,13.949999809265137
2010-02-03,14.100000381469727
2010-02-04,14.399999618530273
2010-02-05,14.100000381469727
2010-02-08,14.100000381469727
2010-02-09,14.399999618530273
2010-02-10,14.550000190734863
2010-02-11,14.100000381469727
2010-02-12,14.699999809265137
2010-02-16,14.550000190734863
2010-02-17,14.699999809265137
2010-02-18,15.449999809265137
2010-02-19,15.300000190734863
2010-02-22,15.0
2010-02-23,15.149999618530273
2010-02-24,14.699999809265137
2010-02-25,14.850000381469727
2010-02-26,14.850000381469727
2010-03-01,15.600000381469727
2010-03-02,15.899999618530273
2010-03-03,16.350000381469727
2010-03-04,17.700000762939453
2010-03-05,18.0
2010-03-08,18.149999618530273
2010-03-09,19.200000762939453
2010-03-10,19.200000762939453
2010-03-11,21.299999237060547
2010-03-12,20.850000381469727
2010-03-15,19.350000381469727
2010-03-16,20.549999237060547
2010-03-17,19.799999237060547
2010-03-18,19.200000762939453
2010-03-19,19.350000381469727
2010-03-22,19.950000762939453
2010-03-23,20.100000381469727
2010-03-24,19.799999237060547
2010-03-25,20.100000381469727
2010-03-26,20.549999237060547
2010-03-29,19.950000762939453
2010-03-30,20.399999618530273
2010-03-31,20.399999618530273
2010-04-01,19.799999237060547
2010-04-05,19.950000762939453
2010-04-06,20.700000762939453
2010-04-07,21.0
2010-04-08,20.850000381469727
2010-04-09,21.600000381469727
2010-04-12,21.299999237060547
2010-04-13,21.0
2010-04-14,21.0
2010-04-15,21.0
2010-04-16,20.399999618530273
2010-04-19,20.399999618530273
2010-04-20,20.700000762939453
2010-04-21,21.0
2010-04-22,23.549999237060547
2010-04-23,24.0
2010-04-26,22.799999237060547
2010-04-27,22.649999618530273
2010-04-28,23.549999237060547
2010-04-29,27.899999618530273
2010-04-30,27.600000381469727
2010-05-03,27.0
2010-05-04,25.200000762939453
2010-05-05,24.600000381469727
2010-05-06,24.0
2010-05-07,23.100000381469727
2010-05-10,24.299999237060547
2010-05-11,25.5
2010-05-12,26.25
2010-05-13,24.75
2010-05-14,25.350000381469727
2010-05-17,24.899999618530273
2010-05-18,25.649999618530273
2010-05-19,25.799999237060547
2010-05-20,25.200000762939453
2010-05-21,23.700000762939453
2010-05-24,25.200000762939453
2010-05-25,24.75
2010-05-26,24.899999618530273
2010-05-27,25.200000762939453
2010-05-28,28.950000762939453
2010-06-01,29.399999618530273
2010-06-02,29.100000381469727
2010-06-03,29.100000381469727
2010-06-04,26.850000381469727
2010-06-07,28.950000762939453
2010-06-08,27.75
2010-06-09,26.700000762939453
2010-06-10,27.0
2010-06-11,25.5
2010-06-14,24.75
2010-06-15,27.0
2010-06-16,25.799999237060547
2010-06-17,26.100000381469727
2010-06-18,26.100000381469727
2010-06-21,25.799999237060547
2010-06-22,25.5
2010-06-23,25.649999618530273
2010-06-24,24.75
2010-06-25,23.399999618530273
2010-06-28,24.75
2010-06-29,24.899999618530273
2010-06-30,23.100000381469727
2010-07-01,22.350000381469727
2010-07-02,21.75
2010-07-06,21.149999618530273
2010-07-07,22.350000381469727
2010-07-08,23.700000762939453
2010-07-09,25.350000381469727
2010-07-12,24.299999237060547
2010-07-13,24.600000381469727
2010-07-14,25.049999237060547
2010-07-15,27.600000381469727
2010-07-16,27.0
2010-07-19,25.950000762939453
2010-07-20,26.25
2010-07-21,25.5
2010-07-22,25.950000762939453
2010-07-23,26.100000381469727
