Date,AZZ
2010-01-04,13.261261940002441
2010-01-05,13.073046684265137
2010-01-06,13.386735916137695
2010-01-07,13.657293319702148
2010-01-08,12.677014350891113
2010-01-11,12.6103515625
2010-01-12,12.422141075134277
2010-01-13,12.794645309448242
2010-01-14,12.763279914855957
2010-01-15,12.147659301757812
2010-01-19,12.324110984802246
2010-01-20,12.092763900756836
2010-01-21,12.03786563873291
2010-01-22,11.826128005981445
2010-01-25,11.830049514770508
2010-01-26,11.806520462036133
2010-01-27,12.202555656433105
2010-01-28,12.03258228302002
2010-01-29,11.890281677246094
2010-02-01,12.044438362121582
2010-02-02,11.957474708557129
2010-02-03,11.827030181884766
2010-02-04,11.38825798034668
2010-02-05,11.522658348083496
2010-02-08,11.467320442199707
2010-02-09,11.823077201843262
2010-02-10,11.906089782714844
2010-02-11,11.985146522521973
2010-02-12,12.123496055603027
2010-02-16,12.178837776184082
2010-02-17,11.834940910339355
2010-02-18,11.854700088500977
2010-02-19,12.178837776184082
2010-02-22,12.597843170166016
2010-02-23,12.412055969238281
2010-02-24,12.447636604309082
2010-02-25,12.506928443908691
2010-02-26,12.416008949279785
2010-03-01,12.518786430358887
2010-03-02,12.566216468811035
2010-03-03,12.696661949157715
2010-03-04,13.032657623291016
2010-03-05,13.226353645324707
2010-03-08,13.364705085754395
2010-03-09,13.305405616760254
2010-03-10,13.503050804138184
2010-03-11,13.546534538269043
2010-03-12,13.530726432800293
2010-03-15,13.542581558227539
2010-03-16,13.736271858215332
2010-03-17,13.771852493286133
2010-03-18,13.965538024902344
2010-03-19,13.680930137634277
2010-03-22,13.949729919433594
2010-03-23,14.016931533813477
2010-03-24,13.74022388458252
2010-03-25,13.72441577911377
2010-03-26,13.704649925231934
2010-03-29,13.75604248046875
2010-03-30,13.629544258117676
2010-03-31,13.380513191223145
2010-04-01,15.202797889709473
2010-04-05,15.803627967834473
2010-04-06,16.06451988220215
2010-04-07,15.858969688415527
2010-04-08,15.823402404785156
2010-04-09,15.823402404785156
2010-04-12,15.704812049865723
2010-04-13,16.333316802978516
2010-04-14,16.5799560546875
2010-04-15,16.48050308227539
2010-04-16,16.249786376953125
2010-04-19,16.281614303588867
2010-04-20,16.55608367919922
2010-04-21,16.51630210876465
2010-04-22,16.603822708129883
2010-04-23,16.56006622314453
2010-04-26,16.432767868041992
2010-04-27,16.24580955505371
2010-04-28,16.460607528686523
2010-04-29,17.109025955200195
2010-04-30,16.158292770385742
2010-05-03,16.51630210876465
2010-05-04,15.83608341217041
2010-05-05,15.438294410705566
2010-05-06,14.849564552307129
2010-05-07,14.531330108642578
2010-05-10,15.760512351989746
2010-05-11,15.828132629394531
2010-05-12,16.329343795776367
2010-05-13,16.369131088256836
2010-05-14,16.178184509277344
2010-05-17,15.915641784667969
2010-05-18,15.414426803588867
2010-05-19,15.418399810791016
2010-05-20,14.332426071166992
2010-05-21,14.698396682739258
2010-05-24,14.455740928649902
2010-05-25,14.312536239624023
2010-05-26,14.364250183105469
2010-05-27,14.996735572814941
2010-05-28,14.686467170715332
2010-06-01,14.149446487426758
2010-06-02,14.913206100463867
2010-06-03,15.032548904418945
2010-06-04,14.153427124023438
2010-06-07,13.874969482421875
2010-06-08,13.616408348083496
2010-06-09,13.839168548583984
2010-06-10,14.511434555053711
2010-06-11,14.754088401794434
2010-06-14,14.5711030960083
2010-06-15,15.171767234802246
2010-06-16,15.267242431640625
2010-06-17,15.342812538146973
2010-06-18,15.665031433105469
2010-06-21,15.597408294677734
2010-06-22,15.501936912536621
2010-06-23,15.390549659729004
2010-06-24,15.410444259643555
2010-06-25,15.792314529418945
2010-06-28,15.30303955078125
2010-06-29,14.976849555969238
2010-06-30,14.626792907714844
2010-07-01,14.949003219604492
2010-07-02,14.996735572814941
2010-07-06,14.905244827270508
2010-07-07,15.437873840332031
2010-07-08,15.62208080291748
2010-07-09,15.93043327331543
2010-07-12,15.902398109436035
2010-07-13,16.386964797973633
2010-07-14,15.946451187133789
2010-07-15,15.958462715148926
2010-07-16,15.469901084899902
2010-07-19,16.02654457092285
2010-07-20,16.487085342407227
2010-07-21,16.262821197509766
2010-07-22,16.823467254638672
2010-07-23,17.332059860229492
2010-07-26,17.852664947509766
2010-07-27,17.572338104248047
2010-07-28,17.50826644897461
2010-07-29,17.448190689086914
2010-07-30,17.432167053222656
2010-08-02,17.732513427734375
2010-08-03,17.215932846069336
2010-08-04,17.672460556030273
2010-08-05,17.488239288330078
2010-08-06,17.36809730529785
2010-08-09,17.376113891601562
2010-08-10,17.087783813476562
2010-08-11,16.839487075805664
2010-08-12,16.563169479370117
2010-08-13,16.178714752197266
2010-08-16,16.41899871826172
2010-08-17,16.643260955810547
2010-08-18,16.551156997680664
2010-08-19,15.878379821777344
2010-08-20,16.006528854370117
2010-08-23,15.658119201660156
2010-08-24,15.469901084899902
2010-08-25,15.469901084899902
2010-08-26,15.393816947937012
2010-08-27,16.286848068237305
2010-08-30,15.986496925354004
2010-08-31,15.994512557983398
2010-09-01,16.647268295288086
2010-09-02,16.551156997680664
2010-09-03,16.875526428222656
2010-09-07,16.447031021118164
2010-09-08,16.567163467407227
2010-09-09,16.747385025024414
2010-09-10,16.795442581176758
2010-09-13,17.107797622680664
2010-09-14,16.95561981201172
2010-09-15,16.991668701171875
2010-09-16,16.76740074157715
2010-09-17,16.839487075805664
2010-09-20,17.071752548217773
2010-09-21,16.73136329650879
2010-09-22,16.659278869628906
2010-09-23,16.310876846313477
2010-09-24,16.887540817260742
2010-09-27,17.215932846069336
2010-09-28,17.239948272705078
