Date,TXNM
2010-01-04,7.948413848876953
2010-01-05,7.81709098815918
2010-01-06,7.842101573944092
2010-01-07,7.829591274261475
2010-01-08,7.86086368560791
2010-01-11,7.835847854614258
2010-01-12,7.742043495178223
2010-01-13,7.86086368560791
2010-01-14,7.842101573944092
2010-01-15,7.898388385772705
2010-01-19,8.0046968460083
2010-01-20,7.93590784072876
2010-01-21,7.773310661315918
2010-01-22,7.4731364250183105
2010-01-25,7.520533561706543
2010-01-26,7.520533561706543
2010-01-27,7.343577861785889
2010-01-28,7.337259769439697
2010-01-29,7.349899768829346
2010-02-01,7.469974517822266
2010-02-02,7.507894515991211
2010-02-03,7.476298809051514
2010-02-04,7.280383586883545
2010-02-05,7.191906452178955
2010-02-08,7.1476664543151855
2010-02-09,7.280383586883545
2010-02-10,7.210866928100586
2010-02-11,7.3562211990356445
2010-02-12,7.3878173828125
2010-02-16,7.627969741821289
2010-02-17,7.684848785400391
2010-02-18,7.906042575836182
2010-02-19,7.956597328186035
2010-02-22,7.95028018951416
2010-02-23,7.861801624298096
2010-02-24,7.716447830200195
2010-02-25,7.779644012451172
2010-02-26,7.722766876220703
2010-03-01,7.836523056030273
2010-03-02,7.874442100524902
2010-03-03,7.95028018951416
2010-03-04,7.962920665740967
2010-03-05,8.209392547607422
2010-03-08,8.240984916687012
2010-03-09,8.12723159790039
2010-03-10,8.209392547607422
2010-03-11,8.354743003845215
2010-03-12,8.30418586730957
2010-03-15,8.342105865478516
2010-03-16,8.405301094055176
2010-03-17,8.354743003845215
2010-03-18,8.316826820373535
2010-03-19,8.209392547607422
2010-03-22,8.203069686889648
2010-03-23,8.184110641479492
2010-03-24,8.12723159790039
2010-03-25,7.8934006690979
2010-03-26,7.8428425788879395
2010-03-29,7.962920665740967
2010-03-30,8.007157325744629
2010-03-31,7.9975810050964355
2010-04-01,7.9848198890686035
2010-04-05,8.131620407104492
2010-04-06,8.240124702453613
2010-04-07,8.1826810836792
2010-04-08,8.11247444152832
2010-04-09,8.150772094726562
2010-04-12,8.144384384155273
2010-04-13,8.074173927307129
2010-04-14,8.176299095153809
2010-04-15,8.240124702453613
2010-04-16,8.150772094726562
2010-04-19,8.157151222229004
2010-04-20,8.36139965057373
2010-04-21,8.463521957397461
2010-04-22,8.469904899597168
2010-04-23,8.60394287109375
2010-04-26,8.559264183044434
2010-04-27,8.393311500549316
2010-04-28,8.514586448669434
2010-04-29,8.667768478393555
2010-04-30,8.674158096313477
2010-05-03,8.891169548034668
2010-05-04,8.578413009643555
2010-05-05,8.335870742797852
2010-05-06,8.01034927368164
2010-05-07,7.7550368309021
2010-05-10,8.1826810836792
2010-05-11,8.386931419372559
2010-05-12,8.457140922546387
2010-05-13,8.45075798034668
2010-05-14,8.355016708374023
2010-05-17,8.34225082397461
2010-05-18,8.11247444152832
2010-05-19,8.016729354858398
2010-05-20,7.710357666015625
2010-05-21,7.838013172149658
2010-05-24,7.742270469665527
2010-05-25,7.69120979309082
2010-05-26,7.723122596740723
2010-05-27,7.978432655334473
2010-05-28,7.876312732696533
2010-06-01,7.68482780456543
2010-06-02,7.825248718261719
2010-06-03,7.869927406311035
2010-06-04,7.68482780456543
2010-06-07,7.69120979309082
2010-06-08,7.6529130935668945
2010-06-09,7.40398645401001
2010-06-10,7.44866418838501
2010-06-11,7.493348598480225
2010-06-14,7.512494087219238
2010-06-15,7.665684700012207
2010-06-16,7.665684700012207
2010-06-17,7.68482780456543
2010-06-18,7.7805681228637695
2010-06-21,7.69120979309082
2010-06-22,7.455049991607666
2010-06-23,7.372075080871582
2010-06-24,7.314627170562744
2010-06-25,7.37845516204834
2010-06-28,7.4422831535339355
2010-06-29,7.231654644012451
2010-06-30,7.135914325714111
2010-07-01,7.046553611755371
2010-07-02,6.982725143432617
2010-07-06,6.982725143432617
2010-07-07,7.231654644012451
2010-07-08,7.333777904510498
2010-07-09,7.589086532592773
2010-07-12,7.6210036277771
2010-07-13,7.761421203613281
2010-07-14,7.633768081665039
2010-07-15,7.525257587432861
2010-07-16,7.333777904510498
