Date,GCMG
2019-02-06,7.976229190826416
2019-02-07,7.976229190826416
2019-02-08,7.976229190826416
2019-02-11,7.976229190826416
2019-02-12,7.976229190826416
2019-02-13,7.976229190826416
2019-02-14,8.04167652130127
2019-02-15,8.082579612731934
2019-02-19,8.04167652130127
2019-02-20,8.04167652130127
2019-02-21,8.082579612731934
2019-02-22,8.082579612731934
2019-02-25,8.082579612731934
2019-02-26,8.082579612731934
2019-02-27,8.058036804199219
2019-02-28,8.058036804199219
2019-03-01,8.058036804199219
2019-03-04,8.058036804199219
2019-03-05,8.058036804199219
2019-03-06,8.058036804199219
2019-03-07,8.058036804199219
2019-03-08,8.058036804199219
2019-03-11,8.058036804199219
2019-03-12,8.066217422485352
2019-03-13,8.066217422485352
2019-03-14,8.066217422485352
2019-03-15,8.13984489440918
2019-03-18,8.123483657836914
2019-03-19,8.107120513916016
2019-03-20,8.098938941955566
2019-03-21,8.098938941955566
2019-03-22,8.098938941955566
2019-03-25,8.098938941955566
2019-03-26,8.098938941955566
2019-03-27,8.098938941955566
2019-03-28,8.098938941955566
2019-03-29,8.098938941955566
2019-04-01,8.090757369995117
2019-04-02,8.082579612731934
2019-04-03,8.082579612731934
2019-04-04,8.13984489440918
2019-04-05,8.123483657836914
2019-04-08,8.123483657836914
2019-04-09,8.123483657836914
2019-04-10,8.123483657836914
2019-04-11,8.123483657836914
2019-04-12,8.123483657836914
2019-04-15,8.123483657836914
2019-04-16,8.107120513916016
2019-04-17,8.107120513916016
2019-04-18,8.115302085876465
2019-04-22,8.115302085876465
2019-04-23,8.115302085876465
2019-04-24,8.115302085876465
2019-04-25,8.115302085876465
2019-04-26,8.098938941955566
2019-04-29,8.098938941955566
2019-04-30,8.098938941955566
2019-05-01,8.098938941955566
2019-05-02,8.098938941955566
2019-05-03,8.098938941955566
2019-05-06,8.117754936218262
2019-05-07,8.123483657836914
2019-05-08,8.123483657836914
2019-05-09,8.107120513916016
2019-05-10,8.107120513916016
2019-05-13,8.164386749267578
2019-05-14,8.164386749267578
2019-05-15,8.164386749267578
2019-05-16,8.148025512695312
2019-05-17,8.148025512695312
2019-05-20,8.148025512695312
2019-05-21,8.148025512695312
2019-05-22,8.148025512695312
2019-05-23,8.148025512695312
2019-05-24,8.148025512695312
2019-05-28,8.156204223632812
2019-05-29,8.13984489440918
2019-05-30,8.131662368774414
2019-05-31,8.148025512695312
2019-06-03,8.148025512695312
2019-06-04,8.156204223632812
2019-06-05,8.19710922241211
2019-06-06,8.19710922241211
2019-06-07,8.172565460205078
2019-06-10,8.172565460205078
2019-06-11,8.172565460205078
2019-06-12,8.168476104736328
2019-06-13,8.168476104736328
2019-06-14,8.168476104736328
2019-06-17,8.172565460205078
2019-06-18,8.172565460205078
2019-06-19,8.180747032165527
2019-06-20,8.180747032165527
2019-06-21,8.180747032165527
2019-06-24,8.180747032165527
2019-06-25,8.180747032165527
2019-06-26,8.213469505310059
2019-06-27,8.205289840698242
2019-06-28,8.19710922241211
2019-07-01,8.180747032165527
2019-07-02,8.180747032165527
2019-07-03,8.180747032165527
2019-07-05,8.213469505310059
2019-07-08,8.17992877960205
2019-07-09,8.17992877960205
2019-07-10,8.19710922241211
2019-07-11,8.221652030944824
2019-07-12,8.221652030944824
2019-07-15,8.221652030944824
