Date,OII
2010-01-04,26.79350471496582
2010-01-05,27.120573043823242
2010-01-06,28.313949584960938
2010-01-07,28.16809844970703
2010-01-08,28.490745544433594
2010-01-11,28.1238956451416
2010-01-12,27.19129753112793
2010-01-13,27.12941551208496
2010-01-14,26.73604393005371
2010-01-15,26.329410552978516
2010-01-19,26.554826736450195
2010-01-20,25.9139404296875
2010-01-21,25.038801193237305
2010-01-22,24.168075561523438
2010-01-25,25.22885513305664
2010-01-26,25.215591430664062
2010-01-27,25.038801193237305
2010-01-28,24.716140747070312
2010-01-29,24.176918029785156
2010-02-01,24.950401306152344
2010-02-02,25.237693786621094
2010-02-03,25.11835479736328
2010-02-04,23.628841400146484
2010-02-05,23.363649368286133
2010-02-08,23.036579132080078
2010-02-09,23.810060501098633
2010-02-10,23.531606674194336
2010-02-11,24.110612869262695
2010-02-12,24.06641387939453
2010-02-16,24.720565795898438
2010-02-17,24.66310691833496
2010-02-18,25.224437713623047
2010-02-19,26.14377212524414
2010-02-22,26.355934143066406
2010-02-23,25.958141326904297
2010-02-24,26.187973022460938
2010-02-25,26.705101013183594
2010-02-26,26.718358993530273
2010-03-01,26.842119216918945
2010-03-02,27.186870574951172
2010-03-03,27.717266082763672
2010-03-04,27.341571807861328
2010-03-05,27.686323165893555
2010-03-08,27.925003051757812
2010-03-09,27.620019912719727
2010-03-10,27.88964080810547
2010-03-11,28.0841121673584
2010-03-12,28.605670928955078
2010-03-15,28.203453063964844
2010-03-16,28.583560943603516
2010-03-17,28.919475555419922
2010-03-18,28.14599609375
2010-03-19,27.195709228515625
2010-03-22,27.376930236816406
2010-03-23,27.827756881713867
2010-03-24,27.964778900146484
2010-03-25,27.001237869262695
2010-03-26,26.766979217529297
2010-03-29,27.633285522460938
2010-03-30,27.907316207885742
2010-03-31,28.06201171875
2010-04-01,28.548200607299805
2010-04-05,29.224449157714844
2010-04-06,29.361467361450195
2010-04-07,29.109533309936523
2010-04-08,28.468647003173828
2010-04-09,27.925003051757812
2010-04-12,27.787979125976562
2010-04-13,27.558141708374023
2010-04-14,28.190189361572266
2010-04-15,28.150409698486328
2010-04-16,27.880802154541016
2010-04-19,27.690746307373047
2010-04-20,28.570301055908203
2010-04-21,28.808982849121094
2010-04-22,29.11837387084961
2010-04-23,29.829980850219727
2010-04-26,30.170316696166992
2010-04-27,28.901798248291016
2010-04-28,29.28191375732422
2010-04-29,29.7636775970459
2010-04-30,28.95041847229004
2010-05-03,29.277490615844727
2010-05-04,27.279693603515625
2010-05-05,26.68742561340332
2010-05-06,24.587961196899414
2010-05-07,24.181325912475586
2010-05-10,25.684104919433594
2010-05-11,25.98023796081543
2010-05-12,26.806764602661133
2010-05-13,26.307313919067383
2010-05-14,25.494047164916992
2010-05-17,24.826641082763672
2010-05-18,24.552610397338867
2010-05-19,23.84984016418457
2010-05-20,22.563644409179688
2010-05-21,23.429948806762695
2010-05-24,22.550384521484375
2010-05-25,23.350385665893555
2010-05-26,23.61116600036621
2010-05-27,23.005638122558594
2010-05-28,20.450929641723633
2010-06-01,17.84317970275879
2010-06-02,19.38130760192871
2010-06-03,19.25755500793457
2010-06-04,18.956995010375977
2010-06-07,18.267494201660156
2010-06-08,19.00119972229004
2010-06-09,19.261974334716797
2010-06-10,20.181310653686523
2010-06-11,20.291812896728516
2010-06-14,20.128278732299805
2010-06-15,21.180213928222656
2010-06-16,21.370267868041992
2010-06-17,21.2155704498291
2010-06-18,21.127172470092773
2010-06-21,21.414470672607422
2010-06-22,20.67192840576172
2010-06-23,20.23876953125
2010-06-24,19.973575592041016
2010-06-25,20.702865600585938
2010-06-28,20.265291213989258
2010-06-29,19.549266815185547
2010-06-30,19.84539794921875
2010-07-01,19.50507164001465
2010-07-02,19.792360305786133
2010-07-06,19.496231079101562
2010-07-07,20.486295700073242
2010-07-08,21.016677856445312
2010-07-09,21.255352020263672
2010-07-12,20.773582458496094
2010-07-13,20.791261672973633
2010-07-14,20.632144927978516
2010-07-15,20.747060775756836
2010-07-16,20.349275588989258
2010-07-19,20.296228408813477
2010-07-20,21.28186798095703
2010-07-21,20.67192840576172
2010-07-22,21.290712356567383
2010-07-23,21.511707305908203
2010-07-26,21.723859786987305
2010-07-27,21.458669662475586
2010-07-28,20.853137969970703
2010-07-29,22.523866653442383
2010-07-30,21.869714736938477
2010-08-02,23.257572174072266
2010-08-03,23.067514419555664
2010-08-04,23.5537052154541
2010-08-05,23.447629928588867
2010-08-06,23.332717895507812
2010-08-09,23.129392623901367
2010-08-10,22.77579689025879
2010-08-11,21.997894287109375
2010-08-12,22.121652603149414
2010-08-13,21.869714736938477
2010-08-16,21.94485855102539
2010-08-17,22.97469711303711
2010-08-18,22.789060592651367
2010-08-19,22.329391479492188
2010-08-20,22.227733612060547
2010-08-23,22.0023136138916
2010-08-24,21.67082405090332
2010-08-25,21.997894287109375
2010-08-26,22.07745361328125
2010-08-27,22.789060592651367
2010-08-30,22.254247665405273
2010-08-31,22.103979110717773
2010-09-01,22.899559020996094
2010-09-02,23.120555877685547
2010-09-03,23.31061363220215
2010-09-07,22.784645080566406
2010-09-08,22.784645080566406
2010-09-09,22.789060592651367
2010-09-10,23.17359161376953
2010-09-13,23.345966339111328
2010-09-14,23.421113967895508
2010-09-15,23.98243522644043
2010-09-16,23.46088981628418
2010-09-17,22.93491554260254
2010-09-20,23.270830154418945
2010-09-21,24.026636123657227
2010-09-22,23.52718734741211
2010-09-23,23.487411499023438
2010-09-24,23.699567794799805
2010-09-27,23.40342903137207
2010-09-28,23.624422073364258
