Date,TXN
2010-01-04,17.28887367248535
2010-01-05,17.189167022705078
2010-01-06,17.062870025634766
2010-01-07,17.116050720214844
2010-01-08,17.50822639465332
2010-01-11,17.282228469848633
2010-01-12,16.557701110839844
2010-01-13,16.63081932067871
2010-01-14,16.42476463317871
2010-01-15,16.28516960144043
2010-01-19,16.43140411376953
2010-01-20,16.31840705871582
2010-01-21,16.072467803955078
2010-01-22,15.361239433288574
2010-01-25,15.746770858764648
2010-01-26,15.520763397216797
2010-01-27,15.640408515930176
2010-01-28,15.39988899230957
2010-01-29,15.032432556152344
2010-02-01,15.39988899230957
2010-02-02,15.573600769042969
2010-02-03,15.500112533569336
2010-02-04,15.092562675476074
2010-02-05,15.346442222595215
2010-02-08,15.433297157287598
2010-02-09,15.620365142822266
2010-02-10,15.660457611083984
2010-02-11,15.880929946899414
2010-02-12,16.05463981628418
2010-02-16,16.56240463256836
2010-02-17,16.508955001831055
2010-02-18,16.589128494262695
2010-02-19,16.709388732910156
2010-02-22,16.52231788635254
2010-02-23,16.235029220581055
2010-02-24,16.535680770874023
2010-02-25,16.382015228271484
2010-02-26,16.288471221923828
2010-03-01,16.455507278442383
2010-03-02,16.35527801513672
2010-03-03,16.301836013793945
2010-03-04,16.482229232788086
2010-03-05,16.68265724182129
2010-03-08,16.495594024658203
2010-03-09,16.161535263061523
2010-03-10,16.42877960205078
2010-03-11,16.08136558532715
2010-03-12,16.03459358215332
2010-03-15,15.994511604309082
2010-03-16,16.48891258239746
2010-03-17,16.642581939697266
2010-03-18,16.515634536743164
2010-03-19,16.275114059448242
2010-03-22,16.52231788635254
2010-03-23,17.003355026245117
2010-03-24,16.56240463256836
2010-03-25,16.56240463256836
2010-03-26,16.535680770874023
2010-03-29,16.52231788635254
2010-03-30,16.442140579223633
2010-03-31,16.348608016967773
2010-04-01,16.455507278442383
2010-04-05,16.963266372680664
2010-04-06,16.736116409301758
2010-04-07,16.916500091552734
2010-04-08,16.515634536743164
2010-04-09,16.662616729736328
2010-04-12,17.163700103759766
2010-04-13,17.28396224975586
2010-04-14,17.97210693359375
2010-04-15,18.032241821289062
2010-04-16,17.758312225341797
2010-04-19,17.658105850219727
2010-04-20,17.805082321166992
2010-04-21,17.65142250061035
2010-04-22,17.704870223999023
