Date,AXS
2010-01-04,18.541799545288086
2010-01-05,18.3663272857666
2010-01-06,18.00237464904785
2010-01-07,17.781408309936523
2010-01-08,17.826904296875
2010-01-11,18.119356155395508
2010-01-12,18.223350524902344
2010-01-13,18.593791961669922
2010-01-14,18.645782470703125
2010-01-15,18.470312118530273
2010-01-19,18.73676872253418
2010-01-20,18.665281295776367
2010-01-21,18.645782470703125
2010-01-22,18.50279426574707
2010-01-25,18.645782470703125
2010-01-26,18.606792449951172
2010-01-27,18.756271362304688
2010-01-28,18.574296951293945
2010-01-29,18.717275619506836
2010-02-01,18.69778060913086
2010-02-02,18.912240982055664
2010-02-03,18.60028839111328
2010-02-04,18.437808990478516
2010-02-05,18.561296463012695
2010-02-08,18.645782470703125
2010-02-09,18.86025047302246
2010-02-10,19.24369239807129
2010-02-11,19.39317512512207
2010-02-12,19.763629913330078
2010-02-16,19.841611862182617
2010-02-17,19.919599533081055
2010-02-18,20.06907844543457
2010-02-19,20.277050018310547
2010-02-22,20.355031967163086
2010-02-23,20.277050018310547
2010-02-24,20.55000877380371
2010-02-25,20.46552085876465
2010-02-26,20.439517974853516
2010-03-01,20.491512298583984
2010-03-02,20.452526092529297
2010-03-03,20.34853744506836
2010-03-04,20.575998306274414
2010-03-05,20.537006378173828
2010-03-08,20.53050422668457
2010-03-09,20.770977020263672
2010-03-10,20.757976531982422
2010-03-11,20.6669864654541
2010-03-12,20.686481475830078
2010-03-15,20.85546875
2010-03-16,20.764476776123047
2010-03-17,20.829469680786133
2010-03-18,20.66048812866211
2010-03-19,20.32904052734375
2010-03-22,20.32254981994629
2010-03-23,20.44601821899414
2010-03-24,20.290040969848633
2010-03-25,20.277050018310547
2010-03-26,20.218551635742188
2010-03-29,20.545719146728516
2010-03-30,20.427934646606445
2010-03-31,20.4541072845459
2010-04-01,20.571887969970703
2010-04-05,20.506458282470703
2010-04-06,20.70275115966797
2010-04-07,20.899049758911133
2010-04-08,20.715835571289062
2010-04-09,20.539169311523438
2010-04-12,20.532630920410156
2010-04-13,20.65694808959961
2010-04-14,20.859790802001953
2010-04-15,20.709299087524414
2010-04-16,20.251270294189453
2010-04-19,20.21855354309082
2010-04-20,20.17929458618164
2010-04-21,20.277448654174805
2010-04-22,20.728927612304688
2010-04-23,21.036460876464844
2010-04-26,21.14114761352539
2010-04-27,20.539169311523438
2010-04-28,20.349416732788086
2010-04-29,20.467199325561523
2010-04-30,20.395219802856445
2010-05-03,20.545719146728516
2010-05-04,20.041887283325195
2010-05-05,20.054975509643555
2010-05-06,19.668922424316406
2010-05-07,19.47917366027832
2010-05-10,19.943740844726562
2010-05-11,19.878299713134766
2010-05-12,20.172748565673828
2010-05-13,20.048433303833008
2010-05-14,19.740901947021484
2010-05-17,19.989543914794922
2010-05-18,19.930646896362305
2010-05-19,20.13349723815918
2010-05-20,19.374473571777344
2010-05-21,19.00151824951172
2010-05-24,19.33522605895996
2010-05-25,19.30250358581543
2010-05-26,19.099666595458984
2010-05-27,19.969911575317383
2010-05-28,19.891393661499023
2010-06-01,19.30250358581543
2010-06-02,19.90447998046875
2010-06-03,20.022260665893555
2010-06-04,19.623119354248047
2010-06-07,19.30904197692871
2010-06-08,19.649293899536133
2010-06-09,19.825960159301758
2010-06-10,19.911022186279297
2010-06-11,20.03534507751465
2010-06-14,20.231647491455078
2010-06-15,20.742015838623047
2010-06-16,20.77473258972168
2010-06-17,20.728927612304688
2010-06-18,20.944854736328125
2010-06-21,20.787813186645508
2010-06-22,20.800899505615234
2010-06-23,20.414854049682617
2010-06-24,20.146583557128906
2010-06-25,20.362506866455078
2010-06-28,20.481088638305664
2010-06-29,19.82891082763672
2010-06-30,19.57857322692871
2010-07-01,19.525867462158203
2010-07-02,19.479759216308594
2010-07-06,19.459993362426758
2010-07-07,20.25710678100586
2010-07-08,20.44814109802246
2010-07-09,20.869760513305664
2010-07-12,20.8763427734375
2010-07-13,21.093738555908203
2010-07-14,21.10032844543457
2010-07-15,21.0673885345459
2010-07-16,20.553546905517578
2010-07-19,20.74458885192871
2010-07-20,20.935632705688477
2010-07-21,20.520601272583008
2010-07-22,20.61942481994629
2010-07-23,20.803874969482422
2010-07-26,20.76434898376465
2010-07-27,20.546964645385742
2010-07-28,20.21757698059082
2010-07-29,20.527198791503906
2010-07-30,20.533784866333008
2010-08-02,20.92904281616211
2010-08-03,20.68531036376953
2010-08-04,20.889524459838867
2010-08-05,20.645774841308594
2010-08-06,20.56671905517578
2010-08-09,20.86317253112793
2010-08-10,20.507436752319336
2010-08-11,19.8947811126709
2010-08-12,19.868431091308594
2010-08-13,20.026533126831055
2010-08-16,20.18463897705078
2010-08-17,20.342744827270508
2010-08-18,20.540374755859375
2010-08-19,20.178049087524414
2010-08-20,20.296627044677734
2010-08-23,20.415212631225586
2010-08-24,20.4744930267334
2010-08-25,20.66554069519043
2010-08-26,20.375682830810547
2010-08-27,20.606250762939453
2010-08-30,20.25051498413086
2010-08-31,20.342744827270508
2010-09-01,21.034448623657227
2010-09-02,21.05421257019043
2010-09-03,21.258432388305664
2010-09-07,20.770938873291016
2010-09-08,20.981752395629883
2010-09-09,21.04103660583496
2010-09-10,21.01468276977539
2010-09-13,21.00151252746582
2010-09-14,21.126670837402344
2010-09-15,21.284780502319336
2010-09-16,21.311134338378906
2010-09-17,21.377012252807617
2010-09-20,21.73274040222168
2010-09-21,21.363834381103516
2010-09-22,21.23208236694336
2010-09-23,20.968568801879883
2010-09-24,21.57463264465332
2010-09-27,21.620752334594727
2010-09-28,21.779870986938477
