Date,LDOS
2010-01-04,23.8548526763916
2010-01-05,23.754995346069336
2010-01-06,23.817413330078125
2010-01-07,23.82988929748535
2010-01-08,23.792438507080078
2010-01-11,23.730024337768555
2010-01-12,23.754995346069336
2010-01-13,23.655128479003906
2010-01-14,23.717540740966797
2010-01-15,23.592723846435547
2010-01-19,23.8548526763916
2010-01-20,23.580230712890625
2010-01-21,23.343053817749023
2010-01-22,22.981048583984375
2010-01-25,23.24319076538086
2010-01-26,22.906160354614258
2010-01-27,22.80628204345703
2010-01-28,22.831262588500977
2010-01-29,22.88118553161621
2010-02-01,23.218229293823242
2010-02-02,23.268156051635742
2010-02-03,23.130855560302734
2010-02-04,23.06842803955078
2010-02-05,23.31809425354004
2010-02-08,22.906160354614258
2010-02-09,23.105878829956055
2010-02-10,23.16829490661621
2010-02-11,23.293119430541992
2010-02-12,23.405471801757812
2010-02-16,23.717540740966797
2010-02-17,23.929758071899414
2010-02-18,23.792438507080078
2010-02-19,23.8548526763916
2010-02-22,23.730024337768555
2010-02-23,23.804916381835938
2010-02-24,24.316720962524414
2010-02-25,24.20438003540039
2010-02-26,24.591344833374023
2010-03-01,24.35417366027832
2010-03-02,24.229341506958008
2010-03-03,23.992156982421875
2010-03-04,23.967199325561523
2010-03-05,24.104511260986328
2010-03-08,24.129480361938477
2010-03-09,24.329204559326172
2010-03-10,24.30423927307129
2010-03-11,24.20438003540039
2010-03-12,24.09202766418457
2010-03-15,24.154441833496094
2010-03-16,24.11699867248535
2010-03-17,24.054595947265625
2010-03-18,23.892303466796875
2010-03-19,23.892303466796875
2010-03-22,24.254301071166992
2010-03-23,24.017139434814453
2010-03-24,23.77995491027832
2010-03-25,23.842363357543945
2010-03-26,24.04210090637207
2010-03-29,23.605192184448242
2010-03-30,23.692569732666016
2010-03-31,22.094764709472656
2010-04-01,21.7452392578125
2010-04-05,21.7452392578125
2010-04-06,21.595443725585938
2010-04-07,21.47062110900879
2010-04-08,21.47062110900879
2010-04-09,21.857589721679688
2010-04-12,21.72027587890625
2010-04-13,21.8450984954834
2010-04-14,22.119728088378906
2010-04-15,22.46924591064453
2010-04-16,22.431804656982422
2010-04-19,22.706422805786133
2010-04-20,22.831262588500977
2010-04-21,22.79380989074707
2010-04-22,22.91863250732422
2010-04-23,23.043468475341797
2010-04-26,22.74387550354004
2010-04-27,22.48173713684082
2010-04-28,22.13220977783203
2010-04-29,22.13220977783203
2010-04-30,21.732765197753906
2010-05-03,21.77021026611328
2010-05-04,21.795169830322266
2010-05-05,21.75771713256836
2010-05-06,21.582963943481445
2010-05-07,21.895036697387695
2010-05-10,21.75771713256836
2010-05-11,21.408205032348633
2010-05-12,21.53303337097168
2010-05-13,21.483102798461914
2010-05-14,21.49559211730957
2010-05-17,21.94497299194336
2010-05-18,21.882553100585938
2010-05-19,21.645376205444336
2010-05-20,21.096132278442383
2010-05-21,21.42068862915039
2010-05-24,21.383237838745117
2010-05-25,21.370758056640625
2010-05-26,21.258413314819336
2010-05-27,21.53303337097168
2010-05-28,21.458141326904297
2010-06-01,21.308332443237305
2010-06-02,21.77021026611328
2010-06-03,21.994892120361328
2010-06-04,21.94497299194336
2010-06-07,21.832624435424805
2010-06-08,21.707786560058594
2010-06-09,21.72027587890625
2010-06-10,22.082273483276367
2010-06-11,21.870071411132812
2010-06-14,21.882553100585938
2010-06-15,22.119728088378906
2010-06-16,22.406837463378906
2010-06-17,22.581607818603516
2010-06-18,22.45676612854004
2010-06-21,22.18214225769043
2010-06-22,21.82014274597168
2010-06-23,21.558002471923828
2010-06-24,21.42068862915039
2010-06-25,21.43317413330078
2010-06-28,21.333309173583984
2010-06-29,20.99626922607422
2010-06-30,20.896400451660156
2010-07-01,20.659229278564453
2010-07-02,20.509431838989258
2010-07-06,20.596817016601562
2010-07-07,20.821508407592773
2010-07-08,21.00875473022461
2010-07-09,21.03371238708496
2010-07-12,21.083642959594727
2010-07-13,21.121095657348633
2010-07-14,21.283376693725586
2010-07-15,21.096132278442383
2010-07-16,20.546884536743164
2010-07-19,20.646751403808594
2010-07-20,20.833984375
2010-07-21,20.55936622619629
2010-07-22,21.00875473022461
2010-07-23,21.19598960876465
2010-07-26,21.1710205078125
2010-07-27,21.146055221557617
2010-07-28,21.071168899536133
2010-07-29,20.871440887451172
2010-07-30,20.75908660888672
2010-08-02,21.1710205078125
2010-08-03,21.24592399597168
2010-08-04,21.24592399597168
2010-08-05,21.42068862915039
2010-08-06,21.208477020263672
2010-08-09,21.158552169799805
2010-08-10,20.709157943725586
2010-08-11,19.885284423828125
2010-08-12,19.810388565063477
2010-08-13,19.698043823242188
2010-08-16,19.398452758789062
2010-08-17,19.685562133789062
2010-08-18,19.410938262939453
2010-08-19,19.37348747253418
2010-08-20,19.410938262939453
2010-08-23,19.086380004882812
2010-08-24,18.97403335571289
2010-08-25,18.949066162109375
2010-08-26,18.92409896850586
2010-08-27,19.111345291137695
2010-08-30,18.88665771484375
2010-08-31,18.574575424194336
2010-09-01,19.186248779296875
2010-09-02,18.949066162109375
2010-09-03,19.36100196838379
2010-09-07,19.148799896240234
2010-09-08,19.036449432373047
2010-09-09,18.936588287353516
2010-09-10,18.92409896850586
2010-09-13,19.09886360168457
2010-09-14,19.086380004882812
2010-09-15,18.97403335571289
2010-09-16,19.585704803466797
2010-09-17,19.498315811157227
2010-09-20,19.760456085205078
2010-09-21,19.77294158935547
2010-09-22,19.897762298583984
2010-09-23,19.660594940185547
2010-09-24,20.097497940063477
2010-09-27,19.67307472229004
2010-09-28,19.872802734375
