Date,PHM
2010-01-04,8.755977630615234
2010-01-05,8.867134094238281
2010-01-06,8.867134094238281
2010-01-07,9.58540153503418
2010-01-08,9.43148136138916
2010-01-11,9.380179405212402
2010-01-12,9.320326805114746
2010-01-13,9.679457664489746
2010-01-14,9.602499961853027
2010-01-15,9.405835151672363
2010-01-19,9.3972806930542
2010-01-20,9.320326805114746
2010-01-21,8.995397567749023
2010-01-22,8.738874435424805
2010-01-25,8.74742317199707
2010-01-26,8.850035667419434
2010-01-27,8.83293342590332
2010-01-28,9.0295991897583
2010-01-29,8.995397567749023
2010-02-01,9.0295991897583
2010-02-02,9.705111503601074
2010-02-03,9.722209930419922
2010-02-04,9.337428092956543
2010-02-05,9.303223609924316
2010-02-08,9.51699161529541
2010-02-09,9.474239349365234
2010-02-10,9.602499961853027
2010-02-11,10.012938499450684
2010-02-12,10.038588523864746
2010-02-16,9.970185279846191
2010-02-17,9.927430152893066
2010-02-18,9.824816703796387
2010-02-19,9.773513793945312
2010-02-22,9.730761528015137
2010-02-23,9.380179405212402
2010-02-24,9.243369102478027
2010-02-25,9.149312973022461
2010-02-26,9.26047134399414
2010-03-01,9.337428092956543
2010-03-02,9.2091646194458
2010-03-03,9.345977783203125
2010-03-04,9.294672966003418
2010-03-05,9.602499961853027
2010-03-08,9.764965057373047
2010-03-09,9.824816703796387
2010-03-10,9.713663101196289
2010-03-11,9.756415367126465
2010-03-12,9.602499961853027
2010-03-15,9.491342544555664
2010-03-16,9.739313125610352
2010-03-17,9.807718276977539
2010-03-18,9.83337116241455
2010-03-19,9.576849937438965
2010-03-22,9.807718276977539
2010-03-23,9.807718276977539
2010-03-24,9.961628913879395
2010-03-25,9.927430152893066
2010-03-26,10.021486282348633
2010-03-29,9.935978889465332
2010-03-30,9.773513793945312
2010-03-31,9.61960220336914
2010-04-01,9.508438110351562
2010-04-05,9.782066345214844
2010-04-06,9.542644500732422
2010-04-07,9.303223609924316
2010-04-08,9.311774253845215
2010-04-09,9.55119514465332
2010-04-12,9.602499961853027
2010-04-13,9.43148136138916
2010-04-14,9.730761528015137
2010-04-15,9.636703491210938
2010-04-16,9.491342544555664
2010-04-19,9.499889373779297
2010-04-20,9.79916763305664
2010-04-21,10.064239501953125
2010-04-22,10.671347618103027
2010-04-23,11.278446197509766
2010-04-26,11.150186538696289
2010-04-27,10.79960823059082
2010-04-28,10.9962739944458
2010-04-29,11.381059646606445
2010-04-30,11.192940711975098
2010-05-03,11.449466705322266
2010-05-04,11.201491355895996
2010-05-05,10.76540470123291
2010-05-06,10.183953285217285
2010-05-07,9.559747695922852
2010-05-10,10.457574844360352
2010-05-11,10.380620002746582
2010-05-12,10.423372268676758
2010-05-13,10.106996536254883
2010-05-14,9.91032886505127
2010-05-17,9.961628913879395
2010-05-18,9.85902214050293
2010-05-19,9.645254135131836
2010-05-20,9.200613021850586
2010-05-21,9.269022941589355
2010-05-24,9.115106582641602
2010-05-25,9.286120414733887
2010-05-26,9.243369102478027
2010-05-27,9.542644500732422
2010-05-28,9.525542259216309
2010-06-01,8.944089889526367
2010-06-02,9.183514595031738
2010-06-03,8.815834045410156
2010-06-04,8.396844863891602
2010-06-07,8.037712097167969
2010-06-08,8.037712097167969
2010-06-09,7.841045379638672
2010-06-10,8.354090690612793
2010-06-11,8.165973663330078
2010-06-14,8.106118202209473
