Date,PRSU
2010-01-04,13.619778633117676
2010-01-05,13.406866073608398
2010-01-06,13.226216316223145
2010-01-07,13.200407981872559
2010-01-08,13.155244827270508
2010-01-11,13.006853103637695
2010-01-12,12.955240249633789
2010-01-13,13.193960189819336
2010-01-14,13.264925956726074
2010-01-15,13.322992324829102
2010-01-19,13.458479881286621
2010-01-20,13.252023696899414
2010-01-21,12.832655906677246
2010-01-22,12.929436683654785
2010-01-25,12.929436683654785
2010-01-26,12.716521263122559
2010-01-27,12.916531562805176
2010-01-28,12.735880851745605
2010-01-29,12.729425430297852
2010-02-01,12.65200424194336
2010-02-02,12.593940734863281
2010-02-03,12.510064125061035
2010-02-04,12.226183891296387
2010-02-05,12.574583053588867
2010-02-08,11.929403305053711
2010-02-09,11.432612419128418
2010-02-10,11.381000518798828
2010-02-11,11.464873313903809
2010-02-12,11.606812477111816
2010-02-16,11.645524024963379
2010-02-17,11.632619857788086
2010-02-18,11.916498184204102
2010-02-19,12.35522174835205
2010-02-22,12.322961807250977
2010-02-23,12.193929672241211
2010-02-24,12.387480735778809
2010-02-25,12.45200252532959
2010-02-26,12.32941722869873
2010-03-01,12.587491035461426
2010-03-02,12.671358108520508
2010-03-03,12.697171211242676
2010-03-04,12.787498474121094
2010-03-05,13.161699295043945
2010-03-08,13.277831077575684
2010-03-09,13.426225662231445
2010-03-10,13.374505996704102
2010-03-11,13.432686805725098
2010-03-12,13.393899917602539
2010-03-15,13.439152717590332
2010-03-16,13.646008491516113
2010-03-17,13.561969757080078
2010-03-18,13.465011596679688
2010-03-19,13.917509078979492
2010-03-22,14.05971622467041
2010-03-23,13.89810848236084
2010-03-24,13.62661361694336
2010-03-25,13.419757843017578
2010-03-26,13.490869522094727
2010-03-29,13.600759506225586
2010-03-30,13.620148658752441
2010-03-31,13.284005165100098
2010-04-01,13.355117797851562
2010-04-05,13.652472496032715
2010-04-06,13.833467483520508
2010-04-07,13.95629596710205
2010-04-08,13.658934593200684
2010-04-09,13.665398597717285
2010-04-12,14.014466285705566
2010-04-13,14.053254127502441
2010-04-14,14.673824310302734
2010-04-15,14.647958755493164
2010-04-16,14.602714538574219
2010-04-19,14.861286163330078
2010-04-20,14.997032165527344
2010-04-21,15.139244079589844
2010-04-22,15.21682071685791
2010-04-23,15.740419387817383
2010-04-26,16.070096969604492
2010-04-27,16.018381118774414
2010-04-28,16.179990768432617
2010-04-29,15.99898624420166
2010-04-30,15.126314163208008
2010-05-03,15.843849182128906
2010-05-04,15.52710247039795
2010-05-05,15.36549186706543
2010-05-06,14.796639442443848
2010-05-07,14.143752098083496
2010-05-10,14.751396179199219
2010-05-11,15.38488483428955
2010-05-12,16.04423713684082
2010-05-13,15.779208183288574
2010-05-14,15.643461227416992
2010-05-17,16.03777503967285
2010-05-18,15.830920219421387
2010-05-19,15.682246208190918
2010-05-20,14.52514934539795
2010-05-21,14.350606918334961
2010-05-24,14.098504066467285
2010-05-25,13.768829345703125
2010-05-26,14.292431831359863
2010-05-27,15.178031921386719
2010-05-28,14.97117805480957
2010-06-01,14.292431831359863
2010-06-02,14.525564193725586
2010-06-03,14.499666213989258
2010-06-04,13.839115142822266
2010-06-07,13.204468727111816
2010-06-08,12.809439659118652
2010-06-09,13.042574882507324
2010-06-10,13.12675952911377
2010-06-11,13.146190643310547
2010-06-14,13.12675952911377
2010-06-15,13.502364158630371
2010-06-16,13.327512741088867
2010-06-17,13.275708198547363
2010-06-18,13.275708198547363
2010-06-21,13.139711380004883
2010-06-22,12.809439659118652
2010-06-23,12.666967391967773
2010-06-24,12.336691856384277
2010-06-25,12.647539138793945
2010-06-28,12.401450157165527
2010-06-29,11.818614959716797
2010-06-30,11.430060386657715
