Date,IIIN
2010-01-04,7.804108619689941
2010-01-05,7.521745204925537
2010-01-06,7.389572620391846
2010-01-07,7.437637805938721
2010-01-08,7.473680019378662
2010-01-11,7.359533309936523
2010-01-12,7.353525161743164
2010-01-13,7.479689598083496
2010-01-14,7.479689598083496
2010-01-15,7.167287826538086
2010-01-19,7.281429767608643
2010-01-20,7.107209205627441
2010-01-21,6.368249416351318
2010-01-22,6.362241268157959
2010-01-25,6.320185661315918
2010-01-26,6.019801139831543
2010-01-27,6.176000118255615
2010-01-28,6.00778341293335
2010-01-29,5.9356889724731445
2010-02-01,5.845572471618652
2010-02-02,5.791504859924316
2010-02-03,5.749449253082275
2010-02-04,5.653324127197266
2010-02-05,5.653324127197266
2010-02-08,5.593246936798096
2010-02-09,5.641307353973389
2010-02-10,5.6172776222229
2010-02-11,5.731424808502197
2010-02-12,5.743442058563232
2010-02-16,5.923673629760742
2010-02-17,5.9657301902771
2010-02-18,6.127940654754639
2010-02-19,6.224059581756592
2010-02-22,6.212048053741455
2010-02-23,6.133948802947998
2010-02-24,6.212048053741455
2010-02-25,6.290146827697754
2010-02-26,6.097899913787842
2010-03-01,6.2841410636901855
2010-03-02,6.662632465362549
2010-03-03,6.374258518218994
2010-03-04,6.404295444488525
2010-03-05,6.674646854400635
2010-03-08,6.716701984405518
2010-03-09,6.752745628356934
2010-03-10,6.758757591247559
2010-03-11,6.776778697967529
2010-03-12,6.908951282501221
2010-03-15,6.776778697967529
2010-03-16,6.650616645812988
2010-03-17,6.3072404861450195
2010-03-18,6.102423191070557
2010-03-19,6.162664890289307
2010-03-22,6.355435371398926
2010-03-23,6.506034851074219
2010-03-24,6.40964937210083
2010-03-25,6.343387126922607
2010-03-26,6.403628826141357
2010-03-29,6.331340312957764
2010-03-30,6.421699523925781
2010-03-31,6.439772129058838
2010-04-01,6.40964937210083
2010-04-05,6.475916862487793
2010-04-06,6.536156177520752
2010-04-07,6.548208236694336
2010-04-08,6.50001335144043
2010-04-09,6.4879655838012695
2010-04-12,6.590375900268555
2010-04-13,6.554230213165283
2010-04-14,6.662662029266357
2010-04-15,6.668689250946045
2010-04-16,6.728928565979004
2010-04-19,6.6807379722595215
2010-04-20,6.747002601623535
2010-04-21,6.734953880310059
2010-04-22,6.620497226715088
2010-04-23,6.8674845695495605
2010-04-26,7.132543563842773
2010-04-27,7.240976810455322
2010-04-28,7.349411964416504
2010-04-29,7.542184352874756
2010-04-30,7.385557174682617
2010-05-03,7.566281795501709
2010-05-04,7.319291114807129
2010-05-05,7.31326961517334
2010-05-06,6.945797920227051
2010-05-07,6.891579627990723
2010-05-10,7.228932857513428
