Date,FBIZ
2010-01-04,3.3462624549865723
2010-01-05,3.311765670776367
2010-01-06,3.3290135860443115
2010-01-07,3.3807597160339355
2010-01-08,3.449754476547241
2010-01-11,3.449754476547241
2010-01-12,3.449754476547241
2010-01-13,3.449754476547241
2010-01-14,3.5015006065368652
2010-01-15,3.5015006065368652
2010-01-19,3.5015006065368652
2010-01-20,3.5015006065368652
2010-01-21,3.5015006065368652
2010-01-22,3.5015006065368652
2010-01-25,3.5015006065368652
2010-01-26,3.5015006065368652
2010-01-27,3.5015006065368652
2010-01-28,3.5015006065368652
2010-01-29,3.5015006065368652
2010-02-01,3.5015006065368652
2010-02-02,3.5015006065368652
2010-02-03,3.5015006065368652
2010-02-04,3.5015006065368652
2010-02-05,3.3807597160339355
2010-02-08,3.3807597160339355
2010-02-09,3.535999298095703
2010-02-10,3.535999298095703
2010-02-11,3.5704963207244873
2010-02-12,3.5704963207244873
2010-02-16,3.4118082523345947
2010-02-17,3.4118082523345947
2010-02-18,3.4118082523345947
2010-02-19,3.4118082523345947
2010-02-22,3.4118082523345947
2010-02-23,3.3290135860443115
2010-02-24,3.3290135860443115
2010-02-25,3.3290135860443115
2010-02-26,3.3290135860443115
2010-03-01,3.3290135860443115
2010-03-02,3.3290135860443115
2010-03-03,3.3290135860443115
2010-03-04,3.3290135860443115
2010-03-05,3.3290135860443115
2010-03-08,3.3290135860443115
2010-03-09,3.3290135860443115
2010-03-10,3.3290135860443115
2010-03-11,3.3290135860443115
2010-03-12,3.404909133911133
2010-03-15,3.404909133911133
2010-03-16,3.404909133911133
2010-03-17,3.3635103702545166
2010-03-18,3.311765670776367
2010-03-19,3.415256977081299
2010-03-22,3.415256977081299
2010-03-23,3.415256977081299
2010-03-24,3.415256977081299
2010-03-25,3.311765670776367
2010-03-26,3.5118494033813477
2010-03-29,3.418707847595215
2010-03-30,3.3526949882507324
2010-03-31,3.370065927505493
2010-04-01,3.370065927505493
2010-04-05,3.370065927505493
2010-04-06,3.370065927505493
2010-04-07,3.370065927505493
2010-04-08,3.370065927505493
2010-04-09,3.370065927505493
2010-04-12,3.370065927505493
2010-04-13,3.370065927505493
2010-04-14,3.408282995223999
2010-04-15,3.408282995223999
2010-04-16,3.4395532608032227
2010-04-19,3.4395532608032227
2010-04-20,3.4395532608032227
2010-04-21,3.4742958545684814
2010-04-22,3.4742958545684814
2010-04-23,3.4742958545684814
2010-04-26,3.509040117263794
2010-04-27,3.6445364952087402
2010-04-28,3.6445364952087402
2010-04-29,3.5333590507507324
2010-04-30,3.4742958545684814
2010-05-03,3.4742958545684814
2010-05-04,3.4742958545684814
2010-05-05,3.5125131607055664
2010-05-06,3.5125131607055664
2010-05-07,3.370065927505493
2010-05-10,3.370065927505493
2010-05-11,3.370065927505493
2010-05-12,3.6445364952087402
2010-05-13,3.6445364952087402
2010-05-14,3.6445364952087402
2010-05-17,3.370065927505493
2010-05-18,3.6480112075805664
2010-05-19,3.6480112075805664
2010-05-20,3.6480112075805664
2010-05-21,3.6480112075805664
2010-05-24,3.6480112075805664
2010-05-25,3.6480112075805664
2010-05-26,3.821725606918335
2010-05-27,3.7174975872039795
2010-05-28,3.477771520614624
2010-06-01,3.477771520614624
2010-06-02,3.56115460395813
2010-06-03,3.4742958545684814
2010-06-04,3.4742958545684814
2010-06-07,3.4742958545684814
2010-06-08,3.4742958545684814
2010-06-09,3.582001209259033
2010-06-10,3.408282995223999
2010-06-11,3.509040117263794
2010-06-14,3.509040117263794
2010-06-15,3.509040117263794
2010-06-16,3.509040117263794
2010-06-17,3.509040117263794
2010-06-18,3.509040117263794
2010-06-21,3.509040117263794
2010-06-22,3.509040117263794
2010-06-23,3.509040117263794
2010-06-24,3.509040117263794
2010-06-25,3.509040117263794
2010-06-28,3.373542070388794
2010-06-29,3.3945388793945312
2010-06-30,3.3945388793945312
2010-07-01,3.3945388793945312
2010-07-02,3.3945388793945312
2010-07-06,3.3945388793945312
2010-07-07,3.3945388793945312
2010-07-08,3.3945388793945312
2010-07-09,3.3945388793945312
2010-07-12,3.3945388793945312
2010-07-13,3.3945388793945312
2010-07-14,3.1320738792419434
2010-07-15,3.1320738792419434
2010-07-16,3.1845669746398926
2010-07-19,3.1845669746398926
2010-07-20,3.1845669746398926
2010-07-21,3.1845669746398926
2010-07-22,3.1845669746398926
2010-07-23,3.3945388793945312
2010-07-26,3.3945388793945312
2010-07-27,3.3945388793945312
2010-07-28,3.3945388793945312
2010-07-29,3.3945388793945312
2010-07-30,3.3945388793945312
2010-08-02,3.1180756092071533
2010-08-03,3.1180756092071533
2010-08-04,3.1180756092071533
2010-08-05,3.230060577392578
2010-08-06,3.2125627994537354
2010-08-09,3.2125627994537354
2010-08-10,3.2125627994537354
2010-08-11,3.2125627994537354
2010-08-12,3.2125627994537354
2010-08-13,3.2125627994537354
2010-08-16,3.2125627994537354
2010-08-17,3.2125627994537354
2010-08-18,3.3245484828948975
2010-08-19,3.2895524501800537
2010-08-20,3.2160627841949463
2010-08-23,3.3945388793945312
2010-08-24,3.3945388793945312
2010-08-25,3.3175487518310547
2010-08-26,3.2580573558807373
2010-08-27,3.2545573711395264
2010-08-30,3.2545573711395264
2010-08-31,3.2545573711395264
2010-09-01,3.2440593242645264
2010-09-02,3.2440593242645264
2010-09-03,3.3245484828948975
2010-09-07,3.1145763397216797
2010-09-08,3.2895524501800537
2010-09-09,3.2895524501800537
2010-09-10,3.1845669746398926
2010-09-13,3.1145763397216797
2010-09-14,3.034088373184204
2010-09-15,3.065584182739258
