Date,GTY
2010-01-04,10.318610191345215
2010-01-05,10.140105247497559
2010-01-06,10.11833381652832
2010-01-07,10.161876678466797
2010-01-08,10.148812294006348
2010-01-11,10.135746955871582
2010-01-12,10.074795722961426
2010-01-13,10.201059341430664
2010-01-14,10.174935340881348
2010-01-15,10.100918769836426
2010-01-19,10.318610191345215
2010-01-20,10.131393432617188
2010-01-21,9.952888488769531
2010-01-22,9.909347534179688
2010-01-25,9.926764488220215
2010-01-26,9.791796684265137
2010-01-27,10.00948715209961
2010-01-28,9.635056495666504
2010-01-29,9.391242027282715
2010-02-01,9.530567169189453
2010-02-02,9.500089645385742
2010-02-03,9.321581840515137
2010-02-04,9.230151176452637
2010-02-05,9.312873840332031
2010-02-08,9.221443176269531
2010-02-09,9.173550605773926
2010-02-10,9.134366989135742
2010-02-11,9.208380699157715
2010-02-12,9.347705841064453
2010-02-16,9.482675552368164
2010-02-17,9.526209831237793
2010-02-18,9.61764144897461
2010-02-19,9.678596496582031
2010-02-22,9.71778392791748
2010-02-23,9.687307357788086
2010-02-24,9.71778392791748
2010-02-25,9.726491928100586
2010-02-26,9.61764144897461
2010-03-01,9.770028114318848
2010-03-02,9.826628684997559
2010-03-03,9.835336685180664
2010-03-04,9.891931533813477
2010-03-05,10.174935340881348
2010-03-08,10.331671714782715
2010-03-09,10.357796669006348
2010-03-10,10.336026191711426
2010-03-11,10.436165809631348
2010-03-12,10.470992088317871
2010-03-15,10.401331901550293
2010-03-16,10.475348472595215
2010-03-17,10.575486183166504
2010-03-18,10.623382568359375
2010-03-19,10.566786766052246
2010-03-22,10.719165802001953
2010-03-23,10.743581771850586
2010-03-24,10.6903076171875
2010-03-25,10.637032508850098
2010-03-26,10.579319953918457
2010-03-29,10.486089706420898
2010-03-30,10.486089706420898
2010-03-31,10.388422012329102
2010-04-01,10.348468780517578
2010-04-05,10.592639923095703
2010-04-06,10.716946601867676
2010-04-07,10.637032508850098
2010-04-08,10.601518630981445
2010-04-09,10.654791831970215
2010-04-12,10.676987648010254
2010-04-13,10.783538818359375
2010-04-14,10.805736541748047
2010-04-15,10.566000938415527
2010-04-16,10.517168045043945
2010-04-19,10.583761215209961
2010-04-20,10.676987648010254
2010-04-21,10.681426048278809
2010-04-22,10.841249465942383
2010-04-23,10.978876113891602
2010-04-26,11.103182792663574
