Date,NG
2010-01-04,5.714285850524902
2010-01-05,5.768535137176514
2010-01-06,5.949367046356201
2010-01-07,5.931283950805664
2010-01-08,6.01265811920166
2010-01-11,6.193490028381348
2010-01-12,5.831826210021973
2010-01-13,5.913200855255127
2010-01-14,5.867992877960205
2010-01-15,5.6690778732299805
2010-01-19,5.795660018920898
2010-01-20,5.551537036895752
2010-01-21,5.090415954589844
2010-01-22,5.108499050140381
2010-01-25,5.207956790924072
2010-01-26,5.397830009460449
2010-01-27,5.126582145690918
2010-01-28,4.918625831604004
2010-01-29,4.7558770179748535
2010-02-01,5.1175408363342285
2010-02-02,5.207956790924072
2010-02-03,5.235081195831299
2010-02-04,4.773960113525391
2010-02-05,5.0542497634887695
2010-02-08,5.0542497634887695
2010-02-09,5.33453893661499
2010-02-10,5.1808319091796875
2010-02-11,5.515370845794678
2010-02-12,5.470162868499756
2010-02-16,5.479204177856445
2010-02-17,5.415913105010986
2010-02-18,5.3074140548706055
2010-02-19,5.280289173126221
2010-02-22,5.325497150421143
2010-02-23,5.17179012298584
2010-02-24,5.036166191101074
2010-02-25,5.144664764404297
2010-02-26,5.262206077575684
2010-03-01,5.461121082305908
2010-03-02,5.3707051277160645
2010-03-03,5.50632905960083
2010-03-04,5.551537036895752
2010-03-05,5.741409778594971
2010-03-08,5.696203231811523
2010-03-09,6.220614910125732
2010-03-10,6.229656219482422
2010-03-11,6.537071228027344
2010-03-12,6.537071228027344
2010-03-15,6.455696105957031
2010-03-16,6.781192779541016
2010-03-17,6.817359924316406
2010-03-18,6.735986232757568
2010-03-19,6.672694206237793
2010-03-22,6.871609210968018
2010-03-23,7.016274929046631
2010-03-24,6.645569801330566
2010-03-25,6.491862773895264
2010-03-26,6.509945869445801
2010-03-29,6.627486228942871
2010-03-30,6.455696105957031
2010-03-31,6.455696105957031
2010-04-01,6.880650997161865
2010-04-05,6.844484806060791
2010-04-06,6.871609210968018
2010-04-07,7.016274929046631
2010-04-08,7.02531623840332
2010-04-09,7.043399810791016
2010-04-12,6.952983856201172
2010-04-13,7.007233142852783
2010-04-14,7.034358024597168
2010-04-15,7.016274929046631
2010-04-16,6.781192779541016
2010-04-19,6.6636528968811035
2010-04-20,6.7269439697265625
2010-04-21,6.772151947021484
2010-04-22,6.8535261154174805
2010-04-23,7.296564102172852
2010-04-26,7.052441120147705
2010-04-27,7.3598551750183105
2010-04-28,7.7848100662231445
2010-04-29,8.001808166503906
2010-04-30,8.001808166503906
2010-05-03,8.12839126586914
2010-05-04,7.667269229888916
2010-05-05,7.224230766296387
2010-05-06,7.224230766296387
2010-05-07,6.952983856201172
2010-05-10,7.540687084197998
2010-05-11,7.893309116363525
2010-05-12,7.857142925262451
2010-05-13,7.676311016082764
2010-05-14,7.567811965942383
2010-05-17,7.260397911071777
2010-05-18,7.224230766296387
2010-05-19,6.537071228027344
2010-05-20,5.967450141906738
2010-05-21,6.075949192047119
2010-05-24,6.311030864715576
2010-05-25,6.564195156097412
2010-05-26,6.34719705581665
2010-05-27,6.654611110687256
2010-05-28,6.482820987701416
2010-06-01,6.34719705581665
2010-06-02,6.51898717880249
2010-06-03,6.338156223297119
2010-06-04,6.112115859985352
2010-06-07,6.274864196777344
2010-06-08,6.528028964996338
2010-06-09,6.3652801513671875
2010-06-10,6.34719705581665
2010-06-11,6.2386980056762695
2010-06-14,6.1754069328308105
2010-06-15,6.320072174072266
2010-06-16,6.166365146636963
2010-06-17,6.247739791870117
2010-06-18,6.654611110687256
2010-06-21,6.40144681930542
2010-06-22,6.455696105957031
2010-06-23,6.555153846740723
2010-06-24,6.555153846740723
2010-06-25,6.6636528968811035
2010-06-28,6.754068851470947
2010-06-29,6.410488128662109
2010-06-30,6.311030864715576
2010-07-01,5.660036087036133
2010-07-02,5.804701805114746
2010-07-06,5.5605788230896
2010-07-07,5.795660018920898
2010-07-08,5.67811918258667
2010-07-09,5.867992877960205
2010-07-12,5.786618232727051
2010-07-13,5.895118236541748
2010-07-14,6.003616809844971
2010-07-15,5.913200855255127
2010-07-16,5.858951091766357
2010-07-19,5.623869895935059
2010-07-20,5.822784900665283
2010-07-21,5.777576923370361
2010-07-22,5.723327159881592
2010-07-23,5.804701805114746
2010-07-26,5.614828109741211
2010-07-27,5.325497150421143
2010-07-28,5.50632905960083
2010-07-29,5.406871795654297
2010-07-30,5.596745014190674
2010-08-02,5.569620132446289
2010-08-03,5.650994777679443
2010-08-04,5.8137431144714355
2010-08-05,5.786618232727051
2010-08-06,5.84086799621582
2010-08-09,5.949367046356201
2010-08-10,5.8770341873168945
2010-08-11,5.741409778594971
2010-08-12,6.06690788269043
2010-08-13,5.940324783325195
2010-08-16,6.103074073791504
2010-08-17,6.148282051086426
2010-08-18,6.193490028381348
2010-08-19,6.166365146636963
2010-08-20,6.1392412185668945
2010-08-23,5.949367046356201
2010-08-24,5.795660018920898
2010-08-25,5.994575023651123
2010-08-26,6.003616809844971
2010-08-27,6.4285712242126465
2010-08-30,6.392405033111572
2010-08-31,6.717902183532715
2010-09-01,6.582277774810791
2010-09-02,6.609403133392334
2010-09-03,6.717902183532715
2010-09-07,6.898734092712402
2010-09-08,6.8535261154174805
2010-09-09,6.754068851470947
2010-09-10,6.9168171882629395
2010-09-13,7.260397911071777
2010-09-14,7.739602088928223
2010-09-15,7.739602088928223
2010-09-16,7.97468376159668
2010-09-17,7.884267807006836
2010-09-20,7.793851852416992
2010-09-21,7.730560779571533
2010-09-22,7.802893161773682
2010-09-23,7.8481011390686035
2010-09-24,7.857142925262451
2010-09-27,7.793851852416992
2010-09-28,8.137432098388672
2010-09-29,8.083183288574219
2010-09-30,7.902350902557373
2010-10-01,8.037975311279297
2010-10-04,7.866184234619141
2010-10-05,8.30018138885498
2010-10-06,8.625678062438965
2010-10-07,8.282097816467285
2010-10-08,8.363471984863281
2010-10-11,8.544303894042969
2010-10-12,8.336346626281738
2010-10-13,8.670886039733887
2010-10-14,8.643760681152344
2010-10-15,8.562387466430664
2010-10-18,8.41772174835205
2010-10-19,7.7848100662231445
2010-10-20,8.30018138885498
2010-10-21,8.14647388458252
2010-10-22,8.652803421020508
2010-10-25,9.132006645202637
2010-10-26,8.98734188079834
2010-10-27,8.915008544921875
2010-10-28,9.60216999053955
2010-10-29,10.144664764404297
2010-11-01,10.506328582763672
2010-11-02,10.768534660339355
2010-11-03,11.01265811920166
2010-11-04,11.645569801330566
2010-11-05,12.07956600189209
2010-11-08,13.200722694396973
2010-11-09,12.902351379394531
