Date,INN
2011-02-09,5.827628135681152
2011-02-10,5.923854351043701
2011-02-11,5.893783092498779
2011-02-14,5.911825180053711
2011-02-15,5.893783092498779
2011-02-16,5.881755352020264
2011-02-17,5.833641052246094
2011-02-18,5.81559944152832
2011-02-22,5.785528182983398
2011-02-23,5.749445915222168
2011-02-24,5.761474132537842
2011-02-25,5.893783092498779
2011-02-28,5.863710880279541
2011-03-01,5.923854351043701
2011-03-02,5.923854351043701
2011-03-03,5.893783092498779
2011-03-04,5.935881614685059
2011-03-07,5.929867267608643
2011-03-08,5.95392370223999
2011-03-09,5.95392370223999
2011-03-10,5.845670223236084
2011-03-11,5.875739097595215
2011-03-14,5.8516845703125
2011-03-15,5.905808925628662
2011-03-16,5.923854351043701
2011-03-17,5.929867267608643
2011-03-18,5.929867267608643
2011-03-21,5.990006923675537
2011-03-22,6.062176704406738
2011-03-23,6.002035140991211
2011-03-24,5.983992099761963
2011-03-25,6.008049488067627
2011-03-28,5.935881614685059
2011-03-29,5.929867267608643
2011-03-30,5.935881614685059
2011-03-31,5.977978706359863
2011-04-01,6.014062404632568
2011-04-04,6.020076751708984
2011-04-05,6.0742058753967285
2011-04-06,6.254627704620361
2011-04-07,6.230571269989014
2011-04-08,6.206513404846191
2011-04-11,6.146374225616455
2011-04-12,6.164414882659912
2011-04-13,6.008049488067627
2011-04-14,6.152387619018555
2011-04-15,6.194485664367676
2011-04-18,6.176445484161377
2011-04-19,6.164414882659912
2011-04-20,6.152387619018555
2011-04-21,6.164414882659912
2011-04-25,6.242599010467529
2011-04-26,6.38693380355835
2011-04-27,6.38693380355835
2011-04-28,6.579387187957764
2011-04-29,6.813933849334717
2011-05-02,6.735753536224365
2011-05-03,6.615472316741943
2011-05-04,6.621482849121094
2011-05-05,6.621482849121094
2011-05-06,6.741763591766357
2011-05-09,6.561343669891357
2011-05-10,6.741763591766357
2011-05-11,6.684951305389404
2011-05-12,6.817922115325928
2011-05-13,6.437136650085449
2011-05-16,6.38273811340332
2011-05-17,6.412956714630127
2011-05-18,6.630550861358643
2011-05-19,6.666815757751465
2011-05-20,6.648685455322266
2011-05-23,6.533842086791992
2011-05-24,6.57011079788208
2011-05-25,6.654726505279541
2011-05-26,6.848144054412842
2011-05-27,6.842098712921143
2011-05-31,6.8058342933654785
2011-06-01,6.564065456390381
2011-06-02,6.588241100311279
2011-06-03,6.45526647567749
2011-06-06,6.412956714630127
2011-06-07,6.45526647567749
2011-06-08,6.648685455322266
2011-06-09,6.703082084655762
2011-06-10,6.600329399108887
2011-06-13,6.775613307952881
2011-06-14,6.866277694702148
2011-06-15,6.781657695770264
2011-06-16,6.7212138175964355
2011-06-17,6.830013275146484
2011-06-20,6.769570350646973
2011-06-21,6.7212138175964355
2011-06-22,6.757482528686523
2011-06-23,6.666815757751465
2011-06-24,6.830013275146484
2011-06-27,6.678905487060547
2011-06-28,6.757482528686523
2011-06-29,6.962986946105957
2011-06-30,6.860231876373291
2011-07-01,6.793745994567871
2011-07-05,6.830013275146484
2011-07-06,6.817922115325928
2011-07-07,6.781657695770264
2011-07-08,6.769570350646973
2011-07-11,6.630550861358643
2011-07-12,6.461312770843506
2011-07-13,6.358560562133789
2011-07-14,6.207454681396484
