Date,CRI
2010-01-04,19.942224502563477
2010-01-05,20.161039352416992
2010-01-06,20.289306640625
2010-01-07,20.29685401916504
2010-01-08,20.100671768188477
2010-01-11,19.9271297454834
2010-01-12,19.36878204345703
2010-01-13,20.025217056274414
2010-01-14,20.259124755859375
2010-01-15,19.663047790527344
2010-01-19,19.693233489990234
2010-01-20,19.61777114868164
2010-01-21,19.429149627685547
2010-01-22,19.24805450439453
2010-01-25,19.655502319335938
2010-01-26,19.640413284301758
2010-01-27,19.813953399658203
2010-01-28,19.489505767822266
2010-01-29,19.51213836669922
2010-02-01,19.844135284423828
2010-02-02,20.19876480102539
2010-02-03,20.21385383605957
2010-02-04,19.64795684814453
2010-02-05,19.768680572509766
2010-02-08,19.821502685546875
2010-02-09,20.29685401916504
2010-02-10,20.31195068359375
2010-02-11,20.4100341796875
2010-02-12,20.930652618408203
2010-02-16,21.157018661499023
2010-02-17,21.609729766845703
2010-02-18,21.42110252380371
2010-02-19,21.34564781188965
2010-02-22,21.504098892211914
2010-02-23,21.4060115814209
2010-02-24,21.504098892211914
2010-02-25,21.45128631591797
2010-02-26,21.624826431274414
2010-03-01,22.341630935668945
2010-03-02,22.28126335144043
2010-03-03,22.258630752563477
2010-03-04,22.069997787475586
2010-03-05,22.243534088134766
2010-03-08,22.243534088134766
2010-03-09,22.439725875854492
2010-03-10,22.899982452392578
2010-03-11,23.14143180847168
2010-03-12,23.013166427612305
2010-03-15,23.345149993896484
2010-03-16,23.156518936157227
2010-03-17,23.435701370239258
2010-03-18,23.013166427612305
2010-03-19,22.899982452392578
2010-03-22,23.065982818603516
2010-03-23,23.450788497924805
2010-03-24,23.050886154174805
2010-03-25,22.982980728149414
2010-03-26,23.19424819946289
2010-03-29,23.050886154174805
2010-03-30,23.126333236694336
2010-03-31,22.749074935913086
2010-04-01,23.496061325073242
2010-04-05,24.00913429260254
2010-04-06,24.22040367126465
2010-04-07,23.971412658691406
2010-04-08,24.046865463256836
2010-04-09,23.873323440551758
2010-04-12,23.797870635986328
2010-04-13,23.941232681274414
