Date,REX
2010-01-04,2.418333053588867
2010-01-05,2.3566670417785645
2010-01-06,2.319999933242798
2010-01-07,2.3333330154418945
2010-01-08,2.390000104904175
2010-01-11,2.363332986831665
2010-01-12,2.309999942779541
2010-01-13,2.3566670417785645
2010-01-14,2.396667003631592
2010-01-15,2.4316670894622803
2010-01-19,2.5416669845581055
2010-01-20,2.538332939147949
2010-01-21,2.4666669368743896
2010-01-22,2.4633328914642334
2010-01-25,2.488332986831665
2010-01-26,2.4533329010009766
2010-01-27,2.498332977294922
2010-01-28,2.490000009536743
2010-01-29,2.516666889190674
2010-02-01,2.576667070388794
2010-02-02,2.62166690826416
2010-02-03,2.678333044052124
2010-02-04,2.6616671085357666
2010-02-05,2.694999933242798
2010-02-08,2.7049999237060547
2010-02-09,2.761667013168335
2010-02-10,2.825000047683716
2010-02-11,2.946666955947876
2010-02-12,2.9533329010009766
2010-02-16,2.9716670513153076
2010-02-17,2.983333110809326
2010-02-18,2.990000009536743
2010-02-19,2.9733328819274902
2010-02-22,3.0316669940948486
2010-02-23,2.9816670417785645
2010-02-24,3.0183329582214355
2010-02-25,3.021667003631592
2010-02-26,3.0199999809265137
2010-03-01,3.0250000953674316
2010-03-02,3.043333053588867
2010-03-03,3.053333044052124
2010-03-04,3.0466670989990234
2010-03-05,3.0516669750213623
2010-03-08,3.005000114440918
2010-03-09,2.956666946411133
2010-03-10,2.990000009536743
2010-03-11,2.9633328914642334
2010-03-12,3.0
2010-03-15,2.9649999141693115
2010-03-16,3.0
2010-03-17,2.9816670417785645
2010-03-18,2.9700000286102295
2010-03-19,2.9000000953674316
2010-03-22,2.9200000762939453
2010-03-23,2.9666669368743896
2010-03-24,2.821666955947876
2010-03-25,2.825000047683716
2010-03-26,2.8450000286102295
2010-03-29,2.803333044052124
2010-03-30,2.799999952316284
2010-03-31,2.700000047683716
2010-04-01,2.813333034515381
2010-04-05,2.813333034515381
2010-04-06,2.8566670417785645
2010-04-07,2.8666670322418213
2010-04-08,2.865000009536743
2010-04-09,2.836667060852051
2010-04-12,2.811666965484619
2010-04-13,2.751667022705078
2010-04-14,2.8233330249786377
2010-04-15,2.863332986831665
2010-04-16,2.869999885559082
2010-04-19,2.8450000286102295
2010-04-20,2.9083330631256104
2010-04-21,2.9800000190734863
2010-04-22,2.913332939147949
2010-04-23,2.9200000762939453
2010-04-26,2.944999933242798
2010-04-27,2.9583330154418945
2010-04-28,2.9266669750213623
2010-04-29,3.049999952316284
2010-04-30,2.859999895095825
2010-05-03,2.961667060852051
2010-05-04,2.799999952316284
2010-05-05,2.7633330821990967
2010-05-06,2.7966670989990234
2010-05-07,2.738332986831665
2010-05-10,2.8833329677581787
2010-05-11,2.816667079925537
2010-05-12,2.875
2010-05-13,2.8833329677581787
2010-05-14,2.7850000858306885
2010-05-17,2.759999990463257
2010-05-18,2.7083330154418945
2010-05-19,2.683332920074463
2010-05-20,2.5983328819274902
2010-05-21,2.6566669940948486
2010-05-24,2.623332977294922
2010-05-25,2.5933330059051514
2010-05-26,2.5799999237060547
2010-05-27,3.006666898727417
2010-05-28,3.0
2010-06-01,2.8616669178009033
2010-06-02,2.934999942779541
2010-06-03,2.950000047683716
2010-06-04,2.728332996368408
2010-06-07,2.7083330154418945
2010-06-08,2.7950000762939453
2010-06-09,2.759999990463257
2010-06-10,2.99666690826416
2010-06-11,2.9816670417785645
2010-06-14,3.009999990463257
2010-06-15,3.1050000190734863
2010-06-16,3.1933329105377197
2010-06-17,3.1700000762939453
2010-06-18,3.1649999618530273
2010-06-21,3.086667060852051
2010-06-22,3.0250000953674316
2010-06-23,3.0999999046325684
2010-06-24,2.993333101272583
2010-06-25,3.1566669940948486
2010-06-28,2.988332986831665
2010-06-29,2.766666889190674
2010-06-30,2.6666669845581055
2010-07-01,2.6533329486846924
2010-07-02,2.603332996368408
2010-07-06,2.549999952316284
2010-07-07,2.6483330726623535
2010-07-08,2.619999885559082
