Date,SBSI
2010-01-04,8.063382148742676
2010-01-05,7.949702262878418
2010-01-06,7.965940952301025
2010-01-07,7.97406005859375
2010-01-08,8.091803550720215
2010-01-11,7.97406005859375
2010-01-12,7.88473653793335
2010-01-13,7.896917819976807
2010-01-14,7.892859935760498
2010-01-15,7.811655521392822
2010-01-19,7.860378265380859
2010-01-20,7.848198890686035
2010-01-21,7.730458736419678
2010-01-22,7.551809787750244
2010-01-25,7.616769790649414
2010-01-26,7.4218831062316895
2010-01-27,7.673614501953125
2010-01-28,7.572109699249268
2010-01-29,8.079622268676758
2010-02-01,8.034960746765137
2010-02-02,7.864438533782959
2010-02-03,7.9375200271606445
2010-02-04,7.917219638824463
2010-02-05,8.079622268676758
2010-02-08,7.88473653793335
2010-02-09,7.982184886932373
2010-02-10,7.965940952301025
2010-02-11,8.059324264526367
2010-02-12,7.880676746368408
2010-02-16,8.08774185180664
2010-02-17,8.043082237243652
2010-02-18,8.039024353027344
2010-02-19,8.047139167785645
2010-02-22,8.258265495300293
2010-02-23,8.274508476257324
2010-02-24,8.254209518432617
2010-02-25,8.242025375366211
2010-02-26,8.132405281066895
2010-03-01,8.189247131347656
2010-03-02,8.32846450805664
2010-03-03,8.357131004333496
2010-03-04,8.271139144897461
2010-03-05,8.406265258789062
2010-03-08,8.467679023742676
2010-03-09,8.62327766418457
2010-03-10,8.828007698059082
2010-03-11,8.95494270324707
2010-03-12,8.963128089904785
2010-03-15,8.729736328125
2010-03-16,8.660124778747559
2010-03-17,8.844386100769043
2010-03-18,8.73792552947998
2010-03-19,8.979509353637695
2010-03-22,9.077780723571777
2010-03-23,8.844386100769043
2010-03-24,8.856671333312988
2010-03-25,8.782970428466797
2010-03-26,8.807534217834473
2010-03-29,8.86485767364502
2010-03-30,8.90989875793457
2010-03-31,8.832098960876465
2010-04-01,8.828007698059082
2010-04-05,9.016359329223633
2010-04-06,9.071638107299805
2010-04-07,9.03294563293457
2010-04-08,9.230711936950684
2010-04-09,9.024348258972168
2010-04-12,9.067340850830078
2010-04-13,9.222116470336914
2010-04-14,9.355399131774902
2010-04-15,9.385493278503418
2010-04-16,9.282304763793945
2010-04-19,9.39409065246582
2010-04-20,9.428484916687012
2010-04-21,9.372591972351074
2010-04-22,9.441384315490723
2010-04-23,9.501575469970703
2010-04-26,9.535969734191895
