Date,ALAB
2024-03-20,62.029998779296875
2024-03-21,64.1500015258789
2024-03-22,70.0
2024-03-25,85.0
2024-03-26,83.37999725341797
2024-03-27,79.91999816894531
2024-03-28,74.19000244140625
2024-04-01,71.12000274658203
2024-04-02,72.20999908447266
2024-04-03,69.27999877929688
2024-04-04,69.7699966430664
2024-04-05,71.33999633789062
2024-04-08,69.91999816894531
2024-04-09,68.37000274658203
2024-04-10,71.30999755859375
2024-04-11,75.58999633789062
2024-04-12,72.7300033569336
2024-04-15,71.30000305175781
2024-04-16,74.5199966430664
2024-04-17,73.20999908447266
2024-04-18,70.91999816894531
2024-04-19,64.48999786376953
2024-04-22,65.79000091552734
2024-04-23,71.72000122070312
2024-04-24,70.98999786376953
2024-04-25,71.58999633789062
2024-04-26,85.0
2024-04-29,85.69999694824219
2024-04-30,84.76000213623047
2024-05-01,74.83000183105469
2024-05-02,79.05999755859375
2024-05-03,76.95999908447266
2024-05-06,78.11000061035156
2024-05-07,76.19000244140625
2024-05-08,69.26000213623047
2024-05-09,70.05999755859375
2024-05-10,70.08000183105469
2024-05-13,70.26000213623047
2024-05-14,72.31999969482422
2024-05-15,77.41999816894531
2024-05-16,73.0
2024-05-17,72.5
2024-05-20,72.51000213623047
2024-05-21,73.33999633789062
2024-05-22,73.13999938964844
2024-05-23,70.06999969482422
2024-05-24,71.98999786376953
2024-05-28,68.88999938964844
2024-05-29,67.44999694824219
2024-05-30,65.44000244140625
2024-05-31,64.54000091552734
2024-06-03,63.619998931884766
2024-06-04,61.209999084472656
2024-06-05,62.209999084472656
2024-06-06,63.0099983215332
2024-06-07,61.939998626708984
2024-06-10,66.69999694824219
2024-06-11,65.12999725341797
2024-06-12,64.56999969482422
2024-06-13,63.11000061035156
2024-06-14,63.91999816894531
2024-06-17,64.87999725341797
2024-06-18,67.16000366210938
2024-06-20,63.15999984741211
2024-06-21,59.0099983215332
2024-06-24,58.91999816894531
2024-06-25,57.810001373291016
2024-06-26,55.599998474121094
2024-06-27,57.880001068115234
2024-06-28,60.5099983215332
2024-07-01,57.540000915527344
2024-07-02,60.5
2024-07-03,59.34000015258789
2024-07-05,59.439998626708984
