Date,SFBS
2014-05-14,12.24995231628418
2014-05-15,12.019365310668945
2014-05-16,11.918481826782227
2014-05-19,11.66627311706543
2014-05-20,11.612957954406738
2014-05-21,12.320571899414062
2014-05-22,12.421449661254883
2014-05-23,12.431535720825195
2014-05-27,12.441627502441406
2014-05-28,12.456037521362305
2014-05-29,12.432979583740234
2014-05-30,12.356597900390625
2014-06-02,12.126009941101074
2014-06-03,12.32345199584961
2014-06-04,12.285977363586426
2014-06-05,12.24995231628418
2014-06-06,12.342187881469727
2014-06-09,12.40848159790039
2014-06-10,12.421449661254883
2014-06-11,12.4661283493042
2014-06-12,12.4661283493042
2014-06-13,12.402716636657715
2014-06-16,12.437301635742188
2014-06-17,12.46180248260498
2014-06-18,12.445950508117676
2014-06-19,12.639066696166992
2014-06-20,12.692394256591797
2014-06-23,13.08582878112793
2014-06-24,12.902803421020508
2014-06-25,12.768770217895508
2014-06-26,12.878300666809082
2014-06-27,12.45459270477295
2014-06-30,12.456037521362305
2014-07-01,12.473332405090332
2014-07-02,12.44306755065918
2014-07-03,12.496485710144043
2014-07-07,12.489265441894531
2014-07-08,12.353562355041504
2014-07-09,12.246726036071777
2014-07-10,12.149996757507324
2014-07-11,12.165884017944336
2014-07-14,12.164438247680664
2014-07-15,12.148557662963867
2014-07-16,12.165884017944336
2014-07-17,12.256830215454102
2014-07-18,12.347789764404297
2014-07-21,12.3521146774292
2014-07-22,12.343452453613281
2014-07-23,12.31746768951416
2014-07-24,12.347789764404297
2014-07-25,12.343452453613281
2014-07-28,12.343452453613281
2014-07-29,12.31746768951416
2014-07-30,12.343452453613281
2014-07-31,12.20919132232666
2014-08-01,12.365106582641602
2014-08-04,12.300143241882324
2014-08-05,12.235177040100098
2014-08-06,12.308806419372559
2014-08-07,12.343452453613281
2014-08-08,12.339122772216797
2014-08-11,12.512364387512207
2014-08-12,12.572999000549316
2014-08-13,12.776557922363281
2014-08-14,12.828530311584473
2014-08-15,12.945465087890625
2014-08-18,12.99311351776123
2014-08-19,12.906489372253418
2014-08-20,12.802546501159668
2014-08-21,12.889164924621582
2014-08-22,12.845855712890625
2014-08-25,12.850181579589844
2014-08-26,13.1187105178833
2014-08-27,12.945465087890625
2014-08-28,12.863177299499512
2014-08-29,13.066739082336426
2014-09-02,12.949797630310059
2014-09-03,12.884835243225098
2014-09-04,12.889164924621582
2014-09-05,12.923813819885254
2014-09-08,12.954126358032227
2014-09-09,12.945465087890625
2014-09-10,12.945465087890625
2014-09-11,12.915152549743652
2014-09-12,12.897825241088867
2014-09-15,13.066739082336426
2014-09-16,12.694267272949219
2014-09-17,12.650957107543945
2014-09-18,12.598984718322754
2014-09-19,12.369441986083984
2014-09-22,12.31746768951416
2014-09-23,12.339122772216797
2014-09-24,12.252504348754883
2014-09-25,12.269824981689453
