Date,RIGL
2010-01-04,94.9000015258789
2010-01-05,95.0
2010-01-06,95.19999694824219
2010-01-07,91.4000015258789
2010-01-08,93.5999984741211
2010-01-11,97.19999694824219
2010-01-12,96.19999694824219
2010-01-13,98.30000305175781
2010-01-14,98.0
2010-01-15,93.80000305175781
2010-01-19,96.19999694824219
2010-01-20,92.30000305175781
2010-01-21,90.5999984741211
2010-01-22,87.5
2010-01-25,87.0999984741211
2010-01-26,85.5999984741211
2010-01-27,87.4000015258789
2010-01-28,84.4000015258789
2010-01-29,82.0999984741211
2010-02-01,83.80000305175781
2010-02-02,89.4000015258789
2010-02-03,92.4000015258789
2010-02-04,86.0999984741211
2010-02-05,87.0
2010-02-08,85.9000015258789
2010-02-09,90.9000015258789
2010-02-10,90.5
2010-02-11,92.0999984741211
2010-02-12,94.30000305175781
2010-02-16,85.5999984741211
2010-02-17,86.5
2010-02-18,82.5
2010-02-19,79.0999984741211
2010-02-22,77.4000015258789
2010-02-23,75.0999984741211
2010-02-24,74.0999984741211
2010-02-25,75.9000015258789
2010-02-26,75.5
2010-03-01,78.30000305175781
2010-03-02,77.30000305175781
2010-03-03,78.30000305175781
2010-03-04,77.4000015258789
2010-03-05,77.80000305175781
2010-03-08,76.69999694824219
2010-03-09,77.0999984741211
2010-03-10,75.4000015258789
2010-03-11,76.30000305175781
2010-03-12,79.5
2010-03-15,80.0
2010-03-16,82.4000015258789
2010-03-17,82.4000015258789
2010-03-18,81.80000305175781
2010-03-19,82.0
2010-03-22,84.30000305175781
2010-03-23,85.9000015258789
2010-03-24,82.5999984741211
2010-03-25,81.5
2010-03-26,78.80000305175781
2010-03-29,80.4000015258789
2010-03-30,80.69999694824219
2010-03-31,79.69999694824219
2010-04-01,80.5
2010-04-05,79.9000015258789
2010-04-06,77.69999694824219
2010-04-07,76.69999694824219
2010-04-08,77.69999694824219
2010-04-09,76.69999694824219
2010-04-12,76.4000015258789
2010-04-13,76.5
2010-04-14,78.5999984741211
2010-04-15,79.30000305175781
2010-04-16,82.5
2010-04-19,80.5
2010-04-20,82.69999694824219
2010-04-21,83.19999694824219
2010-04-22,82.69999694824219
2010-04-23,81.80000305175781
2010-04-26,79.5999984741211
2010-04-27,77.19999694824219
2010-04-28,78.69999694824219
2010-04-29,80.0
2010-04-30,77.69999694824219
2010-05-03,79.5999984741211
2010-05-04,75.30000305175781
2010-05-05,75.4000015258789
2010-05-06,72.0
2010-05-07,71.0
2010-05-10,72.69999694824219
2010-05-11,74.30000305175781
2010-05-12,75.19999694824219
2010-05-13,74.0999984741211
2010-05-14,71.30000305175781
2010-05-17,72.0999984741211
2010-05-18,71.0999984741211
2010-05-19,71.19999694824219
2010-05-20,67.0
2010-05-21,65.9000015258789
2010-05-24,64.5
2010-05-25,63.70000076293945
2010-05-26,65.5
2010-05-27,67.30000305175781
2010-05-28,65.19999694824219
2010-06-01,67.30000305175781
2010-06-02,75.5999984741211
2010-06-03,77.5999984741211
2010-06-04,75.0
2010-06-07,68.5
2010-06-08,68.80000305175781
2010-06-09,68.80000305175781
2010-06-10,73.69999694824219
2010-06-11,76.69999694824219
2010-06-14,76.9000015258789
2010-06-15,77.5
2010-06-16,76.4000015258789
2010-06-17,76.0
2010-06-18,72.4000015258789
2010-06-21,71.5999984741211
2010-06-22,71.5999984741211
2010-06-23,71.30000305175781
2010-06-24,69.9000015258789
2010-06-25,76.69999694824219
2010-06-28,78.0999984741211
2010-06-29,74.19999694824219
2010-06-30,72.0
2010-07-01,71.4000015258789
2010-07-02,70.0
2010-07-06,69.4000015258789
2010-07-07,72.69999694824219
2010-07-08,74.0
2010-07-09,76.9000015258789
2010-07-12,72.5
2010-07-13,78.19999694824219
2010-07-14,77.0999984741211
2010-07-15,76.19999694824219
2010-07-16,72.5
2010-07-19,72.5
2010-07-20,72.80000305175781
2010-07-21,70.5
2010-07-22,73.80000305175781
2010-07-23,81.69999694824219
2010-07-26,84.0
2010-07-27,83.0
2010-07-28,81.0
2010-07-29,80.0
2010-07-30,81.0
2010-08-02,81.0
2010-08-03,83.4000015258789
2010-08-04,86.9000015258789
2010-08-05,85.80000305175781
2010-08-06,84.4000015258789
2010-08-09,88.0
2010-08-10,86.4000015258789
2010-08-11,82.0999984741211
2010-08-12,81.5
2010-08-13,80.5999984741211
2010-08-16,82.9000015258789
2010-08-17,84.5
2010-08-18,85.4000015258789
2010-08-19,82.19999694824219
2010-08-20,83.0999984741211
2010-08-23,81.4000015258789
2010-08-24,80.0
2010-08-25,81.5999984741211
2010-08-26,81.19999694824219
2010-08-27,80.69999694824219
2010-08-30,78.0
2010-08-31,78.30000305175781
2010-09-01,82.69999694824219
2010-09-02,84.80000305175781
2010-09-03,84.5
2010-09-07,83.0999984741211
2010-09-08,85.0999984741211
2010-09-09,85.0
2010-09-10,85.69999694824219
2010-09-13,85.30000305175781
2010-09-14,85.80000305175781
2010-09-15,86.80000305175781
2010-09-16,84.19999694824219
2010-09-17,84.4000015258789
2010-09-20,84.9000015258789
2010-09-21,82.80000305175781
2010-09-22,83.5999984741211
2010-09-23,83.30000305175781
2010-09-24,85.5
2010-09-27,84.80000305175781
2010-09-28,84.0
2010-09-29,84.0
2010-09-30,84.0999984741211
2010-10-01,83.0999984741211
2010-10-04,82.69999694824219
2010-10-05,85.5999984741211
2010-10-06,84.0
2010-10-07,84.0
2010-10-08,84.0
2010-10-11,82.9000015258789
2010-10-12,83.0999984741211
2010-10-13,84.19999694824219
2010-10-14,84.5999984741211
2010-10-15,85.4000015258789
2010-10-18,86.30000305175781
