Date,USPH
2010-01-04,13.960854530334473
2010-01-05,12.981149673461914
2010-01-06,13.266897201538086
2010-01-07,13.51998519897461
2010-01-08,13.299551010131836
2010-01-11,13.185249328613281
2010-01-12,13.144431114196777
2010-01-13,13.16891860961914
2010-01-14,13.185249328613281
2010-01-15,13.013798713684082
2010-01-19,13.617953300476074
2010-01-20,12.92399787902832
2010-01-21,12.719887733459473
2010-01-22,12.703561782836914
2010-01-25,12.670904159545898
2010-01-26,12.736220359802246
2010-01-27,12.964818954467773
2010-01-28,12.491291999816895
2010-01-29,12.785202026367188
2010-02-01,12.64641284942627
2010-02-02,12.572931289672852
2010-02-03,12.760712623596191
2010-02-04,12.515783309936523
2010-02-05,12.997475624084473
2010-02-08,12.621915817260742
2010-02-09,12.55660343170166
2010-02-10,12.630085945129395
2010-02-11,13.005638122558594
2010-02-12,13.234233856201172
2010-02-16,13.993512153625488
2010-02-17,13.97718334197998
2010-02-18,14.034327507019043
2010-02-19,14.140470504760742
2010-02-22,14.083317756652832
2010-02-23,13.871045112609863
2010-02-24,13.887375831604004
2010-02-25,13.642444610595703
2010-02-26,13.389358520507812
2010-03-01,13.381195068359375
2010-03-02,13.617953300476074
2010-03-03,13.732254981994629
2010-03-04,14.058829307556152
2010-03-05,14.507857322692871
2010-03-08,14.842596054077148
2010-03-09,14.65481185913086
2010-03-10,14.91606616973877
2010-03-11,14.75278377532959
2010-03-12,14.801774978637695
2010-03-15,14.711965560913086
2010-03-16,15.079354286193848
2010-03-17,14.271101951599121
2010-03-18,14.434380531311035
2010-03-19,14.679308891296387
2010-03-22,14.72829818725586
2010-03-23,14.965055465698242
2010-03-24,14.965055465698242
2010-03-25,14.695637702941895
2010-03-26,14.662979125976562
2010-03-29,14.2221097946167
2010-03-30,14.442547798156738
2010-03-31,14.205780982971191
2010-04-01,14.050663948059082
2010-04-05,14.91606616973877
2010-04-06,14.711965560913086
2010-04-07,14.556846618652344
2010-04-08,14.09964656829834
2010-04-09,13.92003345489502
2010-04-12,13.879212379455566
2010-04-13,14.246604919433594
2010-04-14,14.491533279418945
2010-04-15,14.483365058898926
2010-04-16,14.385392189025879
2010-04-19,14.426214218139648
2010-04-20,14.834430694580078
2010-04-21,14.91606616973877
2010-04-22,14.818096160888672
2010-04-23,14.720126152038574
2010-04-26,14.720126152038574
2010-04-27,14.377229690551758
2010-04-28,14.409886360168457
2010-04-29,14.834430694580078
2010-04-30,14.320087432861328
2010-05-03,14.662979125976562
2010-05-04,14.540514945983887
2010-05-05,14.156795501708984
2010-05-06,13.675105094909668
2010-05-07,13.675105094909668
2010-05-10,14.483365058898926
2010-05-11,15.422243118286133
2010-05-12,15.218144416809082
2010-05-13,14.997710227966309
