Date,CYH
2010-01-04,29.568614959716797
2010-01-05,29.60959243774414
2010-01-06,29.5030517578125
2010-01-07,30.01116180419922
2010-01-08,31.224061965942383
2010-01-11,30.781518936157227
2010-01-12,29.81447410583496
2010-01-13,31.994421005249023
2010-01-14,32.69102096557617
2010-01-15,31.412555694580078
2010-01-19,30.576635360717773
2010-01-20,28.609766006469727
2010-01-21,27.437837600708008
2010-01-22,26.7904109954834
2010-01-25,26.806800842285156
2010-01-26,27.798431396484375
2010-01-27,27.36408042907715
2010-01-28,27.08544158935547
2010-01-29,26.733043670654297
2010-02-01,26.864168167114258
2010-02-02,28.347517013549805
2010-02-03,28.01150894165039
2010-02-04,26.618310928344727
2010-02-05,26.052833557128906
2010-02-08,25.96268653869629
2010-02-09,26.774019241333008
2010-02-10,26.774019241333008
2010-02-11,27.38047218322754
2010-02-12,27.93775177001953
2010-02-16,28.41307830810547
2010-02-17,28.50322723388672
2010-02-18,29.75710678100586
2010-02-19,30.142284393310547
2010-02-22,29.5030517578125
2010-02-23,28.462249755859375
2010-02-24,27.782041549682617
2010-02-25,27.437837600708008
2010-02-26,28.08526611328125
2010-03-01,29.060504913330078
2010-03-02,29.585004806518555
2010-03-03,29.396514892578125
2010-03-04,30.01935386657715
2010-03-05,30.37994956970215
2010-03-08,30.51107406616211
2010-03-09,29.298171997070312
2010-03-10,29.085094451904297
2010-03-11,29.5030517578125
2010-03-12,29.347341537475586
2010-03-15,30.92083740234375
2010-03-16,31.355188369750977
2010-03-17,31.002792358398438
2010-03-18,30.814300537109375
2010-03-19,31.273235321044922
2010-03-22,33.19913101196289
2010-03-23,32.5844841003418
2010-03-24,31.14211082458496
2010-03-25,30.855274200439453
2010-03-26,30.92083740234375
2010-03-29,30.92083740234375
2010-03-30,30.527463912963867
2010-03-31,30.265213012695312
2010-04-01,31.42894744873047
2010-04-05,31.2486515045166
2010-04-06,31.42074966430664
2010-04-07,31.33879852294922
2010-04-08,31.70758628845215
2010-04-09,31.98622703552246
2010-04-12,32.42057418823242
