Date,LKFN
2010-01-04,7.858588695526123
2010-01-05,7.845181465148926
2010-01-06,7.787066459655762
2010-01-07,7.889883518218994
2010-01-08,7.898821830749512
2010-01-11,7.863059043884277
2010-01-12,7.7691874504089355
2010-01-13,7.7960100173950195
2010-01-14,7.849647045135498
2010-01-15,7.76471471786499
2010-01-19,7.930113315582275
2010-01-20,7.746840476989746
2010-01-21,7.735557556152344
2010-01-22,7.7175164222717285
2010-01-25,7.744580268859863
2010-01-26,7.75360107421875
2010-01-27,7.82576847076416
2010-01-28,7.929515361785889
2010-01-29,8.367032051086426
2010-02-01,8.13699722290039
2010-02-02,8.033256530761719
2010-02-03,7.8573408126831055
2010-02-04,7.67692232131958
2010-02-05,7.9024505615234375
2010-02-08,7.75360107421875
2010-02-09,7.713005542755127
2010-02-10,7.749093055725098
2010-02-11,7.911466121673584
2010-02-12,7.929515361785889
2010-02-16,7.884407043457031
2010-02-17,7.9024505615234375
2010-02-18,7.938530921936035
2010-02-19,7.992657661437988
2010-02-22,8.037766456604004
2010-02-23,7.9024505615234375
2010-02-24,7.997169494628906
2010-02-25,7.988147258758545
2010-02-26,7.943042278289795
2010-03-01,8.010703086853027
2010-03-02,8.019718170166016
2010-03-03,7.9746174812316895
2010-03-04,8.069339752197266
2010-03-05,8.16406536102295
2010-03-08,8.13248348236084
2010-03-09,8.109933853149414
2010-03-10,8.109933853149414
2010-03-11,8.051298141479492
2010-03-12,8.127978324890137
2010-03-15,8.123464584350586
2010-03-16,8.09189224243164
2010-03-17,8.150527000427246
2010-03-18,8.182104110717773
2010-03-19,8.39861011505127
2010-03-22,8.533924102783203
2010-03-23,8.542946815490723
2010-03-24,8.430182456970215
2010-03-25,8.515877723693848
2010-03-26,8.4797945022583
2010-03-29,8.506857872009277
2010-03-30,8.556479454040527
2010-03-31,8.59256362915039
2010-04-01,8.651193618774414
2010-04-05,8.727875709533691
2010-04-06,8.822595596313477
2010-04-07,8.8406400680542
2010-04-08,8.872215270996094
2010-04-09,8.930850982666016
2010-04-12,8.94888973236084
2010-04-13,8.962422370910645
2010-04-14,9.224034309387207
2010-04-15,9.246582984924316
2010-04-16,9.215010643005371
2010-04-19,9.201482772827148
2010-04-20,9.273652076721191
2010-04-21,9.448622703552246
2010-04-22,9.625872611999512
2010-04-23,9.734940528869629
2010-04-26,9.512250900268555
2010-04-27,9.557703018188477
2010-04-28,9.534976959228516
2010-04-29,9.63495922088623
2010-04-30,9.480437278747559
2010-05-03,9.612236976623535
2010-05-04,9.51679515838623
2010-05-05,9.544062614440918
2010-05-06,9.325918197631836
2010-05-07,9.403175354003906
2010-05-10,9.884925842285156
2010-05-11,9.925827026367188
2010-05-12,10.039450645446777
2010-05-13,9.921282768249512
2010-05-14,9.616781234741211
2010-05-17,9.694042205810547
2010-05-18,9.45771312713623
2010-05-19,9.416812896728516
2010-05-20,9.125946998596191
2010-05-21,9.225927352905273
2010-05-24,9.003235816955566
2010-05-25,8.930519104003906
2010-05-26,9.071406364440918
2010-05-27,9.30773639678955
2010-05-28,9.180482864379883
2010-06-01,8.985052108764648
2010-06-02,9.303193092346191
2010-06-03,9.521341323852539
2010-06-04,9.06686019897461
2010-06-07,8.962329864501953
2010-06-08,8.971419334411621
2010-06-09,8.985052108764648
2010-06-10,9.203208923339844
2010-06-11,9.48952865600586
2010-06-14,9.425901412963867
2010-06-15,9.544062614440918
2010-06-16,9.544062614440918
2010-06-17,9.539520263671875
2010-06-18,9.6531400680542
2010-06-21,9.571331024169922
2010-06-22,9.366820335388184
2010-06-23,9.394087791442871
2010-06-24,9.362271308898926
2010-06-25,9.544062614440918
2010-06-28,9.580426216125488
2010-06-29,9.335004806518555
2010-06-30,9.080495834350586
2010-07-01,9.175936698913574
2010-07-02,9.125946998596191
2010-07-06,9.062317848205566
2010-07-07,9.198659896850586
2010-07-08,9.325918197631836
2010-07-09,9.37136173248291
2010-07-12,9.21229362487793
2010-07-13,9.434988021850586
2010-07-14,9.389543533325195
2010-07-15,9.162302017211914
2010-07-16,8.7669038772583
2010-07-19,8.7669038772583
2010-07-20,8.962329864501953
2010-07-21,8.639384269714355
2010-07-22,9.10662841796875
2010-07-23,9.372312545776367
2010-07-26,9.560128211975098
2010-07-27,9.353987693786621
2010-07-28,9.262370109558105
2010-07-29,9.340248107910156
2010-07-30,9.40438175201416
2010-08-02,9.619674682617188
2010-08-03,9.505157470703125
2010-08-04,9.523477554321289
2010-08-05,9.427281379699707
2010-08-06,9.537222862243652
2010-08-09,9.688387870788574
2010-08-10,9.390633583068848
2010-08-11,9.042491912841797
2010-08-12,8.941717147827148
2010-08-13,8.836358070373535
2010-08-16,8.941717147827148
2010-08-17,8.891328811645508
2010-08-18,8.850101470947266
2010-08-19,8.602737426757812
2010-08-20,8.74016284942627
2010-08-23,8.323309898376465
2010-08-24,8.520284652709961
2010-08-25,8.657708168029785
2010-08-26,8.492799758911133
2010-08-27,8.840940475463867
2010-08-30,8.469894409179688
2010-08-31,8.483635902404785
2010-09-01,8.895906448364258
2010-09-02,8.900494575500488
2010-09-03,9.033332824707031
2010-09-07,8.941717147827148
2010-09-08,8.960041046142578
2010-09-09,8.937135696411133
2010-09-10,8.996685028076172
2010-09-13,9.16617488861084
2010-09-14,9.211984634399414
2010-09-15,9.147852897644043
2010-09-16,8.689775466918945
2010-09-17,8.689775466918945
2010-09-20,8.799715042114258
2010-09-21,8.653128623962402
2010-09-22,8.543188095092773
2010-09-23,8.38744068145752
2010-09-24,8.428665161132812
2010-09-27,8.236273765563965
