Date,WGO
2010-01-04,10.236767768859863
2010-01-05,10.104143142700195
2010-01-06,10.01296615600586
2010-01-07,9.747724533081055
2010-01-08,9.805746078491211
2010-01-11,9.921789169311523
2010-01-12,9.424459457397461
2010-01-13,9.673120498657227
2010-01-14,9.75601577758789
2010-01-15,9.747724533081055
2010-01-19,10.89987850189209
2010-01-20,10.692656517028809
2010-01-21,10.783832550048828
2010-01-22,10.709233283996582
2010-01-25,10.767254829406738
2010-01-26,10.6263427734375
2010-01-27,10.593186378479004
2010-01-28,10.410835266113281
2010-01-29,9.905210494995117
2010-02-01,10.153879165649414
2010-02-02,10.236767768859863
2010-02-03,10.88329792022705
2010-02-04,9.847187995910645
2010-02-05,9.3912992477417
2010-02-08,9.946654319763184
2010-02-09,9.847187995910645
2010-02-10,9.855481147766113
2010-02-11,9.88863468170166
2010-02-12,9.930078506469727
2010-02-16,9.930078506469727
2010-02-17,9.88034439086914
2010-02-18,9.954943656921387
2010-02-19,9.979809761047363
2010-02-22,9.764298439025879
2010-02-23,9.59023666381836
2010-02-24,9.697991371154785
2010-02-25,9.747724533081055
2010-02-26,9.68140983581543
2010-03-01,9.979809761047363
2010-03-02,10.352810859680176
2010-03-03,10.394254684448242
2010-03-04,10.850144386291504
2010-03-05,11.488387107849121
2010-03-08,12.1183443069458
2010-03-09,11.745341300964355
2010-03-10,12.010586738586426
2010-03-11,11.869674682617188
2010-03-12,11.803366661071777
2010-03-15,11.59614372253418
2010-03-16,11.720478057861328
2010-03-17,12.060318946838379
2010-03-18,11.339188575744629
2010-03-19,11.38891887664795
2010-03-22,12.085186958312988
2010-03-23,12.2012300491333
2010-03-24,12.192943572998047
2010-03-25,12.002298355102539
2010-03-26,12.010586738586426
2010-03-29,11.935992240905762
2010-03-30,12.002298355102539
2010-03-31,12.110054016113281
2010-04-01,12.21781063079834
2010-04-05,12.507919311523438
2010-04-06,12.61567211151123
2010-04-07,12.39187240600586
2010-04-08,11.89454460144043
2010-04-09,12.093477249145508
2010-04-12,12.267545700073242
2010-04-13,12.14321231842041
2010-04-14,12.665409088134766
2010-04-15,12.756587028503418
2010-04-16,12.57422924041748
2010-04-19,12.557653427124023
2010-04-20,12.90578842163086
2010-04-21,13.32851791381836
2010-04-22,13.09643268585205
2010-04-23,13.121299743652344
2010-04-26,14.033080101013184
2010-04-27,13.461142539978027
2010-04-28,13.50258731842041
2010-04-29,14.339765548706055
2010-04-30,13.784406661987305
2010-05-03,14.314898490905762
2010-05-04,13.676647186279297
2010-05-05,12.773164749145508
2010-05-06,12.05202865600586
2010-05-07,11.272873878479004
2010-05-10,12.607386589050293
2010-05-11,12.3670072555542
2010-05-12,12.789739608764648
2010-05-13,12.83118724822998
2010-05-14,12.126635551452637
2010-05-17,12.474767684936523
2010-05-18,11.902832984924316
2010-05-19,11.297744750976562
2010-05-20,10.294788360595703
2010-05-21,10.6263427734375
2010-05-24,10.137300491333008
2010-05-25,10.029544830322266
2010-05-26,9.86376667022705
2010-05-27,10.303081512451172
2010-05-28,10.054411888122559
2010-06-01,9.722855567932129
