Date,FFIC
2010-01-04,6.193141937255859
2010-01-05,5.943751811981201
2010-01-06,5.943751811981201
2010-01-07,6.0788397789001465
2010-01-08,6.120401859283447
2010-01-11,6.084036350250244
2010-01-12,5.959341526031494
2010-01-13,6.068445682525635
2010-01-14,6.151576042175293
2010-01-15,6.125599384307861
2010-01-19,6.421746730804443
2010-01-20,6.338619232177734
2010-01-21,6.239903450012207
2010-01-22,6.2502946853637695
2010-01-25,6.265880107879639
2010-01-26,6.245099067687988
2010-01-27,6.5152692794799805
2010-01-28,6.3957695960998535
2010-01-29,6.36459493637085
2010-02-01,6.406164646148682
2010-02-02,6.390574932098389
2010-02-03,6.286665439605713
2010-02-04,6.2502946853637695
2010-02-05,6.385378360748291
2010-02-08,6.281467437744141
2010-02-09,6.276271343231201
2010-02-10,6.421746730804443
2010-02-11,6.582810878753662
2010-02-12,6.593203544616699
2010-02-16,6.691916465759277
2010-02-17,6.7438764572143555
2010-02-18,6.775045871734619
2010-02-19,6.697114944458008
2010-02-22,6.75946044921875
2010-02-23,6.655547618865967
2010-02-24,6.7490692138671875
2010-02-25,6.629573345184326
2010-02-26,6.593203544616699
2010-03-01,6.447726249694824
2010-03-02,6.54644250869751
2010-03-03,6.582810878753662
2010-03-04,6.613986015319824
2010-03-05,6.7075042724609375
2010-03-08,6.697010040283203
2010-03-09,6.765239238739014
2010-03-10,6.80197811126709
2010-03-11,6.807224750518799
2010-03-12,6.843963146209717
2010-03-15,6.822970867156982
2010-03-16,6.875457286834717
2010-03-17,7.027659893035889
2010-03-18,6.943682670593262
2010-03-19,6.880702018737793
2010-03-22,6.943682670593262
2010-03-23,6.906946659088135
2010-03-24,6.770488262176514
2010-03-25,6.697010040283203
2010-03-26,6.649772644042969
2010-03-29,6.718003749847412
2010-03-30,6.744246006011963
2010-03-31,6.6445231437683105
2010-04-01,6.660271167755127
2010-04-05,6.917445659637451
2010-04-06,7.132628917694092
2010-04-07,7.190363883972168
2010-04-08,7.137877464294434
2010-04-09,7.2428460121154785
2010-04-12,7.216603755950928
2010-04-13,7.153622150421143
2010-04-14,7.2953314781188965
2010-04-15,7.321572303771973
2010-04-16,7.127379894256592
2010-04-19,7.085392475128174
2010-04-20,7.164121150970459
2010-04-21,7.26909065246582
2010-04-22,7.6049885749816895
2010-04-23,7.4790263175964355
2010-04-26,7.416046142578125
2010-04-27,7.426541805267334
2010-04-28,7.332070350646973
2010-04-29,7.379307270050049
2010-04-30,7.143125534057617
2010-05-03,7.374056816101074
2010-05-04,7.137877464294434
2010-05-05,7.379307270050049
2010-05-06,7.232349872589111
2010-05-07,7.143125534057617
2010-05-10,7.6049885749816895
2010-05-11,7.578746795654297
2010-05-12,7.715205192565918
2010-05-13,7.631229400634766
2010-05-14,7.484277248382568
2010-05-17,7.50526762008667
2010-05-18,7.489521026611328
2010-05-19,7.40554666519165
2010-05-20,6.933189392089844
2010-05-21,7.017160892486572
2010-05-24,6.7232489585876465
2010-05-25,6.822970867156982
2010-05-26,6.870207786560059
2010-05-27,7.258591175079346
2010-05-28,7.106388568878174
2010-06-01,7.027659893035889
2010-06-02,7.137877464294434
2010-06-03,7.122133731842041
2010-06-04,6.5867919921875
2010-06-07,6.544365406036377
2010-06-08,6.544365406036377
2010-06-09,6.528451442718506
2010-06-10,6.761801719665527
2010-06-11,6.830744743347168
2010-06-14,6.809532165527344
2010-06-15,6.926207542419434
2010-06-16,6.9368133544921875
2010-06-17,6.926207542419434
2010-06-18,6.9792399406433105
2010-06-21,6.851962089538574
2010-06-22,6.703465938568115
2010-06-23,6.67164421081543
2010-06-24,6.491332054138184
2010-06-25,6.735287189483643
2010-06-28,6.639824867248535
2010-06-29,6.480722904205322
2010-06-30,6.486026763916016
2010-07-01,6.51784610748291
2010-07-02,6.464813232421875
2010-07-06,6.406477451324463
2010-07-07,6.804231643676758
2010-07-08,6.8360514640808105
2010-07-09,6.915598392486572
2010-07-12,6.830744743347168
2010-07-13,7.069398880004883
2010-07-14,7.016364097595215
2010-07-15,6.963331699371338
2010-07-16,6.67164421081543
2010-07-19,6.8360514640808105
2010-07-20,6.963331699371338
2010-07-21,6.411779403686523
2010-07-22,6.735287189483643
2010-07-23,6.788321495056152
2010-07-26,6.798926830291748
2010-07-27,6.756497383117676
2010-07-28,6.5761847496032715
2010-07-29,6.655735492706299
2010-07-30,6.613307476043701
2010-08-02,6.634520530700684
2010-08-03,6.62391471862793
2010-08-04,6.6027021408081055
2010-08-05,6.432991027832031
2010-08-06,6.2579827308654785
2010-08-09,6.332231044769287
2010-08-10,6.316318988800049
2010-08-11,6.210252285003662
2010-08-12,6.1731276512146
2010-08-13,6.109487533569336
2010-08-16,6.16252326965332
2010-08-17,6.151915073394775
2010-08-18,6.141307353973389
2010-08-19,6.109487533569336
2010-08-20,6.141307353973389
2010-08-23,6.045844078063965
2010-08-24,5.876139163970947
2010-08-25,5.9662957191467285
2010-08-26,5.8973517417907715
2010-08-27,5.945080280303955
2010-08-30,5.770070552825928
2010-08-31,5.743557929992676
2010-09-01,5.9662957191467285
2010-09-02,5.854925632476807
2010-09-03,5.918567180633545
2010-09-07,5.666371822357178
2010-09-08,5.709298133850098
2010-09-09,5.838078498840332
2010-09-10,5.93466329574585
2010-09-13,6.106370449066162
2010-09-14,6.036616325378418
2010-09-15,6.009786128997803
2010-09-16,5.81661319732666
2010-09-17,5.838078498840332
2010-09-20,6.009786128997803
2010-09-21,5.93466329574585
2010-09-22,5.886371612548828
2010-09-23,5.8595428466796875
2010-09-24,6.0795440673828125
