Date,ASO
2020-10-02,12.612616539001465
2020-10-05,12.767969131469727
2020-10-06,12.661165237426758
2020-10-07,12.797097206115723
2020-10-08,12.894192695617676
2020-10-09,12.913610458374023
2020-10-12,13.059252738952637
2020-10-13,13.068964004516602
2020-10-14,12.923320770263672
2020-10-15,13.301989555358887
2020-10-16,13.515599250793457
2020-10-19,13.418501853942871
2020-10-20,14.069039344787598
2020-10-21,14.467127799987793
2020-10-22,14.331194877624512
2020-10-23,14.156423568725586
2020-10-26,14.370033264160156
2020-10-27,14.447710037231445
2020-10-28,14.020491600036621
2020-10-29,14.234100341796875
2020-10-30,14.272937774658203
2020-11-02,14.690446853637695
2020-11-03,14.942892074584961
2020-11-04,15.263304710388184
2020-11-05,16.03035545349121
2020-11-06,16.991592407226562
2020-11-09,15.719651222229004
2020-11-10,16.22454261779785
2020-11-11,16.001224517822266
2020-11-12,15.777910232543945
2020-11-13,16.185707092285156
2020-11-16,15.952678680419922
2020-11-17,15.632265090942383
2020-11-18,14.777830123901367
2020-11-19,14.797249794006348
2020-11-20,15.36039924621582
2020-11-23,15.535171508789062
2020-11-24,16.506118774414062
2020-11-25,16.21483039855957
2020-11-27,16.09832000732422
2020-11-30,15.972097396850586
2020-12-01,16.389606475830078
2020-12-02,15.93326187133789
2020-12-03,15.729361534118652
2020-12-04,15.418658256530762
2020-12-07,15.719651222229004
2020-12-08,15.496333122253418
2020-12-09,16.360475540161133
2020-12-10,16.98188591003418
2020-12-11,17.06926727294922
2020-12-14,17.477066040039062
2020-12-15,17.962539672851562
2020-12-16,18.30237579345703
2020-12-17,18.263532638549805
2020-12-18,17.875154495239258
2020-12-21,18.059635162353516
2020-12-22,19.399545669555664
2020-12-23,18.96261978149414
2020-12-24,19.55489730834961
2020-12-28,20.273395538330078
2020-12-29,20.370494842529297
2020-12-30,20.195722579956055
2020-12-31,20.127756118774414
2021-01-04,20.574392318725586
2021-01-05,20.069496154785156
2021-01-06,20.554973602294922
2021-01-07,19.914146423339844
2021-01-08,20.17630386352539
2021-01-11,21.25405502319336
2021-01-12,21.875465393066406
2021-01-13,21.38998794555664
2021-01-14,21.9143009185791
2021-01-15,21.535627365112305
2021-01-19,20.953062057495117
2021-01-20,21.865751266479492
2021-01-21,21.166669845581055
2021-01-22,21.8074951171875
2021-01-25,23.001760482788086
2021-01-26,23.584333419799805
2021-01-27,21.438535690307617
2021-01-28,20.4578800201416
2021-01-29,20.875389099121094
2021-02-01,21.45795440673828
2021-02-02,22.089067459106445
2021-02-03,22.933794021606445
2021-02-04,23.234790802001953
2021-02-05,23.225078582763672
2021-02-08,23.302757263183594
2021-02-09,22.924089431762695
2021-02-10,24.817434310913086
2021-02-11,24.623247146606445
