Date,IBRX
2015-07-28,34.63999938964844
2015-07-29,34.9900016784668
2015-07-30,31.5
2015-07-31,30.600000381469727
2015-08-03,27.65999984741211
2015-08-04,30.0
2015-08-05,31.479999542236328
2015-08-06,28.959999084472656
2015-08-07,28.450000762939453
2015-08-10,27.010000228881836
2015-08-11,25.350000381469727
2015-08-12,24.700000762939453
2015-08-13,23.149999618530273
2015-08-14,22.600000381469727
2015-08-17,21.90999984741211
2015-08-18,23.739999771118164
2015-08-19,25.8799991607666
2015-08-20,25.1200008392334
2015-08-21,23.799999237060547
2015-08-24,21.899999618530273
2015-08-25,20.829999923706055
2015-08-26,19.299999237060547
2015-08-27,19.510000228881836
2015-08-28,18.559999465942383
2015-08-31,17.1200008392334
2015-09-01,18.549999237060547
2015-09-02,19.399999618530273
2015-09-03,19.010000228881836
2015-09-04,18.860000610351562
2015-09-08,19.030000686645508
2015-09-09,18.389999389648438
2015-09-10,17.979999542236328
2015-09-11,18.1299991607666
2015-09-14,17.59000015258789
2015-09-15,18.149999618530273
2015-09-16,18.90999984741211
2015-09-17,18.920000076293945
2015-09-18,19.479999542236328
2015-09-21,18.549999237060547
2015-09-22,17.8799991607666
2015-09-23,17.229999542236328
2015-09-24,16.989999771118164
2015-09-25,16.100000381469727
2015-09-28,13.100000381469727
2015-09-29,11.390000343322754
2015-09-30,11.460000038146973
2015-10-01,11.0600004196167
2015-10-02,12.229999542236328
2015-10-05,12.010000228881836
2015-10-06,11.550000190734863
2015-10-07,13.449999809265137
2015-10-08,13.300000190734863
2015-10-09,13.09000015258789
2015-10-12,12.15999984741211
2015-10-13,11.819999694824219
2015-10-14,11.460000038146973
2015-10-15,12.770000457763672
2015-10-16,12.710000038146973
2015-10-19,12.649999618530273
2015-10-20,12.369999885559082
2015-10-21,12.010000228881836
2015-10-22,10.9399995803833
2015-10-23,10.65999984741211
2015-10-26,10.75
2015-10-27,11.029999732971191
2015-10-28,11.979999542236328
2015-10-29,12.069999694824219
2015-10-30,11.899999618530273
2015-11-02,12.880000114440918
2015-11-03,15.449999809265137
2015-11-04,17.860000610351562
