Date,IPAR
2010-01-04,9.40911865234375
2010-01-05,9.312268257141113
2010-01-06,9.587910652160645
2010-01-07,9.446368217468262
2010-01-08,9.058976173400879
2010-01-11,8.97702693939209
2010-01-12,8.947224617004395
2010-01-13,8.97702693939209
2010-01-14,8.753534317016602
2010-01-15,8.63433837890625
2010-01-19,9.014277458190918
2010-01-20,9.193072319030762
2010-01-21,8.924878120422363
2010-01-22,8.97702693939209
2010-01-25,9.036625862121582
2010-01-26,9.275017738342285
2010-01-27,10.049798965454102
2010-01-28,9.900805473327637
2010-01-29,9.915704727172852
2010-02-01,9.871005058288574
2010-02-02,9.841204643249512
2010-02-03,9.79651165008545
2010-02-04,9.610261917114258
2010-02-05,9.826305389404297
2010-02-08,9.654959678649902
2010-02-09,9.744354248046875
2010-02-10,9.85610580444336
2010-02-11,9.990199089050293
2010-02-12,9.84865665435791
2010-02-16,10.146647453308105
2010-02-17,10.183897972106934
2010-02-18,10.221147537231445
2010-02-19,10.362689971923828
2010-02-22,10.355240821838379
2010-02-23,10.280745506286621
2010-02-24,10.41484260559082
2010-02-25,10.273298263549805
2010-02-26,10.116847038269043
2010-03-01,10.489339828491211
2010-03-02,10.586190223693848
2010-03-03,10.4520902633667
2010-03-04,10.489339828491211
2010-03-05,10.094499588012695
2010-03-08,9.945505142211914
2010-03-09,10.020003318786621
2010-03-10,10.101949691772461
2010-03-11,10.0572509765625
2010-03-12,10.7053861618042
2010-03-15,10.869277000427246
2010-03-16,11.271568298339844
2010-03-17,11.495068550109863
2010-03-18,11.420567512512207
2010-03-19,11.003377914428711
2010-03-22,11.435469627380371
2010-03-23,11.68131160736084
2010-03-24,11.457818031311035
2010-03-25,11.346071243286133
2010-03-26,11.50251293182373
2010-03-29,11.708250045776367
2010-03-30,11.521218299865723
2010-03-31,11.087300300598145
2010-04-01,11.304261207580566
2010-04-05,11.506257057189941
2010-04-06,11.356627464294434
2010-04-07,11.341667175292969
2010-04-08,11.401517868041992
2010-04-09,11.394035339355469
