Date,INBX
2024-05-29,12.506738662719727
2024-05-30,15.859999656677246
2024-05-31,16.25
2024-06-03,18.020000457763672
2024-06-04,17.209999084472656
2024-06-05,16.889999389648438
2024-06-06,16.239999771118164
2024-06-07,16.649999618530273
2024-06-10,16.59000015258789
2024-06-11,16.84000015258789
2024-06-12,16.520000457763672
2024-06-13,16.59000015258789
2024-06-14,15.699999809265137
2024-06-17,14.1899995803833
2024-06-18,14.569999694824219
2024-06-20,14.489999771118164
2024-06-21,15.140000343322754
2024-06-24,15.470000267028809
2024-06-25,15.09000015258789
2024-06-26,14.619999885559082
2024-06-27,14.0600004196167
2024-06-28,14.170000076293945
2024-07-01,13.739999771118164
2024-07-02,13.5600004196167
2024-07-03,13.4399995803833
2024-07-05,12.890000343322754
2024-07-08,13.609999656677246
2024-07-09,13.020000457763672
2024-07-10,12.970000267028809
2024-07-11,13.25
2024-07-12,13.289999961853027
2024-07-15,13.859999656677246
2024-07-16,14.40999984741211
2024-07-17,13.90999984741211
2024-07-18,12.979999542236328
2024-07-19,12.880000114440918
2024-07-22,13.489999771118164
2024-07-23,14.25
2024-07-24,13.449999809265137
2024-07-25,13.430000305175781
2024-07-26,13.729999542236328
2024-07-29,14.300000190734863
2024-07-30,14.279999732971191
2024-07-31,14.510000228881836
2024-08-01,14.569999694824219
2024-08-02,14.229999542236328
2024-08-05,12.4399995803833
2024-08-06,11.869999885559082
2024-08-07,11.460000038146973
2024-08-08,11.4399995803833
2024-08-09,11.039999961853027
2024-08-12,11.25
2024-08-13,11.300000190734863
2024-08-14,11.289999961853027
2024-08-15,12.395000457763672
2024-08-16,12.460000038146973
2024-08-19,12.949999809265137
2024-08-20,12.90999984741211
2024-08-21,13.050000190734863
2024-08-22,12.989999771118164
2024-08-23,13.34000015258789
2024-08-26,13.930000305175781
2024-08-27,14.1899995803833
2024-08-28,13.960000038146973
2024-08-29,13.90999984741211
2024-08-30,14.5600004196167
2024-09-03,15.949999809265137
2024-09-04,16.040000915527344
2024-09-05,16.040000915527344
2024-09-06,15.0600004196167
2024-09-09,15.199999809265137
2024-09-10,15.180000305175781
2024-09-11,15.0
2024-09-12,15.079999923706055
2024-09-13,16.40999984741211
2024-09-16,17.43000030517578
2024-09-17,17.219999313354492
2024-09-18,16.989999771118164
2024-09-19,17.489999771118164
2024-09-20,16.280000686645508
2024-09-23,15.670000076293945
2024-09-24,15.5
2024-09-25,15.420000076293945
2024-09-26,15.329999923706055
2024-09-27,15.520000457763672
2024-09-30,15.65999984741211
2024-10-01,15.449999809265137
2024-10-02,15.399999618530273
2024-10-03,14.880000114440918
2024-10-04,14.760000228881836
2024-10-07,15.270000457763672
2024-10-08,15.989999771118164
2024-10-09,15.670000076293945
2024-10-10,15.579999923706055
2024-10-11,15.640000343322754
2024-10-14,15.5
2024-10-15,15.739999771118164
2024-10-16,16.049999237060547
2024-10-17,16.170000076293945
2024-10-18,16.0
2024-10-21,15.5
2024-10-22,15.800000190734863
2024-10-23,15.760000228881836
2024-10-24,15.369999885559082
2024-10-25,15.369999885559082
2024-10-28,16.0
2024-10-29,16.100000381469727
2024-10-30,16.290000915527344
2024-10-31,16.030000686645508
2024-11-01,15.800000190734863
2024-11-04,15.550000190734863
2024-11-05,15.710000038146973
