Date,WY
2010-01-04,9.491117477416992
2010-01-05,9.692598342895508
2010-01-06,9.585429191589355
2010-01-07,9.542557716369629
2010-01-08,9.454681396484375
2010-01-11,9.516837120056152
2010-01-12,9.405374526977539
2010-01-13,9.491117477416992
2010-01-14,9.401090621948242
2010-01-15,9.343218803405762
2010-01-19,9.585429191589355
2010-01-20,9.426814079284668
2010-01-21,8.99598503112793
2010-01-22,8.843801498413086
2010-01-25,8.884528160095215
2010-01-26,8.908100128173828
2010-01-27,8.85230541229248
2010-01-28,8.687061309814453
2010-01-29,8.562592506408691
2010-02-01,8.798656463623047
2010-02-02,9.11197280883789
2010-02-03,8.961750030517578
2010-02-04,8.667749404907227
2010-02-05,8.466023445129395
2010-02-08,8.423102378845215
2010-02-09,8.538985252380371
2010-02-10,8.423102378845215
2010-02-11,8.502504348754883
2010-02-12,8.48533821105957
2010-02-16,8.687061309814453
2010-02-17,8.652724266052246
2010-02-18,8.712814331054688
2010-02-19,8.860889434814453
2010-02-22,8.863033294677734
2010-02-23,8.802950859069824
2010-02-24,9.021842956542969
2010-02-25,8.848012924194336
2010-02-26,8.669892311096191
2010-03-01,8.953166961669922
2010-03-02,9.103385925292969
2010-03-03,9.178498268127441
2010-03-04,9.126997947692871
2010-03-05,9.309405326843262
2010-03-08,9.354470252990723
2010-03-09,9.345890045166016
2010-03-10,9.227856636047363
2010-03-11,9.3973970413208
2010-03-12,9.373787879943848
2010-03-15,9.307257652282715
2010-03-16,9.579803466796875
2010-03-17,9.72573471069336
2010-03-18,9.618436813354492
2010-03-19,9.52186393737793
2010-03-22,9.648480415344238
2010-03-23,9.72573471069336
2010-03-24,9.657059669494629
2010-03-25,9.476795196533203
2010-03-26,9.50683879852295
2010-03-29,9.631309509277344
2010-03-30,9.710713386535645
2010-03-31,9.715002059936523
2010-04-01,9.785819053649902
2010-04-05,9.897412300109863
2010-04-06,9.94033145904541
2010-04-07,9.865225791931152
2010-04-08,9.835180282592773
2010-04-09,10.127042770385742
2010-04-12,9.901703834533691
2010-04-13,9.828742027282715
2010-04-14,10.103431701660156
2010-04-15,10.062660217285156
2010-04-16,10.2708158493042
2010-04-19,10.365245819091797
2010-04-20,10.687146186828613
2010-04-21,10.944673538208008
2010-04-22,11.122788429260254
2010-04-23,11.438254356384277
2010-04-26,11.197896003723145
2010-04-27,10.755824089050293
2010-04-28,10.590413093566895
2010-04-29,10.895450592041016
2010-04-30,10.637672424316406
2010-05-03,10.90404224395752
2010-05-04,10.457228660583496
2010-05-05,10.276776313781738
2010-05-06,9.754780769348145
2010-05-07,9.59581470489502
2010-05-10,10.188709259033203
2010-05-11,10.128557205200195
2010-05-12,10.390633583068848
2010-05-13,10.109227180480957
2010-05-14,9.900856018066406
2010-05-17,9.82352066040039
2010-05-18,9.54855728149414
2010-05-19,9.43040943145752
2010-05-20,9.009368896484375
2010-05-21,9.23277759552002
2010-05-24,8.951372146606445
2010-05-25,8.92129135131836
2010-05-26,8.929888725280762
2010-05-27,9.267145156860352
2010-05-28,9.146852493286133
2010-06-01,8.884777069091797
