Date,NKTX
2020-07-10,47.900001525878906
2020-07-13,38.52000045776367
2020-07-14,36.04999923706055
2020-07-15,36.54999923706055
2020-07-16,36.349998474121094
2020-07-17,37.02000045776367
2020-07-20,36.38999938964844
2020-07-21,33.599998474121094
2020-07-22,30.850000381469727
2020-07-23,30.350000381469727
2020-07-24,28.700000762939453
2020-07-27,27.690000534057617
2020-07-28,27.219999313354492
2020-07-29,26.459999084472656
2020-07-30,27.219999313354492
2020-07-31,25.75
2020-08-03,26.579999923706055
2020-08-04,26.229999542236328
2020-08-05,25.219999313354492
2020-08-06,24.889999389648438
2020-08-07,24.0
2020-08-10,23.520000457763672
2020-08-11,24.229999542236328
2020-08-12,24.34000015258789
2020-08-13,26.860000610351562
2020-08-14,27.979999542236328
2020-08-17,26.8700008392334
2020-08-18,28.969999313354492
2020-08-19,27.90999984741211
2020-08-20,27.209999084472656
2020-08-21,25.950000762939453
2020-08-24,24.84000015258789
2020-08-25,24.56999969482422
2020-08-26,24.079999923706055
2020-08-27,25.3700008392334
2020-08-28,26.59000015258789
2020-08-31,24.639999389648438
2020-09-01,24.059999465942383
2020-09-02,26.09000015258789
2020-09-03,26.360000610351562
2020-09-04,27.649999618530273
2020-09-08,26.200000762939453
2020-09-09,28.010000228881836
2020-09-10,31.40999984741211
2020-09-11,31.799999237060547
2020-09-14,34.58000183105469
2020-09-15,34.25
2020-09-16,32.34000015258789
2020-09-17,30.530000686645508
2020-09-18,33.810001373291016
2020-09-21,34.34000015258789
2020-09-22,34.119998931884766
2020-09-23,32.349998474121094
2020-09-24,31.290000915527344
2020-09-25,30.610000610351562
2020-09-28,31.739999771118164
2020-09-29,30.360000610351562
2020-09-30,30.059999465942383
2020-10-01,29.979999542236328
2020-10-02,29.729999542236328
2020-10-05,32.33000183105469
2020-10-06,33.20000076293945
2020-10-07,34.720001220703125
2020-10-08,33.59000015258789
2020-10-09,29.200000762939453
2020-10-12,29.850000381469727
2020-10-13,31.399999618530273
2020-10-14,29.770000457763672
2020-10-15,31.170000076293945
2020-10-16,32.0
2020-10-19,30.190000534057617
2020-10-20,29.1200008392334
2020-10-21,27.40999984741211
2020-10-22,27.030000686645508
2020-10-23,29.899999618530273
2020-10-26,31.110000610351562
2020-10-27,32.119998931884766
2020-10-28,30.059999465942383
2020-10-29,28.06999969482422
2020-10-30,28.709999084472656
2020-11-02,29.0
2020-11-03,29.389999389648438
2020-11-04,31.309999465942383
2020-11-05,29.75
2020-11-06,28.290000915527344
2020-11-09,29.56999969482422
2020-11-10,29.709999084472656
2020-11-11,30.93000030517578
2020-11-12,31.780000686645508
2020-11-13,31.829999923706055
2020-11-16,33.54999923706055
2020-11-17,35.43000030517578
2020-11-18,34.130001068115234
2020-11-19,34.029998779296875
2020-11-20,34.560001373291016
2020-11-23,34.849998474121094
2020-11-24,34.689998626708984
2020-11-25,35.349998474121094
2020-11-27,33.900001525878906
2020-11-30,33.279998779296875
2020-12-01,34.2599983215332
2020-12-02,34.0
2020-12-03,35.7400016784668
2020-12-04,39.70000076293945
2020-12-07,48.310001373291016
2020-12-08,62.20000076293945
2020-12-09,70.0199966430664
2020-12-10,71.73999786376953
2020-12-11,68.66000366210938
2020-12-14,69.5999984741211
2020-12-15,68.0
2020-12-16,68.19999694824219
2020-12-17,67.5
2020-12-18,62.540000915527344
2020-12-21,66.18000030517578
2020-12-22,71.95999908447266
2020-12-23,75.62000274658203
2020-12-24,69.16999816894531
2020-12-28,67.4000015258789
2020-12-29,64.2300033569336
2020-12-30,65.69000244140625
2020-12-31,61.470001220703125
2021-01-04,59.61000061035156
2021-01-05,56.47999954223633
2021-01-06,55.0
2021-01-07,55.5
2021-01-08,54.88999938964844
2021-01-11,58.0
2021-01-12,54.029998779296875
2021-01-13,54.7599983215332
2021-01-14,52.25
2021-01-15,51.290000915527344
2021-01-19,53.0
2021-01-20,51.04999923706055
2021-01-21,48.18000030517578
2021-01-22,49.619998931884766
2021-01-25,47.959999084472656
2021-01-26,44.630001068115234
2021-01-27,43.779998779296875
2021-01-28,42.63999938964844
2021-01-29,39.65999984741211
2021-02-01,37.560001373291016
2021-02-02,43.72999954223633
2021-02-03,45.099998474121094
2021-02-04,45.540000915527344
2021-02-05,47.7400016784668
2021-02-08,52.810001373291016
2021-02-09,55.310001373291016
2021-02-10,53.959999084472656
2021-02-11,51.970001220703125
2021-02-12,53.45000076293945
2021-02-16,55.630001068115234
2021-02-17,56.93000030517578
2021-02-18,55.650001525878906
2021-02-19,56.0099983215332
2021-02-22,56.119998931884766
2021-02-23,53.88999938964844
2021-02-24,51.58000183105469
2021-02-25,48.79999923706055
2021-02-26,48.7599983215332
2021-03-01,49.150001525878906
2021-03-02,48.540000915527344
2021-03-03,46.939998626708984
2021-03-04,44.45000076293945
2021-03-05,43.709999084472656
2021-03-08,41.59000015258789
2021-03-09,44.56999969482422
2021-03-10,45.7400016784668
2021-03-11,49.0
2021-03-12,48.779998779296875
2021-03-15,48.79999923706055
2021-03-16,47.86000061035156
2021-03-17,45.130001068115234
2021-03-18,41.75
2021-03-19,40.720001220703125
2021-03-22,42.34000015258789
2021-03-23,37.29999923706055
2021-03-24,36.72999954223633
2021-03-25,35.79999923706055
2021-03-26,35.02000045776367
2021-03-29,33.310001373291016
2021-03-30,31.329999923706055
2021-03-31,32.900001525878906
2021-04-01,32.220001220703125
2021-04-05,33.52000045776367
2021-04-06,31.399999618530273
2021-04-07,31.969999313354492
2021-04-08,31.760000228881836
2021-04-09,32.279998779296875
2021-04-12,34.0099983215332
