Date,CMDB
2025-05-01,13.5
2025-05-02,13.5
2025-05-05,11.699999809265137
2025-05-06,11.899999618530273
2025-05-07,11.720000267028809
2025-05-08,10.770000457763672
2025-05-09,10.399999618530273
2025-05-12,10.949999809265137
2025-05-13,11.350000381469727
2025-05-14,10.079999923706055
2025-05-15,10.149999618530273
2025-05-16,9.720000267028809
2025-05-19,10.010000228881836
2025-05-20,9.859999656677246
2025-05-21,9.40999984741211
2025-05-22,9.550000190734863
2025-05-23,9.390000343322754
2025-05-27,9.520000457763672
2025-05-28,9.40999984741211
2025-05-29,9.369999885559082
2025-05-30,9.359999656677246
2025-06-02,9.220000267028809
2025-06-03,9.289999961853027
2025-06-04,8.949999809265137
2025-06-05,8.640000343322754
2025-06-06,9.09000015258789
2025-06-09,9.609999656677246
2025-06-10,10.069999694824219
2025-06-11,10.369999885559082
2025-06-12,10.329999923706055
2025-06-13,10.380000114440918
2025-06-16,10.319999694824219
2025-06-17,9.670000076293945
2025-06-18,9.40999984741211
2025-06-20,9.34000015258789
2025-06-23,9.600000381469727
2025-06-24,9.170000076293945
2025-06-25,9.119999885559082
2025-06-26,9.369999885559082
2025-06-27,9.050000190734863
2025-06-30,8.670000076293945
2025-07-01,8.640000343322754
2025-07-02,8.920000076293945
2025-07-03,9.09000015258789
2025-07-07,8.899999618530273
2025-07-08,9.020000457763672
2025-07-09,9.020000457763672
2025-07-10,9.520000457763672
2025-07-11,9.59000015258789
2025-07-14,9.270000457763672
2025-07-15,9.09000015258789
2025-07-16,9.399999618530273
2025-07-17,9.289999961853027
2025-07-18,9.369999885559082
2025-07-21,9.199999809265137
2025-07-22,9.350000381469727
2025-07-23,9.609999656677246
2025-07-24,9.289999961853027
2025-07-25,9.1899995803833
2025-07-28,9.170000076293945
2025-07-29,9.100000381469727
2025-07-30,9.119999885559082
2025-07-31,9.0
2025-08-01,9.199999809265137
2025-08-04,9.779999732971191
2025-08-05,9.930000305175781
2025-08-06,9.789999961853027
2025-08-07,9.75
2025-08-08,9.220000267028809
2025-08-11,9.229999542236328
2025-08-12,9.510000228881836
2025-08-13,9.59000015258789
2025-08-14,9.069999694824219
2025-08-15,8.90999984741211
2025-08-18,9.270000457763672
2025-08-19,9.130000114440918
2025-08-20,9.15999984741211
2025-08-21,9.199999809265137
2025-08-22,9.609999656677246
2025-08-25,10.079999923706055
2025-08-26,10.109999656677246
2025-08-27,10.229999542236328
2025-08-28,10.550000190734863
2025-08-29,10.5600004196167
2025-09-02,10.09000015258789
2025-09-03,10.210000038146973
2025-09-04,10.420000076293945
2025-09-05,10.630000114440918
2025-09-08,11.15999984741211
2025-09-09,11.6899995803833
2025-09-10,11.770000457763672
2025-09-11,12.180000305175781
2025-09-12,12.0
2025-09-15,12.289999961853027
2025-09-16,12.050000190734863
2025-09-17,12.020000457763672
2025-09-18,12.34000015258789
2025-09-19,11.770000457763672
