Date,NUVL
2021-07-29,18.75
2021-07-30,18.25
2021-08-02,21.90999984741211
2021-08-03,23.700000762939453
2021-08-04,25.360000610351562
2021-08-05,24.84000015258789
2021-08-06,22.059999465942383
2021-08-09,21.290000915527344
2021-08-10,22.8700008392334
2021-08-11,21.350000381469727
2021-08-12,21.780000686645508
2021-08-13,22.3799991607666
2021-08-16,24.34000015258789
2021-08-17,27.25
2021-08-18,26.3700008392334
2021-08-19,26.399999618530273
2021-08-20,27.020000457763672
2021-08-23,29.0
2021-08-24,29.6200008392334
2021-08-25,30.940000534057617
2021-08-26,32.7400016784668
2021-08-27,34.689998626708984
2021-08-30,34.18000030517578
2021-08-31,36.43000030517578
2021-09-01,35.40999984741211
2021-09-02,37.02000045776367
2021-09-03,38.09000015258789
2021-09-07,38.349998474121094
2021-09-08,37.79999923706055
2021-09-09,36.709999084472656
2021-09-10,37.869998931884766
2021-09-13,37.2400016784668
2021-09-14,37.5
2021-09-15,38.0
2021-09-16,37.54999923706055
2021-09-17,36.47999954223633
2021-09-20,35.70000076293945
2021-09-21,33.189998626708984
2021-09-22,26.600000381469727
2021-09-23,26.06999969482422
2021-09-24,22.860000610351562
2021-09-27,23.739999771118164
2021-09-28,22.139999389648438
2021-09-29,21.1299991607666
2021-09-30,22.549999237060547
2021-10-01,24.1299991607666
2021-10-04,24.809999465942383
2021-10-05,21.299999237060547
2021-10-06,20.219999313354492
2021-10-07,18.899999618530273
2021-10-08,18.18000030517578
2021-10-11,18.010000228881836
2021-10-12,18.6299991607666
2021-10-13,19.479999542236328
2021-10-14,20.219999313354492
2021-10-15,19.93000030517578
2021-10-18,20.8700008392334
2021-10-19,21.389999389648438
2021-10-20,21.270000457763672
2021-10-21,22.670000076293945
2021-10-22,20.010000228881836
2021-10-25,21.100000381469727
2021-10-26,23.25
2021-10-27,21.579999923706055
2021-10-28,24.6200008392334
2021-10-29,24.43000030517578
2021-11-01,25.799999237060547
2021-11-02,27.889999389648438
2021-11-03,30.100000381469727
2021-11-04,29.549999237060547
2021-11-05,29.079999923706055
2021-11-08,27.459999084472656
2021-11-09,26.850000381469727
2021-11-10,26.59000015258789
2021-11-11,27.200000762939453
2021-11-12,25.110000610351562
2021-11-15,24.059999465942383
2021-11-16,27.5
2021-11-17,28.309999465942383
2021-11-18,25.25
2021-11-19,24.3799991607666
2021-11-22,23.440000534057617
2021-11-23,21.1299991607666
2021-11-24,23.010000228881836
2021-11-26,20.469999313354492
2021-11-29,20.760000228881836
2021-11-30,21.329999923706055
2021-12-01,18.850000381469727
2021-12-02,20.899999618530273
2021-12-03,19.969999313354492
2021-12-06,20.18000030517578
2021-12-07,19.219999313354492
2021-12-08,21.739999771118164
2021-12-09,20.540000915527344
2021-12-10,21.459999084472656
2021-12-13,21.200000762939453
2021-12-14,20.229999542236328
2021-12-15,21.729999542236328
2021-12-16,21.59000015258789
2021-12-17,22.84000015258789
2021-12-20,19.540000915527344
2021-12-21,20.670000076293945
2021-12-22,19.889999389648438
2021-12-23,19.219999313354492
2021-12-27,19.209999084472656
2021-12-28,19.549999237060547
2021-12-29,19.09000015258789
2021-12-30,19.209999084472656
2021-12-31,19.040000915527344
2022-01-03,18.59000015258789
2022-01-04,18.93000030517578
2022-01-05,17.450000762939453
2022-01-06,14.770000457763672
2022-01-07,14.600000381469727
2022-01-10,13.350000381469727
2022-01-11,13.449999809265137
2022-01-12,12.600000381469727
2022-01-13,12.15999984741211
2022-01-14,12.699999809265137
2022-01-18,11.789999961853027
2022-01-19,12.039999961853027
2022-01-20,12.520000457763672
2022-01-21,12.34000015258789
2022-01-24,12.680000305175781
2022-01-25,12.770000457763672
2022-01-26,12.729999542236328
2022-01-27,12.470000267028809
2022-01-28,12.979999542236328
2022-01-31,13.489999771118164
2022-02-01,14.850000381469727
2022-02-02,13.789999961853027
2022-02-03,13.8100004196167
2022-02-04,14.40999984741211
2022-02-07,15.510000228881836
2022-02-08,16.030000686645508
2022-02-09,17.770000457763672
2022-02-10,17.399999618530273
2022-02-11,17.950000762939453
2022-02-14,16.81999969482422
2022-02-15,18.31999969482422
2022-02-16,19.56999969482422
2022-02-17,19.139999389648438
2022-02-18,17.790000915527344
2022-02-22,16.440000534057617
2022-02-23,16.139999389648438
2022-02-24,15.3100004196167
2022-02-25,15.510000228881836
2022-02-28,14.949999809265137
2022-03-01,14.890000343322754
2022-03-02,15.369999885559082
2022-03-03,14.729999542236328
2022-03-04,15.100000381469727
2022-03-07,15.979999542236328
2022-03-08,15.899999618530273
2022-03-09,15.75
2022-03-10,16.06999969482422
2022-03-11,15.5
2022-03-14,11.649999618530273
2022-03-15,12.449999809265137
2022-03-16,11.670000076293945
2022-03-17,12.0
2022-03-18,12.020000457763672
2022-03-21,12.020000457763672
2022-03-22,12.350000381469727
2022-03-23,12.319999694824219
2022-03-24,12.880000114440918
2022-03-25,12.619999885559082
2022-03-28,12.289999961853027
2022-03-29,13.210000038146973
2022-03-30,14.079999923706055
2022-03-31,13.890000343322754
2022-04-01,14.770000457763672
2022-04-04,15.069999694824219
2022-04-05,14.279999732971191
2022-04-06,13.199999809265137
2022-04-07,12.65999984741211
2022-04-08,13.149999618530273
2022-04-11,12.279999732971191
2022-04-12,11.779999732971191
2022-04-13,12.5600004196167
2022-04-14,11.890000343322754
2022-04-18,11.260000228881836
2022-04-19,11.899999618530273
2022-04-20,11.949999809265137
2022-04-21,11.050000190734863
2022-04-22,10.880000114440918
2022-04-25,11.449999809265137
2022-04-26,10.760000228881836
2022-04-27,10.550000190734863
