Date,BDX
2010-01-04,58.6976318359375
2010-01-05,58.1524772644043
2010-01-06,57.995689392089844
2010-01-07,57.980735778808594
2010-01-08,58.182369232177734
2010-01-11,58.555747985839844
2010-01-12,57.689456939697266
2010-01-13,57.87615966796875
2010-01-14,57.53263473510742
2010-01-15,56.972564697265625
2010-01-19,57.719337463378906
2010-01-20,57.345943450927734
2010-01-21,56.86802673339844
2010-01-22,56.0689582824707
2010-01-25,56.591697692871094
2010-01-26,56.434852600097656
2010-01-27,56.755985260009766
2010-01-28,57.114437103271484
2010-01-29,56.2855110168457
2010-02-01,56.539405822753906
2010-02-02,57.51771545410156
2010-02-03,57.23393249511719
2010-02-04,55.792633056640625
2010-02-05,55.92704772949219
2010-02-08,55.77022933959961
2010-02-09,56.20336151123047
2010-02-10,55.7403678894043
2010-02-11,56.173500061035156
2010-02-12,56.63650894165039
2010-02-16,57.43559646606445
2010-02-17,57.771629333496094
2010-02-18,58.21969223022461
2010-02-19,57.90605545043945
2010-02-22,57.87615966796875
2010-02-23,58.1524772644043
2010-02-24,58.861934661865234
2010-02-25,58.637882232666016
2010-02-26,58.1524772644043
2010-03-01,59.011295318603516
2010-03-02,59.10090637207031
2010-03-03,58.757415771484375
2010-03-04,58.622955322265625
2010-03-05,58.6976318359375
2010-03-08,58.48756790161133
2010-03-09,58.87773132324219
2010-03-10,59.21537399291992
2010-03-11,58.87022399902344
2010-03-12,58.802703857421875
2010-03-15,59.275394439697266
2010-03-16,59.297889709472656
2010-03-17,59.455474853515625
2010-03-18,59.56802749633789
2010-03-19,59.3504524230957
2010-03-22,60.13076400756836
2010-03-23,59.80812454223633
2010-03-24,59.28290557861328
2010-03-25,59.17784118652344
2010-03-26,58.90773010253906
2010-03-29,59.275394439697266
2010-03-30,59.31291198730469
2010-03-31,59.07282257080078
2010-04-01,59.24538040161133
2010-04-05,58.90773010253906
2010-04-06,58.847721099853516
2010-04-07,58.90023422241211
2010-04-08,58.99781036376953
2010-04-09,59.207881927490234
2010-04-12,59.275394439697266
2010-04-13,59.06531524658203
2010-04-14,58.89270782470703
2010-04-15,58.562591552734375
2010-04-16,58.33000564575195
2010-04-19,58.87022399902344
2010-04-20,59.77063751220703
2010-04-21,58.94524383544922
2010-04-22,57.97733688354492
2010-04-23,58.187435150146484
2010-04-26,57.3245735168457
2010-04-27,57.05446243286133
2010-04-28,57.5496711730957
2010-04-29,57.474632263183594
2010-04-30,57.30207443237305
2010-05-03,57.18949508666992
2010-05-04,56.6042594909668
2010-05-05,56.731815338134766
2010-05-06,56.1840705871582
2010-05-07,55.26869583129883
2010-05-10,56.70178985595703
2010-05-11,56.08651351928711
