Date,INTC
2010-01-04,13.519430160522461
2010-01-05,13.512956619262695
2010-01-06,13.467628479003906
2010-01-07,13.338133811950684
2010-01-08,13.487053871154785
2010-01-11,13.56474781036377
2010-01-12,13.344610214233398
2010-01-13,13.571226119995117
2010-01-14,13.907919883728027
2010-01-15,13.467628479003906
2010-01-19,13.629495620727539
2010-01-20,13.648926734924316
2010-01-21,13.493529319763184
2010-01-22,12.891371726989746
2010-01-25,13.156830787658691
2010-01-26,12.949639320373535
2010-01-27,13.105037689208984
2010-01-28,12.897848129272461
2010-01-29,12.561155319213867
2010-02-01,12.697132110595703
2010-02-02,12.891371726989746
2010-02-03,12.844376564025879
2010-02-04,12.413620948791504
2010-02-05,12.707320213317871
2010-02-08,12.628998756408691
2010-02-09,12.824795722961426
2010-02-10,12.850906372070312
2010-02-11,13.092389106750488
2010-02-12,13.333877563476562
2010-02-16,13.523147583007812
2010-02-17,13.483987808227539
2010-02-18,13.601466178894043
2010-02-19,13.588404655456543
2010-02-22,13.621048927307129
2010-02-23,13.307765007019043
2010-02-24,13.510089874267578
2010-02-25,13.464402198791504
2010-02-26,13.399138450622559
2010-03-01,13.621048927307129
2010-03-02,13.510089874267578
2010-03-03,13.392614364624023
2010-03-04,13.399138450622559
2010-03-05,13.56883430480957
2010-03-08,13.555781364440918
2010-03-09,13.666732788085938
2010-03-10,13.82989501953125
2010-03-11,13.869061470031738
2010-03-12,13.882108688354492
2010-03-15,13.816840171813965
2010-03-16,14.36507511138916
2010-03-17,14.515193939208984
2010-03-18,14.489083290100098
2010-03-19,14.352031707763672
2010-03-22,14.515193939208984
2010-03-23,14.795832633972168
2010-03-24,14.639198303222656
2010-03-25,14.586981773376465
2010-03-26,14.515193939208984
2010-03-29,14.573931694030762
2010-03-30,14.580461502075195
2010-03-31,14.547820091247559
2010-04-01,14.61308765411377
2010-04-05,14.743622779846191
2010-04-06,14.619609832763672
2010-04-07,14.652252197265625
2010-04-08,14.560872077941895
2010-04-09,14.717512130737305
2010-04-12,14.710984230041504
2010-04-13,14.861104011535645
2010-04-14,15.350593566894531
2010-04-15,15.807458877563477
2010-04-16,15.611656188964844
2010-04-19,15.66386890411377
2010-04-20,15.742194175720215
2010-04-21,15.533342361450195
2010-04-22,15.6573486328125
2010-04-23,15.689982414245605
2010-04-26,15.546392440795898
2010-04-27,15.239643096923828
2010-04-28,15.180899620056152
2010-04-29,15.33101749420166
2010-04-30,14.90678882598877
2010-05-03,15.180899620056152
2010-05-04,14.724037170410156
2010-05-05,14.571557998657227
2010-05-06,14.13776969909668
2010-05-07,14.00631046295166
2010-05-10,14.821313858032227
2010-05-11,14.643854141235352
2010-05-12,15.176243782043457
2010-05-13,14.788454055786133
2010-05-14,14.38752269744873
2010-05-17,14.472966194152832
2010-05-18,14.08517837524414
2010-05-19,14.196917533874512
2010-05-20,13.664534568786621
2010-05-21,13.743403434753418
2010-05-24,13.58565616607666
2010-05-25,13.703965187072754
2010-05-26,13.605375289916992
2010-05-27,14.302082061767578
2010-05-28,14.07861042022705
2010-06-01,13.920862197875977
2010-06-02,14.334940910339355
2010-06-03,14.394092559814453
2010-06-04,13.769696235656738
2010-06-07,13.349045753479004
2010-06-08,13.263599395751953
2010-06-09,13.099287033081055
2010-06-10,13.506787300109863
2010-06-11,13.56594467163086
2010-06-14,13.73025894165039
2010-06-15,14.118046760559082
2010-06-16,14.124618530273438
2010-06-17,14.144330024719238
2010-06-18,14.065461158752441
2010-06-21,13.927436828613281
2010-06-22,13.789411544799805
2010-06-23,13.677675247192383
2010-06-24,13.355615615844727
2010-06-25,13.165009498596191
2010-06-28,13.381908416748047
2010-06-29,13.007266998291016
2010-06-30,12.783793449401855
2010-07-01,12.65234375
2010-07-02,12.619481086730957
2010-07-06,12.803516387939453
2010-07-07,13.237309455871582
2010-07-08,13.211021423339844
2010-07-09,13.303040504455566
2010-07-12,13.519937515258789
2010-07-13,13.809126853942871
2010-07-14,14.03917407989502
2010-07-15,14.13776969909668
2010-07-16,13.815706253051758
2010-07-19,14.190345764160156
2010-07-20,14.229778289794922
2010-07-21,13.973444938659668
2010-07-22,14.315223693847656
2010-07-23,14.25606632232666
2010-07-26,14.269216537475586
2010-07-27,14.183768272399902
2010-07-28,14.019453048706055
2010-07-29,13.822274208068848
2010-07-30,13.539653778076172
2010-08-02,13.901144981384277
2010-08-03,13.717118263244629
2010-08-04,13.729032516479492
2010-08-05,13.68929386138916
2010-08-06,13.676050186157227
2010-08-09,13.676050186157227
2010-08-10,13.126354217529297
2010-08-11,12.868072509765625
2010-08-12,12.881316184997559
2010-08-13,12.682633399963379
2010-08-16,12.894563674926758
2010-08-17,12.934298515319824
2010-08-18,12.974034309387207
2010-08-19,12.517065048217773
2010-08-20,12.523683547973633
2010-08-23,12.384607315063477
2010-08-24,12.192550659179688
2010-08-25,12.238908767700195
2010-08-26,12.0402250289917
2010-08-27,12.166053771972656
2010-08-30,11.894519805908203
2010-08-31,11.702463150024414
2010-09-01,12.013733863830566
2010-09-02,12.106453895568848
2010-09-03,12.205791473388672
2010-09-07,12.00049114227295
2010-09-08,11.85478687286377
2010-09-09,11.921011924743652
2010-09-10,11.901143074035645
2010-09-13,12.291891098022461
2010-09-14,12.411100387573242
2010-09-15,12.397855758666992
2010-09-16,12.563419342041016
2010-09-17,12.457459449768066
2010-09-20,12.536931991577148
2010-09-21,12.676009178161621
2010-09-22,12.589910507202148
2010-09-23,12.570051193237305
2010-09-24,12.8614501953125
2010-09-27,12.742237091064453
2010-09-28,12.921051025390625
