Date,TKO
2010-01-04,9.84500503540039
2010-01-05,10.053265571594238
2010-01-06,10.128997802734375
2010-01-07,10.274147033691406
2010-01-08,10.28676700592041
2010-01-11,10.084820747375488
2010-01-12,10.078507423400879
2010-01-13,10.147931098937988
2010-01-14,10.116375923156738
2010-01-15,10.0911283493042
2010-01-19,10.160548210144043
2010-01-20,10.25521183013916
2010-01-21,9.996464729309082
2010-01-22,9.91442584991455
2010-01-25,10.160548210144043
2010-01-26,10.31201171875
2010-01-27,10.324630737304688
2010-01-28,10.229968070983887
2010-01-29,10.097442626953125
2010-02-01,10.223657608032227
2010-02-02,10.29307746887207
2010-02-03,10.305699348449707
2010-02-04,10.05957317352295
2010-02-05,10.160548210144043
2010-02-08,10.097442626953125
2010-02-09,10.128997802734375
2010-02-10,10.261523246765137
2010-02-11,10.141613960266113
2010-02-12,10.147931098937988
2010-02-16,10.160548210144043
2010-02-17,10.198415756225586
2010-02-18,10.31201171875
2010-02-19,10.37511920928955
2010-02-22,10.274147033691406
2010-02-23,10.26783561706543
2010-02-24,10.368809700012207
2010-02-25,10.734844207763672
2010-02-26,10.760082244873047
2010-03-01,11.006209373474121
2010-03-02,11.201848030090332
2010-03-03,11.157669067382812
2010-03-04,11.056700706481934
2010-03-05,11.328064918518066
2010-03-08,11.258644104003906
2010-03-09,11.271272659301758
2010-03-10,11.384866714477539
2010-03-11,11.449260711669922
2010-03-12,11.120850563049316
2010-03-15,11.172364234924316
2010-03-16,11.101529121398926
2010-03-17,11.024256706237793
2010-03-18,11.01781940460205
2010-03-19,11.069334030151367
2010-03-22,11.088651657104492
2010-03-23,11.101529121398926
2010-03-24,11.19812297821045
2010-03-25,11.307589530944824
2010-03-26,11.333348274230957
2010-03-29,11.178803443908691
2010-03-30,11.217440605163574
2010-03-31,11.140166282653809
2010-04-01,10.959861755371094
2010-04-05,11.223880767822266
2010-04-06,11.1079683303833
2010-04-07,11.062894821166992
2010-04-08,11.01781940460205
2010-04-09,11.075776100158691
2010-04-12,11.088651657104492
2010-04-13,11.25607681274414
2010-04-14,11.307589530944824
2010-04-15,11.371984481811523
2010-04-16,11.320469856262207
2010-04-19,11.307589530944824
2010-04-20,11.75190544128418
2010-04-21,11.912897109985352
2010-04-22,12.00304889678955
2010-04-23,12.022363662719727
2010-04-26,12.157598495483398
2010-04-27,12.086756706237793
2010-04-28,12.061003684997559
2010-04-29,11.912897109985352
