Date,MSI
2010-01-04,25.27033805847168
2010-01-05,24.92156219482422
2010-01-06,25.27033805847168
2010-01-07,25.77764320373535
2010-01-08,24.6044921875
2010-01-11,24.35083770751953
2010-01-12,23.46305274963379
2010-01-13,24.097185134887695
2010-01-14,24.445960998535156
2010-01-15,24.033769607543945
2010-01-19,24.22400665283203
2010-01-20,23.716699600219727
2010-01-21,23.3679256439209
2010-01-22,22.860610961914062
2010-01-25,22.765493392944336
2010-01-26,22.797208786010742
2010-01-27,23.46305274963379
2010-01-28,20.5460262298584
2010-01-29,19.499698638916016
2010-02-01,20.07041358947754
2010-02-02,20.76796531677246
2010-02-03,21.21185874938965
2010-02-04,20.038713455200195
2010-02-05,20.29236602783203
2010-02-08,20.831382751464844
2010-02-09,20.736255645751953
2010-02-10,21.021623611450195
2010-02-11,21.085033416748047
2010-02-12,22.670373916625977
2010-02-16,23.019153594970703
2010-02-17,22.543550491333008
2010-02-18,22.22648048400879
2010-02-19,22.22648048400879
2010-02-22,21.78258514404297
2010-02-23,21.497236251831055
2010-02-24,21.528928756713867
2010-02-25,21.719173431396484
2010-02-26,21.43381118774414
2010-03-01,21.370397567749023
2010-03-02,21.59234619140625
2010-03-03,21.78258514404297
2010-03-04,21.560636520385742
2010-03-05,22.03624725341797
2010-03-08,21.90941619873047
2010-03-09,22.09965705871582
2010-03-10,22.543550491333008
2010-03-11,22.289899826049805
2010-03-12,22.22648048400879
2010-03-15,22.289899826049805
2010-03-16,23.399639129638672
2010-03-17,23.050861358642578
2010-03-18,23.304515838623047
2010-03-19,22.765493392944336
2010-03-22,23.019153594970703
2010-03-23,23.304515838623047
2010-03-24,22.98744773864746
2010-03-25,22.955738067626953
2010-03-26,22.73379135131836
2010-03-29,22.92403221130371
2010-03-30,22.828914642333984
2010-03-31,22.25818634033203
2010-04-01,22.385021209716797
2010-04-05,22.702085494995117
2010-04-06,23.082561492919922
2010-04-07,22.92403221130371
2010-04-08,23.55817222595215
2010-04-09,23.431344985961914
2010-04-12,23.526464462280273
2010-04-13,23.494762420654297
2010-04-14,24.319133758544922
2010-04-15,24.065475463867188
2010-04-16,23.177682876586914
2010-04-19,23.431344985961914
2010-04-20,23.526464462280273
2010-04-21,23.272804260253906
2010-04-22,22.448421478271484
2010-04-23,22.480140686035156
2010-04-26,22.702085494995117
2010-04-27,21.90941619873047
2010-04-28,21.941125869750977
2010-04-29,22.702085494995117
2010-04-30,22.416723251342773
2010-05-03,22.5118408203125
