Date,CLMT
2010-01-04,10.398468971252441
2010-01-05,10.662220001220703
2010-01-06,10.662220001220703
2010-01-07,10.813736915588379
2010-01-08,10.99330997467041
2010-01-11,11.111154556274414
2010-01-12,11.083096504211426
2010-01-13,11.077484130859375
2010-01-14,11.212164878845215
2010-01-15,11.2177734375
2010-01-19,11.442242622375488
2010-01-20,11.689159393310547
2010-01-21,11.661099433898926
2010-01-22,11.582536697387695
2010-01-25,11.818227767944336
2010-01-26,11.840673446655273
2010-01-27,11.78455638885498
2010-01-28,11.672321319580078
2010-01-29,11.480128288269043
2010-02-01,11.56044864654541
2010-02-02,11.56044864654541
2010-02-03,11.46865463256836
2010-02-04,10.998202323913574
2010-02-05,10.97525405883789
2010-02-08,10.98672866821289
2010-02-09,11.055577278137207
2010-02-10,10.900672912597656
2010-02-11,11.067049026489258
2010-02-12,11.158846855163574
2010-02-16,11.359647750854492
2010-02-17,11.038362503051758
2010-02-18,11.101471900939941
2010-02-19,11.015414237976074
2010-02-22,11.118683815002441
2010-02-23,11.078524589538574
2010-02-24,11.153108596801758
2010-02-25,11.273588180541992
2010-02-26,11.388333320617676
2010-03-01,11.428494453430176
2010-03-02,11.738301277160645
2010-03-03,11.721090316772461
2010-03-04,11.692402839660645
2010-03-05,11.847304344177246
2010-03-08,11.812883377075195
2010-03-09,11.870257377624512
2010-03-10,11.99073600769043
2010-03-11,11.996477127075195
2010-03-12,12.116954803466797
2010-03-15,11.973529815673828
2010-03-16,11.967790603637695
2010-03-17,11.789937019348145
2010-03-18,12.105481147766113
2010-03-19,11.715353965759277
2010-03-22,11.698139190673828
2010-03-23,11.996477127075195
2010-03-24,11.870257377624512
2010-03-25,11.956315040588379
2010-03-26,11.835832595825195
2010-03-29,12.094008445739746
2010-03-30,12.007952690124512
2010-03-31,11.933362007141113
2010-04-01,11.99073600769043
2010-04-05,12.214488983154297
2010-04-06,12.530037879943848
2010-04-07,12.587403297424316
2010-04-08,12.77673625946045
2010-04-09,12.90869140625
2010-04-12,12.96606159210205
2010-04-13,13.011961936950684
2010-04-14,13.046381950378418
2010-04-15,13.138178825378418
2010-04-16,13.103752136230469
2010-04-19,13.069331169128418
2010-04-20,13.298820495605469
2010-04-21,13.49962329864502
2010-04-22,13.425034523010254
2010-04-23,13.37913990020752
2010-04-26,13.545520782470703
2010-04-27,13.327507972717285
2010-04-28,12.977537155151367
2010-04-29,13.252923965454102
2010-04-30,13.13294506072998
2010-05-03,12.840319633483887
2010-05-04,12.506732940673828
2010-05-05,10.423251152038574
2010-05-06,9.065478324890137
2010-05-07,10.230119705200195
2010-05-10,10.715873718261719
2010-05-11,10.80366039276123
2010-05-12,10.938267707824707
2010-05-13,10.85633659362793
2010-05-14,10.710020065307617
2010-05-17,10.130626678466797
2010-05-18,10.622233390808105
2010-05-19,10.358874320983887
2010-05-20,10.265233993530273
2010-05-21,10.235973358154297
2010-05-24,10.142334938049316
2010-05-25,10.282792091369629
2010-05-26,10.335464477539062
2010-05-27,10.534448623657227
2010-05-28,10.56371021270752
2010-06-01,10.177446365356445
2010-06-02,10.001874923706055
2010-06-03,10.21256160736084
2010-06-04,10.124773025512695
2010-06-07,10.031134605407715
2010-06-08,9.919939994812012
2010-06-09,9.978462219238281
2010-06-10,10.083807945251465
2010-06-11,10.370577812194824
2010-06-14,10.288644790649414
2010-06-15,10.399842262268066
2010-06-16,10.306200981140137
2010-06-17,10.259382247924805
2010-06-18,10.2944974899292
2010-06-21,10.382284164428711
2010-06-22,10.475922584533691
2010-06-23,10.52274227142334
2010-06-24,10.487627029418945
2010-06-25,10.499332427978516
2010-06-28,10.587121963500977
2010-06-29,10.587121963500977
2010-06-30,10.347168922424316
2010-07-01,10.013579368591309
2010-07-02,9.919939994812012
2010-07-06,9.662429809570312
2010-07-07,10.417398452758789
2010-07-08,10.546152114868164
2010-07-09,10.76269245147705
2010-07-12,10.973381996154785
2010-07-13,11.137251853942871
2010-07-14,11.213334083557129
2010-07-15,11.295267105102539
2010-07-16,11.219185829162598
2010-07-19,11.23674488067627
2010-07-20,11.125550270080566
2010-07-21,10.96168041229248
2010-07-22,10.873892784118652
2010-07-23,10.909004211425781
2010-07-26,10.990942001342773
2010-07-27,11.008496284484863
2010-07-28,11.119696617126465
2010-07-29,11.067023277282715
2010-07-30,11.034039497375488
2010-08-02,11.076017379760742
2010-08-03,10.992063522338867
2010-08-04,10.680231094360352
2010-08-05,10.554299354553223
2010-08-06,10.680231094360352
2010-08-09,10.71021556854248
2010-08-10,10.52431583404541
2010-08-11,10.404379844665527
2010-08-12,10.290440559387207
2010-08-13,10.428365707397461
2010-08-16,10.566293716430664
2010-08-17,10.548301696777344
2010-08-18,10.560296058654785
2010-08-19,10.458352088928223
2010-08-20,10.500329971313477
2010-08-23,10.80016803741455
2010-08-24,10.914109230041504
2010-08-25,10.95008659362793
2010-08-26,10.836145401000977
2010-08-27,10.890117645263672
2010-08-30,10.890117645263672
2010-08-31,10.938092231750488
2010-09-01,10.902111053466797
2010-09-02,10.926098823547363
2010-09-03,10.95008659362793
2010-09-07,11.09400749206543
2010-09-08,11.09400749206543
2010-09-09,11.309890747070312
2010-09-10,11.339876174926758
2010-09-13,11.381852149963379
2010-09-14,11.393847465515137
2010-09-15,11.333879470825195
2010-09-16,11.297898292541504
2010-09-17,11.111997604370117
2010-09-20,11.375855445861816
2010-09-21,11.417835235595703
2010-09-22,11.489792823791504
2010-09-23,11.513782501220703
2010-09-24,11.519776344299316
2010-09-27,11.645710945129395
2010-09-28,11.831608772277832
