Date,DXC
2010-01-04,17.669443130493164
2010-01-05,17.6633243560791
2010-01-06,17.727584838867188
2010-01-07,17.550098419189453
2010-01-08,17.504194259643555
2010-01-11,17.397085189819336
2010-01-12,17.20735740661621
2010-01-13,17.387907028198242
2010-01-14,17.446044921875
2010-01-15,17.124731063842773
2010-01-19,17.446044921875
2010-01-20,17.28691291809082
2010-01-21,16.827898025512695
2010-01-22,16.2893123626709
2010-01-25,16.280118942260742
2010-01-26,16.13935661315918
2010-01-27,16.04448890686035
2010-01-28,15.955747604370117
2010-01-29,15.698694229125977
2010-02-01,16.0689754486084
2010-02-02,16.237279891967773
2010-02-03,16.17913055419922
2010-02-04,15.695630073547363
2010-02-05,15.71705150604248
2010-02-08,15.814972877502441
2010-02-09,16.065906524658203
2010-02-10,15.952692031860352
2010-02-11,15.98328685760498
2010-02-12,15.689512252807617
2010-02-16,15.971046447753906
2010-02-17,15.928201675415039
2010-02-18,16.00470733642578
2010-02-19,16.050607681274414
2010-02-22,16.00470733642578
2010-02-23,15.967988014221191
2010-02-24,15.882305145263672
2010-02-25,15.729290008544922
2010-02-26,15.848636627197266
2010-03-01,16.050607681274414
2010-03-02,16.084270477294922
2010-03-03,16.007766723632812
2010-03-04,15.909839630126953
2010-03-05,16.206676483154297
2010-03-08,16.26482391357422
2010-03-09,16.307666778564453
2010-03-10,16.390291213989258
2010-03-11,16.40253448486328
2010-03-12,16.356632232666016
2010-03-15,16.39640998840332
2010-03-16,16.420886993408203
2010-03-17,16.641225814819336
2010-03-18,16.65958595275879
2010-03-19,16.696304321289062
2010-03-22,16.84014129638672
2010-03-23,16.962541580200195
2010-03-24,16.794231414794922
2010-03-25,16.77281379699707
2010-03-26,16.702428817749023
2010-03-29,16.821775436401367
2010-03-30,16.827898025512695
2010-03-31,16.674882888793945
2010-04-01,16.601442337036133
2010-04-05,16.537172317504883
2010-04-06,16.491273880004883
2010-04-07,16.45455551147461
2010-04-08,16.420886993408203
2010-04-09,16.681007385253906
