Date,SABR
2014-04-17,14.253378868103027
2014-04-21,14.391594886779785
2014-04-22,15.289990425109863
2014-04-23,14.555720329284668
2014-04-24,14.547085762023926
2014-04-25,14.382953643798828
2014-04-28,14.236102104187012
2014-04-29,14.201549530029297
2014-04-30,14.22746467590332
2014-05-01,14.262017250061035
2014-05-02,14.166994094848633
2014-05-05,13.838735580444336
2014-05-06,13.752350807189941
2014-05-07,13.804181098937988
2014-05-08,13.605499267578125
2014-05-09,13.424090385437012
2014-05-12,13.812820434570312
2014-05-13,13.614137649536133
2014-05-14,13.614137649536133
2014-05-15,13.907842636108398
2014-05-16,14.071971893310547
2014-05-19,14.253378868103027
2014-05-20,14.132436752319336
2014-05-21,14.253378868103027
2014-05-22,14.382953643798828
2014-05-23,14.763050079345703
2014-05-27,14.754408836364746
2014-05-28,15.376371383666992
2014-05-29,16.05880355834961
2014-05-30,16.58574676513672
2014-06-02,16.58574676513672
2014-06-03,16.317956924438477
2014-06-04,16.41298484802246
2014-06-05,16.60301971435547
2014-06-06,16.240209579467773
2014-06-09,16.40434455871582
2014-06-10,16.594388961791992
2014-06-11,16.60301971435547
2014-06-12,16.60301971435547
2014-06-13,16.611661911010742
2014-06-16,16.594388961791992
2014-06-17,16.793073654174805
2014-06-18,17.535980224609375
2014-06-19,17.708740234375
2014-06-20,17.320009231567383
2014-06-23,17.060861587524414
2014-06-24,16.663494110107422
2014-06-25,17.242267608642578
2014-06-26,16.922643661499023
2014-06-27,17.505735397338867
2014-06-30,17.320009231567383
2014-07-01,17.302734375
2014-07-02,17.19907569885254
2014-07-03,17.354572296142578
2014-07-07,17.27682113647461
2014-07-08,17.285459518432617
2014-07-09,17.440954208374023
2014-07-10,17.233633041381836
2014-07-11,17.099729537963867
2014-07-14,17.030628204345703
2014-07-15,16.801712036132812
2014-07-16,16.663494110107422
2014-07-17,16.55119514465332
2014-07-18,16.732601165771484
2014-07-21,16.853540420532227
2014-07-22,16.983112335205078
2014-07-23,16.957204818725586
2014-07-24,16.931285858154297
2014-07-25,16.896732330322266
