Date,PWR
2010-01-04,20.84461784362793
2010-01-05,20.93294334411621
2010-01-06,21.531579971313477
2010-01-07,21.855443954467773
2010-01-08,21.453075408935547
2010-01-11,20.589452743530273
2010-01-12,20.206714630126953
2010-01-13,20.245969772338867
2010-01-14,19.078125
2010-01-15,18.7051944732666
2010-01-19,18.135995864868164
2010-01-20,18.302820205688477
2010-01-21,18.15561866760254
2010-01-22,18.028039932250977
2010-01-25,18.067293167114258
2010-01-26,18.0869197845459
2010-01-27,18.165435791015625
2010-01-28,17.8612060546875
2010-01-29,17.880826950073242
2010-02-01,18.03785514831543
2010-02-02,18.03785514831543
2010-02-03,18.106555938720703
2010-02-04,17.36070442199707
2010-02-05,16.840566635131836
2010-02-08,17.00739860534668
2010-02-09,17.272371292114258
2010-02-10,17.105539321899414
2010-02-11,17.26256561279297
2010-02-12,17.16442108154297
2010-02-16,17.341068267822266
2010-02-17,17.28218650817871
2010-02-18,17.664926528930664
2010-02-19,17.54715919494629
2010-02-22,18.90147590637207
2010-02-23,18.685565948486328
2010-02-24,18.803333282470703
2010-02-25,18.872026443481445
2010-02-26,18.646312713623047
2010-03-01,18.83278465270996
2010-03-02,18.587430953979492
2010-03-03,18.450035095214844
2010-03-04,18.27338409423828
2010-03-05,18.342086791992188
2010-03-08,18.253761291503906
2010-03-09,18.342086791992188
2010-03-10,18.263572692871094
2010-03-11,18.332271575927734
2010-03-12,18.773893356323242
2010-03-15,18.616872787475586
2010-03-16,19.087940216064453
2010-03-17,19.392168045043945
2010-03-18,19.254776000976562
2010-03-19,19.05849266052246
2010-03-22,19.352907180786133
2010-03-23,19.686582565307617
2010-03-24,19.608070373535156
2010-03-25,19.127195358276367
2010-03-26,19.048675537109375
2010-03-29,19.097749710083008
2010-03-30,18.754268646240234
2010-03-31,18.803333282470703
2010-04-01,19.18607521057129
2010-04-05,19.382349014282227
2010-04-06,19.588438034057617
2010-04-07,19.392168045043945
2010-04-08,19.519739151000977
2010-04-09,19.961368560791016
2010-04-12,19.627696990966797
2010-04-13,19.441238403320312
2010-04-14,19.18607521057129
2010-04-15,19.254776000976562
2010-04-16,18.970169067382812
2010-04-19,19.107561111450195
2010-04-20,19.4019775390625
2010-04-21,19.814159393310547
2010-04-22,19.833782196044922
2010-04-23,19.716018676757812
2010-04-26,19.55900001525879
2010-04-27,19.205698013305664
2010-04-28,19.392168045043945
2010-04-29,19.951549530029297
2010-04-30,19.75527572631836
2010-05-03,19.745466232299805
2010-05-04,19.284210205078125
2010-05-05,19.22532844543457
2010-05-06,19.637510299682617
2010-05-07,19.30384063720703
2010-05-10,20.216529846191406
2010-05-11,20.206714630126953
2010-05-12,21.28624153137207
2010-05-13,22.198925018310547
2010-05-14,22.01246452331543
2010-05-17,22.022275924682617
2010-05-18,21.649349212646484
2010-05-19,21.404001235961914
2010-05-20,20.334293365478516
2010-05-21,20.726850509643555
2010-05-24,20.422622680664062
2010-05-25,20.245969772338867
2010-05-26,20.275407791137695
2010-05-27,20.501131057739258
2010-05-28,20.34410858154297
2010-06-01,19.823976516723633
2010-06-02,20.275407791137695
2010-06-03,20.687591552734375
