Date,VNO
2010-01-04,28.5833740234375
2010-01-05,28.36701011657715
2010-01-06,28.252714157104492
2010-01-07,28.689496994018555
2010-01-08,28.3710994720459
2010-01-11,28.460901260375977
2010-01-12,28.06902313232422
2010-01-13,28.762981414794922
2010-01-14,28.881372451782227
2010-01-15,28.61601448059082
2010-01-19,28.852794647216797
2010-01-20,28.228214263916016
2010-01-21,27.146446228027344
2010-01-22,26.415742874145508
2010-01-25,26.497386932373047
2010-01-26,26.460264205932617
2010-01-27,26.839630126953125
2010-01-28,26.674686431884766
2010-01-29,26.670570373535156
2010-02-01,27.23960304260254
2010-02-02,27.573606491088867
2010-02-03,27.021055221557617
2010-02-04,26.03142547607422
2010-02-05,26.501501083374023
2010-02-08,25.92421531677246
2010-02-09,25.981945037841797
2010-02-10,25.878862380981445
2010-02-11,25.767526626586914
2010-02-12,25.854116439819336
2010-02-16,26.56336212158203
2010-02-17,26.32419776916504
2010-02-18,26.732418060302734
2010-02-19,27.058162689208984
2010-02-22,27.082923889160156
2010-02-23,26.625211715698242
2010-02-24,26.93035125732422
2010-02-25,27.087039947509766
2010-02-26,27.099403381347656
2010-03-01,27.2932071685791
2010-03-02,27.359188079833984
2010-03-03,27.400407791137695
2010-03-04,27.680810928344727
2010-03-05,28.559106826782227
2010-03-08,29.08279800415039
2010-03-09,29.458023071289062
2010-03-10,30.006450653076172
2010-03-11,30.15901756286621
2010-03-12,30.431167602539062
2010-03-15,30.35694122314453
2010-03-16,31.09503173828125
2010-03-17,31.445552825927734
2010-03-18,31.371322631835938
2010-03-19,31.10328483581543
2010-03-22,31.28471565246582
2010-03-23,31.32184410095215
2010-03-24,31.49915313720703
2010-03-25,31.664077758789062
2010-03-26,31.560985565185547
2010-03-29,31.725934982299805
2010-03-30,31.647592544555664
2010-03-31,31.21463966369629
2010-04-01,31.27648162841797
2010-04-05,32.31559753417969
2010-04-06,32.81866455078125
2010-04-07,31.853755950927734
2010-04-08,31.763032913208008
2010-04-09,32.6578254699707
2010-04-12,32.26197814941406
2010-04-13,33.610355377197266
2010-04-14,33.41654586791992
2010-04-15,32.26197814941406
2010-04-16,31.58160972595215
2010-04-19,31.680583953857422
2010-04-20,32.200130462646484
2010-04-21,32.83927917480469
2010-04-22,33.5773811340332
2010-04-23,34.022701263427734
2010-04-26,34.488651275634766
2010-04-27,33.40830612182617
2010-04-28,33.59386444091797
2010-04-29,35.61023712158203
2010-04-30,34.3773307800293
2010-05-03,35.48240661621094
