Date,SF
2010-01-04,23.351743698120117
2010-01-05,22.510414123535156
2010-01-06,22.10358238220215
2010-01-07,22.34452247619629
2010-01-08,21.93768310546875
2010-01-11,21.795480728149414
2010-01-12,21.645389556884766
2010-01-13,21.680940628051758
2010-01-14,21.617746353149414
2010-01-15,21.301748275756836
2010-01-19,21.285947799682617
2010-01-20,21.19510269165039
2010-01-21,21.02130699157715
2010-01-22,20.54337501525879
2010-01-25,20.938358306884766
2010-01-26,20.61446762084961
2010-01-27,21.116100311279297
2010-01-28,20.65791893005371
2010-01-29,20.65791893005371
2010-02-01,20.88701057434082
2010-02-02,20.729013442993164
2010-02-03,20.622371673583984
2010-02-04,19.71784210205078
2010-02-05,19.970630645751953
2010-02-08,19.72179412841797
2010-02-09,19.97853660583496
2010-02-10,21.364952087402344
2010-02-11,21.36100196838379
2010-02-12,21.51504135131836
2010-02-16,21.73228645324707
2010-02-17,21.546640396118164
2010-02-18,21.688838958740234
2010-02-19,22.00878143310547
2010-02-22,21.76388931274414
2010-02-23,21.57429313659668
2010-02-24,21.80733871459961
2010-02-25,21.507144927978516
2010-02-26,21.60589599609375
2010-03-01,21.72833824157715
2010-03-02,21.874488830566406
2010-03-03,21.783632278442383
2010-03-04,21.82313346862793
2010-03-05,22.004831314086914
2010-03-08,21.98508644104004
2010-03-09,21.981128692626953
2010-03-10,21.93768310546875
2010-03-11,22.11147117614746
2010-03-12,21.874488830566406
2010-03-15,21.759937286376953
2010-03-16,21.752037048339844
2010-03-17,21.99298095703125
2010-03-18,22.000883102416992
2010-03-19,21.98508644104004
2010-03-22,21.933734893798828
2010-03-23,21.882387161254883
2010-03-24,21.692790985107422
2010-03-25,21.62169647216797
2010-03-26,21.262252807617188
2010-03-29,20.78036880493164
2010-03-30,21.155603408813477
2010-03-31,21.230653762817383
2010-04-01,21.325450897216797
2010-04-05,20.910707473754883
2010-04-06,20.563119888305664
2010-04-07,20.539419174194336
2010-04-08,20.630273818969727
2010-04-09,20.843563079833984
2010-04-12,20.80801010131836
2010-04-13,20.969959259033203
2010-04-14,21.285947799682617
2010-04-15,21.617746353149414
2010-04-16,21.546640396118164
2010-04-19,21.65723991394043
2010-04-20,21.669092178344727
2010-04-21,21.720436096191406
2010-04-22,22.052221298217773
2010-04-23,22.016674041748047
2010-04-26,21.491342544555664
2010-04-27,21.882387161254883
2010-04-28,22.04828453063965
2010-04-29,22.364273071289062
2010-04-30,22.644710540771484
2010-05-03,23.399139404296875
2010-05-04,22.786907196044922
2010-05-05,22.514368057250977
2010-05-06,21.93768310546875
2010-05-07,21.005508422851562
2010-05-10,21.98508644104004
2010-05-11,22.060123443603516
2010-05-12,22.01272964477539
2010-05-13,22.004831314086914
2010-05-14,21.708587646484375
2010-05-17,21.716489791870117
2010-05-18,21.424196243286133
2010-05-19,21.29384994506836
2010-05-20,20.34192657470703
2010-05-21,20.811967849731445
2010-05-24,20.13653564453125
2010-05-25,19.74944305419922
2010-05-26,19.986438751220703
2010-05-27,20.345874786376953
2010-05-28,20.01408576965332
2010-06-01,19.374202728271484
2010-06-02,19.53615379333496
2010-06-03,19.48874855041504
2010-06-04,18.912071228027344
2010-06-07,18.5289249420166
2010-06-08,18.26823616027832
2010-06-09,18.06679344177246
2010-06-10,17.932497024536133
2010-06-11,17.987796783447266
2010-06-14,17.774499893188477
2010-06-15,17.790302276611328
2010-06-16,17.88904571533203
2010-06-17,17.75080680847168
2010-06-18,17.600709915161133
2010-06-21,17.687597274780273
2010-06-22,17.77845001220703
2010-06-23,18.477581024169922
2010-06-24,18.280088424682617
2010-06-25,18.311687469482422
2010-06-28,18.236635208129883
2010-06-29,17.20176887512207
2010-06-30,17.138566970825195
2010-07-01,17.26495933532715
2010-07-02,17.0595703125
2010-07-06,17.103012084960938
2010-07-07,17.608600616455078
2010-07-08,17.813995361328125
2010-07-09,18.177385330200195
2010-07-12,18.043088912963867
2010-07-13,18.580278396606445
2010-07-14,18.394628524780273
2010-07-15,18.20108413696289
2010-07-16,17.55330467224121
2010-07-19,17.69550323486328
2010-07-20,17.900894165039062
2010-07-21,17.573057174682617
2010-07-22,18.070737838745117
2010-07-23,18.323537826538086
2010-07-26,19.0147647857666
2010-07-27,18.8054256439209
2010-07-28,18.46967887878418
2010-07-29,18.50522804260254
2010-07-30,18.303783416748047
2010-08-02,18.912071228027344
2010-08-03,18.769872665405273
2010-08-04,18.975265502929688
2010-08-05,18.825172424316406
2010-08-06,18.240583419799805
2010-08-09,18.5289249420166
2010-08-10,17.636255264282227
2010-08-11,17.853490829467773
2010-08-12,18.137893676757812
2010-08-13,17.853490829467773
2010-08-16,17.84954833984375
2010-08-17,18.24848747253418
2010-08-18,18.18923568725586
2010-08-19,17.908794403076172
2010-08-20,18.050994873046875
2010-08-23,17.995698928833008
2010-08-24,17.81005096435547
2010-08-25,17.97199249267578
2010-08-26,17.84954833984375
2010-08-27,18.1418399810791
2010-08-30,17.509859085083008
2010-08-31,17.095111846923828
2010-09-01,17.80610466003418
2010-09-02,18.062841415405273
2010-09-03,18.8054256439209
2010-09-07,18.485475540161133
2010-09-08,18.623722076416016
2010-09-09,18.698772430419922
2010-09-10,18.73037338256836
2010-09-13,19.362350463867188
2010-09-14,19.216203689575195
2010-09-15,19.40580177307129
2010-09-16,19.311004638671875
2010-09-17,19.287309646606445
2010-09-20,19.654647827148438
2010-09-21,19.567750930786133
2010-09-22,18.93971824645996
2010-09-23,18.60792350769043
2010-09-24,19.08980941772461
2010-09-27,18.95946502685547
2010-09-28,19.06610870361328
