Date,VNOM
2014-06-18,16.78433609008789
2014-06-19,17.29798126220703
2014-06-20,17.635229110717773
2014-06-23,17.75715446472168
2014-06-24,17.12158203125
2014-06-25,16.587177276611328
2014-06-26,16.825841903686523
2014-06-27,17.173463821411133
2014-06-30,17.536649703979492
2014-07-01,16.73244857788086
2014-07-02,17.27204132080078
2014-07-03,17.46919822692871
2014-07-07,17.624855041503906
2014-07-08,17.381000518798828
2014-07-09,17.30836296081543
2014-07-10,17.080074310302734
2014-07-11,16.95555305480957
2014-07-14,16.862163543701172
2014-07-15,16.846595764160156
2014-07-16,17.02300262451172
2014-07-17,17.23572540283203
2014-07-18,17.432884216308594
2014-07-21,17.142337799072266
2014-07-22,17.080074310302734
2014-07-23,16.976314544677734
2014-07-24,16.950368881225586
2014-07-25,16.78433609008789
2014-07-28,16.270689010620117
2014-07-29,16.260316848754883
2014-07-30,15.751852035522461
2014-07-31,15.798552513122559
2014-08-01,15.980147361755371
2014-08-04,15.897130012512207
2014-08-05,15.829684257507324
2014-08-06,15.860809326171875
2014-08-07,16.213611602783203
2014-08-08,16.581995010375977
2014-08-11,16.353702545166016
2014-08-12,16.343326568603516
2014-08-13,16.260316848754883
2014-08-14,16.488603591918945
2014-08-15,16.286256790161133
2014-08-18,16.659820556640625
2014-08-19,17.038564682006836
2014-08-20,16.602741241455078
2014-08-21,16.810283660888672
2014-08-22,16.670196533203125
2014-08-25,16.3485164642334
2014-08-26,16.400405883789062
2014-08-27,16.768770217895508
2014-08-28,16.524921417236328
2014-08-29,16.623502731323242
2014-09-02,16.51453971862793
2014-09-03,16.2655029296875
2014-09-04,15.565072059631348
2014-09-05,15.668846130371094
2014-09-08,15.684410095214844
2014-09-09,15.570259094238281
2014-09-10,15.601391792297363
2014-09-11,15.60658073425293
2014-09-12,15.596207618713379
2014-09-15,14.786822319030762
2014-09-16,14.117522239685059
2014-09-17,14.00856876373291
2014-09-18,13.837352752685547
2014-09-19,13.743963241577148
2014-09-22,12.73741626739502
2014-09-23,12.685535430908203
2014-09-24,12.535069465637207
2014-09-25,11.964356422424316
2014-09-26,12.088871002197266
2014-09-29,12.228960990905762
2014-09-30,12.0525541305542
2014-10-01,12.223772048950195
2014-10-02,12.156325340270996
2014-10-03,12.540262222290039
2014-10-06,12.415746688842773
2014-10-07,12.317163467407227
2014-10-08,11.466273307800293
2014-10-09,10.252196311950684
2014-10-10,9.510260581970215
2014-10-13,8.913599967956543
2014-10-14,9.069247245788574
2014-10-15,9.126320838928223
