Date,IEX
2010-01-04,25.274080276489258
2010-01-05,25.098405838012695
2010-01-06,25.4018497467041
2010-01-07,25.353939056396484
2010-01-08,25.74522590637207
2010-01-11,25.74522590637207
2010-01-12,25.369911193847656
2010-01-13,25.46609878540039
2010-01-14,25.369909286499023
2010-01-15,25.033245086669922
2010-01-19,25.321821212768555
2010-01-20,25.121421813964844
2010-01-21,24.456113815307617
2010-01-22,24.031278610229492
2010-01-25,23.70262908935547
2010-01-26,23.558353424072266
2010-01-27,23.470172882080078
2010-01-28,23.085418701171875
2010-01-29,22.620498657226562
2010-02-01,23.069385528564453
2010-02-02,23.510251998901367
2010-02-03,23.502239227294922
2010-02-04,23.486204147338867
2010-02-05,23.261764526367188
2010-02-08,23.430095672607422
2010-02-09,23.486204147338867
2010-02-10,23.261764526367188
2010-02-11,23.68659782409668
2010-02-12,23.999216079711914
2010-02-16,24.303810119628906
2010-02-17,24.528255462646484
2010-02-18,25.041261672973633
2010-02-19,25.233644485473633
2010-02-22,25.265708923339844
2010-02-23,24.704599380493164
2010-02-24,24.768733978271484
2010-02-25,24.888961791992188
2010-02-26,24.848892211914062
2010-03-01,25.297765731811523
2010-03-02,25.46609878540039
2010-03-03,25.321821212768555
2010-03-04,25.11341094970703
2010-03-05,25.786733627319336
2010-03-08,25.89093017578125
2010-03-09,25.995145797729492
2010-03-10,26.17949104309082
2010-03-11,26.45203399658203
2010-03-12,26.29172706604004
2010-03-15,26.219579696655273
2010-03-16,26.107364654541016
2010-03-17,26.29172706604004
2010-03-18,25.882923126220703
2010-03-19,25.722604751586914
2010-03-22,26.027202606201172
2010-03-23,26.556245803833008
2010-03-24,26.099346160888672
2010-03-25,25.81077766418457
2010-03-26,26.30775260925293
2010-03-29,26.6203670501709
2010-03-30,26.788700103759766
2010-03-31,26.532194137573242
2010-04-01,26.58029556274414
2010-04-05,26.940998077392578
2010-04-06,26.989086151123047
2010-04-07,26.87687110900879
2010-04-08,26.764650344848633
2010-04-09,26.99711036682129
2010-04-12,27.253620147705078
2010-04-13,27.46295738220215
2010-04-14,27.664230346679688
2010-04-15,27.785005569458008
2010-04-16,27.487092971801758
2010-04-19,27.03624153137207
2010-04-20,27.543455123901367
2010-04-21,27.986278533935547
2010-04-22,28.131200790405273
2010-04-23,28.042634963989258
2010-04-26,28.19561767578125
2010-04-27,27.64008331298828
2010-04-28,27.422700881958008
2010-04-29,27.873565673828125
2010-04-30,27.052324295043945
2010-05-03,27.704486846923828
2010-05-04,26.738327026367188
2010-05-05,26.883258819580078
2010-05-06,25.707765579223633
2010-05-07,24.86237907409668
2010-05-10,26.48068618774414
2010-05-11,26.545095443725586
2010-05-12,27.148950576782227
2010-05-13,27.205307006835938
2010-05-14,26.38407325744629
2010-05-17,26.545095443725586
2010-05-18,26.18279266357422
2010-05-19,25.490385055541992
2010-05-20,24.202178955078125
2010-05-21,24.22632598876953
2010-05-24,24.153873443603516
2010-05-25,23.912328720092773
2010-05-26,24.08140754699707
2010-05-27,25.023401260375977
2010-05-28,24.588634490966797
2010-06-01,24.057252883911133
2010-06-02,24.78186798095703
2010-06-03,25.377662658691406
2010-06-04,23.92842674255371
2010-06-07,23.397050857543945
2010-06-08,23.324581146240234
2010-06-09,23.364835739135742
2010-06-10,24.44371795654297
2010-06-11,24.83823013305664
2010-06-14,25.224693298339844
2010-06-15,26.158639907836914
2010-06-16,25.876840591430664
2010-06-17,25.562843322753906
2010-06-18,25.417919158935547
2010-06-21,25.321311950683594
2010-06-22,24.55643081665039
2010-06-23,24.516178131103516
2010-06-24,24.57253646850586
2010-06-25,24.677202224731445
2010-06-28,24.282684326171875
2010-06-29,23.276277542114258
2010-06-30,23.002534866333008
2010-07-01,22.70464324951172
2010-07-02,22.4228458404541
2010-07-06,22.519458770751953
2010-07-07,23.1474609375
2010-07-08,23.34069061279297
2010-07-09,23.574182510375977
2010-07-12,23.6868953704834
2010-07-13,24.641815185546875
2010-07-14,24.625635147094727
2010-07-15,24.49614906311035
2010-07-16,23.436019897460938
2010-07-19,24.091522216796875
2010-07-20,24.7874755859375
2010-07-21,25.17593002319336
2010-07-22,25.73430824279785
2010-07-23,26.2441463470459
2010-07-26,26.414077758789062
2010-07-27,25.944711685180664
2010-07-28,25.612916946411133
2010-07-29,25.73430824279785
2010-07-30,26.033735275268555
2010-08-02,26.527385711669922
2010-08-03,26.373620986938477
2010-08-04,26.584026336669922
2010-08-05,26.71350860595703
2010-08-06,26.616390228271484
2010-08-09,26.786338806152344
2010-08-10,26.422178268432617
2010-08-11,25.49153709411621
2010-08-12,25.256851196289062
2010-08-13,25.038349151611328
2010-08-16,24.941234588623047
2010-08-17,25.556278228759766
2010-08-18,26.017559051513672
2010-08-19,25.305402755737305
2010-08-20,25.321590423583984
2010-08-23,25.094999313354492
2010-08-24,24.38284683227539
2010-08-25,24.439498901367188
2010-08-26,24.21291160583496
2010-08-27,24.836040496826172
2010-08-30,24.164352416992188
2010-08-31,24.10770606994629
2010-09-01,25.305402755737305
2010-09-02,26.07419776916504
2010-09-03,26.503097534179688
2010-09-07,26.171302795410156
2010-09-08,26.357439041137695
2010-09-09,26.470731735229492
2010-09-10,26.584026336669922
2010-09-13,27.22333335876465
2010-09-14,27.126224517822266
2010-09-15,27.22333335876465
2010-09-16,27.46611976623535
2010-09-17,27.73316764831543
2010-09-20,28.396759033203125
2010-09-21,28.356298446655273
2010-09-22,28.09733009338379
2010-09-23,27.62795639038086
2010-09-24,28.493871688842773
2010-09-27,28.315837860107422
2010-09-28,28.744741439819336
