Date,CSV
2010-01-04,3.3636066913604736
2010-01-05,3.346618413925171
2010-01-06,3.3296303749084473
2010-01-07,3.4315578937530518
2010-01-08,3.38059401512146
2010-01-11,3.3381240367889404
2010-01-12,3.2701728343963623
2010-01-13,3.2956554889678955
2010-01-14,3.355112314224243
2010-01-15,3.355112314224243
2010-01-19,3.321136951446533
2010-01-20,3.3126425743103027
2010-01-21,3.2277023792266846
2010-01-22,3.2956554889678955
2010-01-25,3.2531840801239014
2010-01-26,3.2701728343963623
2010-01-27,3.2701728343963623
2010-01-28,3.355112314224243
2010-01-29,3.2701728343963623
2010-02-01,3.2701728343963623
2010-02-02,3.2701728343963623
2010-02-03,3.2701728343963623
2010-02-04,3.210714817047119
2010-02-05,3.2277023792266846
2010-02-08,3.2277023792266846
2010-02-09,3.2192091941833496
2010-02-10,3.2192091941833496
2010-02-11,3.2446908950805664
2010-02-12,3.202221393585205
2010-02-16,3.2956554889678955
2010-02-17,3.2701728343963623
2010-02-18,3.7203528881073
2010-02-19,3.694870710372925
2010-02-22,3.6354126930236816
2010-02-23,3.4825215339660645
2010-02-24,3.4485464096069336
2010-02-25,3.321136951446533
2010-02-26,3.4315578937530518
2010-03-01,3.440052032470703
2010-03-02,3.5080020427703857
2010-03-03,3.592944622039795
2010-03-04,3.558966636657715
2010-03-05,3.6099319458007812
2010-03-08,3.643907308578491
2010-03-09,3.626918315887451
2010-03-10,3.6524009704589844
2010-03-11,3.6693880558013916
2010-03-12,3.6524009704589844
2010-03-15,3.6524009704589844
2010-03-16,3.6608941555023193
2010-03-17,3.6608941555023193
2010-03-18,3.7203528881073
2010-03-19,3.6354126930236816
2010-03-22,3.788304090499878
2010-03-23,3.7798097133636475
2010-03-24,3.7967982292175293
2010-03-25,3.7628211975097656
2010-03-26,3.7373411655426025
2010-03-29,3.8137848377227783
2010-03-30,3.8987250328063965
2010-03-31,3.9072203636169434
2010-04-01,3.949688673019409
2010-04-05,4.102579593658447
2010-04-06,4.119568824768066
2010-04-07,4.1705322265625
2010-04-08,4.204507827758789
2010-04-09,4.153543472290039
2010-04-12,4.119568824768066
2010-04-13,4.213003158569336
2010-04-14,4.272459030151367
2010-04-15,4.255474090576172
2010-04-16,4.263964653015137
2010-04-19,4.246976852416992
2010-04-20,4.289448261260986
2010-04-21,4.272459030151367
2010-04-22,4.306435585021973
2010-04-23,4.323423862457275
2010-04-26,4.297940254211426
2010-04-27,4.229990482330322
2010-04-28,4.187519550323486
2010-04-29,4.23848295211792
2010-04-30,4.221497058868408
2010-05-03,4.213003158569336
2010-05-04,4.111074447631836
2010-05-05,4.204507827758789
2010-05-06,4.1790266036987305
2010-05-07,4.136554718017578
2010-05-10,4.1790266036987305
2010-05-11,4.229990482330322
2010-05-12,4.246976852416992
2010-05-13,4.221497058868408
2010-05-14,4.1790266036987305
2010-05-17,4.128063201904297
2010-05-18,4.060111045837402
2010-05-19,4.068605899810791
2010-05-20,3.949688673019409
2010-05-21,3.9072203636169434
2010-05-24,3.9072203636169434
2010-05-25,3.864750623703003
2010-05-26,3.915712833404541
2010-05-27,3.992159128189087
2010-05-28,3.9666788578033447
2010-06-01,3.9666788578033447
2010-06-02,4.009148120880127
2010-06-03,4.034631252288818
2010-06-04,4.102579593658447
2010-06-07,4.068605899810791
2010-06-08,3.9751691818237305
2010-06-09,4.009148120880127
2010-06-10,4.068605899810791
2010-06-11,4.077099323272705
2010-06-14,4.068605899810791
2010-06-15,4.043124198913574
2010-06-16,4.017640590667725
2010-06-17,4.009148120880127
2010-06-18,4.043124198913574
2010-06-21,4.128063201904297
2010-06-22,4.017640590667725
2010-06-23,4.043124198913574
2010-06-24,3.9327025413513184
2010-06-25,3.949688673019409
2010-06-28,3.9072203636169434
2010-06-29,3.88173770904541
2010-06-30,3.958183765411377
2010-07-01,3.864750623703003
2010-07-02,4.034631252288818
2010-07-06,3.8307747840881348
2010-07-07,3.88173770904541
2010-07-08,3.949688673019409
2010-07-09,3.8307747840881348
2010-07-12,4.009148120880127
2010-07-13,4.034631252288818
2010-07-14,3.992159128189087
2010-07-15,3.915712833404541
2010-07-16,3.7373411655426025
2010-07-19,3.677882432937622
2010-07-20,3.8222815990448
2010-07-21,3.8392670154571533
2010-07-22,3.9072203636169434
2010-07-23,3.88173770904541
2010-07-26,3.864750623703003
2010-07-27,3.8477623462677
2010-07-28,3.88173770904541
2010-07-29,3.941195011138916
2010-07-30,3.958183765411377
2010-08-02,3.949688673019409
2010-08-03,3.9327025413513184
2010-08-04,3.9836642742156982
2010-08-05,3.9327025413513184
2010-08-06,3.8902318477630615
2010-08-09,3.9666788578033447
2010-08-10,3.9751691818237305
2010-08-11,3.8222815990448
2010-08-12,3.8222815990448
2010-08-13,3.8392670154571533
2010-08-16,3.856255054473877
2010-08-17,3.88173770904541
2010-08-18,3.949688673019409
2010-08-19,3.864750623703003
2010-08-20,3.8222815990448
2010-08-23,3.8222815990448
2010-08-24,3.8222815990448
2010-08-25,3.8222815990448
2010-08-26,3.8222815990448
2010-08-27,3.88173770904541
2010-08-30,3.864750623703003
2010-08-31,3.8222815990448
2010-09-01,3.958183765411377
2010-09-02,3.9327025413513184
2010-09-03,3.9327025413513184
2010-09-07,3.958183765411377
2010-09-08,4.026134014129639
2010-09-09,4.068605899810791
2010-09-10,3.9242072105407715
2010-09-13,3.9666788578033447
2010-09-14,3.958183765411377
2010-09-15,4.026134014129639
2010-09-16,3.9666788578033447
2010-09-17,4.043124198913574
2010-09-20,4.162038803100586
2010-09-21,4.119568824768066
