Date,MSM
2010-01-04,26.13949966430664
2010-01-05,26.964435577392578
2010-01-06,27.16241455078125
2010-01-07,26.22747039794922
2010-01-08,26.271480560302734
2010-01-11,25.92500114440918
2010-01-12,25.336536407470703
2010-01-13,25.7545166015625
2010-01-14,25.82631492614746
2010-01-15,25.76556968688965
2010-01-19,25.89259910583496
2010-01-20,25.229820251464844
2010-01-21,24.98127555847168
2010-01-22,24.445528030395508
2010-01-25,24.462099075317383
2010-01-26,24.23564910888672
2010-01-27,24.638837814331055
2010-01-28,24.14727210998535
2010-01-29,23.854549407958984
2010-02-01,24.36268424987793
2010-02-02,25.174589157104492
2010-02-03,24.81005096435547
2010-02-04,23.99262809753418
2010-02-05,24.014726638793945
2010-02-08,23.893207550048828
2010-02-09,24.003673553466797
2010-02-10,24.19698715209961
2010-02-11,24.473146438598633
2010-02-12,24.79901123046875
2010-02-16,25.196687698364258
2010-02-17,25.533594131469727
2010-02-18,25.57225799560547
2010-02-19,25.726905822753906
2010-02-22,25.88707160949707
2010-02-23,25.522552490234375
2010-02-24,25.61644744873047
2010-02-25,25.31818199157715
2010-02-26,25.169055938720703
2010-03-01,25.726905822753906
2010-03-02,25.81527328491211
2010-03-03,25.909162521362305
2010-03-04,25.98095703125
2010-03-05,26.45044708251953
2010-03-08,26.5388126373291
2010-03-09,26.328935623168945
2010-03-10,26.62718391418457
2010-03-11,26.759746551513672
2010-03-12,26.87571907043457
2010-03-15,27.102176666259766
2010-03-16,27.27339744567871
2010-03-17,27.582698822021484
2010-03-18,27.770465850830078
2010-03-19,27.394899368286133
2010-03-22,27.891983032226562
2010-03-23,28.389070510864258
2010-03-24,27.76494789123535
2010-03-25,28.052156448364258
2010-03-26,28.190237045288086
2010-03-29,28.250991821289062
2010-03-30,28.23994255065918
2010-03-31,28.01349639892578
2010-04-01,28.328319549560547
2010-04-05,29.14021873474121
2010-04-06,29.38324546813965
2010-04-07,31.741621017456055
2010-04-08,31.410240173339844
2010-04-09,30.598337173461914
2010-04-12,30.399497985839844
2010-04-13,30.918672561645508
2010-04-14,31.001832962036133
2010-04-15,30.591646194458008
2010-04-16,30.94084358215332
2010-04-19,30.8798770904541
2010-04-20,30.874332427978516
2010-04-21,30.807830810546875
2010-04-22,31.290063858032227
2010-04-23,31.3011531829834
2010-04-26,31.423080444335938
2010-04-27,30.48079490661621
2010-04-28,30.763477325439453
2010-04-29,31.201372146606445
2010-04-30,30.203638076782227
2010-05-03,31.096054077148438
2010-05-04,29.582820892333984
2010-05-05,29.250246047973633
2010-05-06,29.01189613342285
2010-05-07,28.280221939086914
2010-05-10,29.544015884399414
2010-05-11,29.76573944091797
2010-05-12,30.414264678955078
2010-05-13,29.88768768310547
2010-05-14,29.555112838745117
2010-05-17,29.616069793701172
2010-05-18,29.588367462158203
2010-05-19,28.70703887939453
2010-05-20,27.470962524414062
2010-05-21,27.936565399169922
2010-05-24,27.703767776489258
2010-05-25,27.5929012298584
2010-05-26,27.853412628173828
2010-05-27,28.695945739746094
