Date,COP
2010-01-04,23.181873321533203
2010-01-05,23.20391082763672
2010-01-06,23.371450424194336
2010-01-07,23.278871536254883
2010-01-08,23.48167610168457
2010-01-11,23.61834716796875
2010-01-12,23.115737915039062
2010-01-13,23.261226654052734
2010-01-14,23.358224868774414
2010-01-15,23.375865936279297
2010-01-19,23.680070877075195
2010-01-20,23.39350700378418
2010-01-21,23.031963348388672
2010-01-22,22.308916091918945
2010-01-25,22.375051498413086
2010-01-26,22.233957290649414
2010-01-27,21.960617065429688
2010-01-28,21.316917419433594
2010-01-29,21.162601470947266
2010-02-01,21.634353637695312
2010-02-02,22.110517501831055
2010-02-03,22.039976119995117
2010-02-04,21.233150482177734
2010-02-05,21.15378189086914
2010-02-08,20.884843826293945
2010-02-09,21.378644943237305
2010-02-10,21.27723503112793
2010-02-11,21.55940055847168
2010-02-12,21.457996368408203
2010-02-16,22.009111404418945
2010-02-17,21.735755920410156
2010-02-18,21.76693344116211
2010-02-19,21.780298233032227
2010-02-22,21.691221237182617
2010-02-23,21.31262969970703
2010-02-24,21.535327911376953
2010-02-25,21.513046264648438
2010-02-26,21.379440307617188
2010-03-01,21.78476333618164
2010-03-02,22.141077041625977
2010-03-03,21.994098663330078
2010-03-04,21.97627830505371
2010-03-05,22.45286750793457
2010-03-08,22.59538459777832
2010-03-09,22.648839950561523
2010-03-10,22.92498779296875
2010-03-11,22.849273681640625
2010-03-12,23.018531799316406
2010-03-15,23.005163192749023
2010-03-16,23.236774444580078
2010-03-17,23.597551345825195
2010-03-18,23.477293014526367
2010-03-19,23.325857162475586
2010-03-22,23.205602645874023
2010-03-23,23.388206481933594
2010-03-24,23.39712142944336
2010-03-25,22.95171546936035
2010-03-26,22.724559783935547
2010-03-29,22.782470703125
2010-03-30,22.831453323364258
2010-03-31,22.791364669799805
2010-04-01,23.169958114624023
2010-04-05,23.731172561645508
2010-04-06,23.740093231201172
2010-04-07,23.56637191772461
2010-04-08,24.02513885498047
2010-04-09,24.639802932739258
2010-04-12,24.924861907958984
2010-04-13,24.795692443847656
2010-04-14,25.339078903198242
2010-04-15,25.41480255126953
2010-04-16,24.964946746826172
2010-04-19,25.22772789001465
2010-04-20,25.566240310668945
2010-04-21,25.486068725585938
2010-04-22,25.379175186157227
2010-04-23,25.873563766479492
2010-04-26,25.96710205078125
2010-04-27,25.628599166870117
2010-04-28,26.07845687866211
2010-04-29,26.323423385620117
2010-04-30,26.3635196685791
2010-05-03,26.590669631958008
2010-05-04,25.83793830871582
2010-05-05,25.281171798706055
2010-05-06,24.5373592376709
2010-05-07,24.354745864868164
2010-05-10,25.2410945892334
2010-05-11,25.512800216674805
2010-05-12,25.690969467163086
2010-05-13,25.361356735229492
2010-05-14,24.871410369873047
2010-05-17,24.58190155029297
2010-05-18,24.35028076171875
2010-05-19,24.011781692504883
2010-05-20,22.918298721313477
2010-05-21,23.161277770996094
2010-05-24,22.549293518066406
2010-05-25,22.46379280090332
2010-05-26,22.306289672851562
2010-05-27,23.494291305541992
2010-05-28,23.33678436279297
2010-06-01,22.648290634155273
2010-06-02,23.620275497436523
2010-06-03,23.390789031982422
2010-06-04,22.526792526245117
2010-06-07,22.315290451049805
2010-06-08,22.87778091430664
2010-06-09,22.823793411254883
2010-06-10,24.016279220581055
2010-06-11,24.074779510498047
2010-06-14,23.75978660583496
2010-06-15,24.434770584106445
2010-06-16,24.51126480102539
2010-06-17,24.830766677856445
2010-06-18,25.204269409179688
2010-06-21,25.10976791381836
2010-06-22,24.506771087646484
2010-06-23,24.07927131652832
2010-06-24,23.6292781829834
2010-06-25,23.363786697387695
2010-06-28,23.035282135009766
2010-06-29,22.42779541015625
2010-06-30,22.090299606323242
2010-07-01,21.991296768188477
2010-07-02,21.968791961669922
2010-07-06,22.139795303344727
2010-07-07,23.02178192138672
2010-07-08,23.197296142578125
2010-07-09,23.5347843170166
2010-07-12,23.44478988647461
2010-07-13,23.948781967163086
2010-07-14,23.75978660583496
2010-07-15,23.78677749633789
2010-07-16,23.332292556762695
2010-07-19,23.32779312133789
2010-07-20,23.69677734375
2010-07-21,23.453781127929688
2010-07-22,23.971290588378906
2010-07-23,24.205284118652344
2010-07-26,24.493270874023438
2010-07-27,24.49778175354004
2010-07-28,24.49778175354004
2010-07-29,24.802349090576172
2010-07-30,25.10237693786621
2010-08-02,26.152481079101562
2010-08-03,26.166112899780273
2010-08-04,26.10247802734375
2010-08-05,26.22974967956543
2010-08-06,25.879716873168945
2010-08-09,26.052461624145508
2010-08-10,25.85245704650879
2010-08-11,25.234201431274414
2010-08-12,25.16147232055664
2010-08-13,25.01145362854004
2010-08-16,24.970539093017578
2010-08-17,25.397865295410156
2010-08-18,25.19329071044922
2010-08-19,24.870525360107422
2010-08-20,24.49778175354004
2010-08-23,24.415943145751953
2010-08-24,24.288663864135742
2010-08-25,24.302297592163086
2010-08-26,23.824987411499023
2010-08-27,24.284120559692383
2010-08-30,23.943185806274414
2010-08-31,23.834070205688477
2010-09-01,24.575054168701172
2010-09-02,24.743261337280273
2010-09-03,25.025096893310547
2010-09-07,24.393211364746094
2010-09-08,24.693246841430664
2010-09-09,24.879629135131836
2010-09-10,24.888729095458984
2010-09-13,25.17510986328125
2010-09-14,25.17055892944336
2010-09-15,25.256935119628906
2010-09-16,25.166019439697266
2010-09-17,25.125110626220703
2010-09-20,25.834266662597656
2010-09-21,25.693344116210938
2010-09-22,25.484237670898438
2010-09-23,25.10237693786621
2010-09-24,25.620609283447266
2010-09-27,25.575151443481445
2010-09-28,25.952463150024414
