Date,TMDX
2019-05-02,22.360000610351562
2019-05-03,24.799999237060547
2019-05-06,27.40999984741211
2019-05-07,26.290000915527344
2019-05-08,25.0
2019-05-09,25.190000534057617
2019-05-10,26.729999542236328
2019-05-13,26.989999771118164
2019-05-14,27.18000030517578
2019-05-15,27.049999237060547
2019-05-16,28.84000015258789
2019-05-17,29.610000610351562
2019-05-20,29.68000030517578
2019-05-21,30.0
2019-05-22,30.40999984741211
2019-05-23,28.8700008392334
2019-05-24,28.8799991607666
2019-05-28,30.139999389648438
2019-05-29,26.5
2019-05-30,27.34000015258789
2019-05-31,27.190000534057617
2019-06-03,27.639999389648438
2019-06-04,27.950000762939453
2019-06-05,26.81999969482422
2019-06-06,26.469999313354492
2019-06-07,26.5
2019-06-10,26.579999923706055
2019-06-11,26.510000228881836
2019-06-12,25.969999313354492
2019-06-13,24.920000076293945
2019-06-14,26.020000457763672
2019-06-17,26.489999771118164
2019-06-18,28.0
2019-06-19,27.229999542236328
2019-06-20,27.989999771118164
2019-06-21,27.020000457763672
2019-06-24,28.15999984741211
2019-06-25,28.0
2019-06-26,27.860000610351562
2019-06-27,27.739999771118164
2019-06-28,28.989999771118164
2019-07-01,28.93000030517578
2019-07-02,26.93000030517578
2019-07-03,26.530000686645508
2019-07-05,26.059999465942383
2019-07-08,25.899999618530273
2019-07-09,25.5
2019-07-10,25.559999465942383
2019-07-11,25.5
2019-07-12,25.5
2019-07-15,25.299999237060547
2019-07-16,23.790000915527344
2019-07-17,23.25
2019-07-18,24.850000381469727
2019-07-19,25.93000030517578
2019-07-22,25.690000534057617
2019-07-23,26.860000610351562
2019-07-24,26.670000076293945
2019-07-25,26.829999923706055
2019-07-26,25.899999618530273
2019-07-29,25.559999465942383
2019-07-30,25.139999389648438
2019-07-31,23.729999542236328
2019-08-01,23.649999618530273
2019-08-02,23.260000228881836
2019-08-05,21.889999389648438
2019-08-06,21.959999084472656
2019-08-07,22.399999618530273
2019-08-08,21.030000686645508
2019-08-09,20.479999542236328
2019-08-12,20.940000534057617
2019-08-13,20.809999465942383
2019-08-14,20.270000457763672
2019-08-15,20.350000381469727
2019-08-16,20.5
2019-08-19,21.0
2019-08-20,21.5
2019-08-21,21.790000915527344
2019-08-22,23.200000762939453
2019-08-23,23.280000686645508
2019-08-26,24.1299991607666
2019-08-27,23.889999389648438
2019-08-28,24.170000076293945
2019-08-29,23.950000762939453
2019-08-30,23.950000762939453
2019-09-03,23.969999313354492
2019-09-04,23.959999084472656
2019-09-05,23.5
2019-09-06,23.84000015258789
2019-09-09,23.950000762939453
2019-09-10,23.350000381469727
2019-09-11,24.719999313354492
2019-09-12,24.75
2019-09-13,23.979999542236328
2019-09-16,24.0
2019-09-17,23.799999237060547
2019-09-18,24.34000015258789
2019-09-19,25.270000457763672
2019-09-20,24.729999542236328
2019-09-23,24.65999984741211
2019-09-24,23.799999237060547
2019-09-25,23.200000762939453
2019-09-26,23.350000381469727
2019-09-27,23.690000534057617
2019-09-30,23.75
2019-10-01,21.639999389648438
2019-10-02,20.06999969482422
2019-10-03,18.829999923706055
2019-10-04,18.09000015258789
2019-10-07,17.31999969482422
2019-10-08,17.010000228881836
2019-10-09,17.579999923706055
2019-10-10,19.43000030517578
2019-10-11,18.469999313354492
2019-10-14,17.75
2019-10-15,17.809999465942383
2019-10-16,17.899999618530273
2019-10-17,18.209999084472656
2019-10-18,17.739999771118164
2019-10-21,17.729999542236328
2019-10-22,17.81999969482422
2019-10-23,17.799999237060547
2019-10-24,18.049999237060547
2019-10-25,17.850000381469727
2019-10-28,18.299999237060547
2019-10-29,17.989999771118164
2019-10-30,17.809999465942383
2019-10-31,17.940000534057617
2019-11-01,19.510000228881836
2019-11-04,20.06999969482422
2019-11-05,19.350000381469727
2019-11-06,17.25
2019-11-07,16.610000610351562
2019-11-08,16.950000762939453
2019-11-11,16.84000015258789
2019-11-12,17.440000534057617
2019-11-13,17.229999542236328
2019-11-14,17.8700008392334
2019-11-15,18.309999465942383
2019-11-18,18.190000534057617
2019-11-19,17.979999542236328
2019-11-20,17.850000381469727
2019-11-21,17.290000915527344
2019-11-22,18.0
2019-11-25,18.729999542236328
2019-11-26,18.920000076293945
2019-11-27,18.969999313354492
2019-11-29,18.75
2019-12-02,17.489999771118164
2019-12-03,17.709999084472656
2019-12-04,17.700000762939453
2019-12-05,18.65999984741211
2019-12-06,19.030000686645508
2019-12-09,20.0
2019-12-10,20.010000228881836
2019-12-11,19.3799991607666
2019-12-12,17.579999923706055
2019-12-13,18.75
2019-12-16,18.799999237060547
2019-12-17,18.8799991607666
2019-12-18,19.15999984741211
2019-12-19,18.469999313354492
2019-12-20,18.6200008392334
2019-12-23,19.139999389648438
2019-12-24,19.059999465942383
2019-12-26,19.1200008392334
2019-12-27,18.59000015258789
2019-12-30,18.790000915527344
2019-12-31,19.010000228881836
2020-01-02,19.06999969482422
2020-01-03,18.84000015258789
2020-01-06,17.809999465942383
2020-01-07,17.979999542236328
2020-01-08,17.809999465942383
2020-01-09,17.959999084472656
2020-01-10,18.719999313354492
2020-01-13,19.059999465942383
2020-01-14,19.43000030517578
2020-01-15,18.899999618530273
2020-01-16,19.200000762939453
2020-01-17,19.709999084472656
2020-01-21,20.200000762939453
2020-01-22,19.59000015258789
2020-01-23,20.0
2020-01-24,19.950000762939453
2020-01-27,19.75
2020-01-28,20.030000686645508
2020-01-29,18.799999237060547
2020-01-30,17.860000610351562
2020-01-31,17.510000228881836
2020-02-03,17.760000228881836
2020-02-04,17.299999237060547
