Date,THRD
2022-09-15,19.68000030517578
2022-09-16,18.0
2022-09-19,17.0
2022-09-20,16.799999237060547
2022-09-21,16.8799991607666
2022-09-22,16.75
2022-09-23,17.0
2022-09-26,17.43000030517578
2022-09-27,19.93000030517578
2022-09-28,18.969999313354492
2022-09-29,18.84000015258789
2022-09-30,18.969999313354492
2022-10-03,17.0
2022-10-04,17.0
2022-10-05,19.1200008392334
2022-10-06,19.450000762939453
2022-10-07,20.010000228881836
2022-10-10,19.3700008392334
2022-10-11,19.0
2022-10-12,17.75
2022-10-13,17.75
2022-10-14,17.059999465942383
2022-10-17,17.229999542236328
2022-10-18,16.65999984741211
2022-10-19,16.93000030517578
2022-10-20,17.3799991607666
2022-10-21,17.309999465942383
2022-10-24,17.399999618530273
2022-10-25,18.399999618530273
2022-10-26,17.829999923706055
2022-10-27,19.350000381469727
2022-10-28,22.389999389648438
2022-10-31,23.969999313354492
2022-11-01,23.1200008392334
2022-11-02,21.700000762939453
2022-11-03,21.809999465942383
2022-11-04,20.799999237060547
2022-11-07,20.68000030517578
2022-11-08,19.989999771118164
2022-11-09,20.0
2022-11-10,19.75
2022-11-11,19.020000457763672
2022-11-14,18.010000228881836
2022-11-15,18.229999542236328
2022-11-16,18.100000381469727
2022-11-17,18.3700008392334
2022-11-18,19.780000686645508
2022-11-21,19.0
2022-11-22,19.760000228881836
2022-11-23,19.0
2022-11-25,18.959999084472656
2022-11-28,18.920000076293945
2022-11-29,18.889999389648438
2022-11-30,19.5
2022-12-01,21.770000457763672
2022-12-02,20.989999771118164
2022-12-05,22.0
2022-12-06,21.559999465942383
2022-12-07,19.579999923706055
2022-12-08,20.510000228881836
2022-12-09,19.040000915527344
2022-12-12,20.420000076293945
2022-12-13,20.579999923706055
2022-12-14,19.799999237060547
2022-12-15,4.300000190734863
2022-12-16,4.400000095367432
2022-12-19,4.300000190734863
2022-12-20,4.0
2022-12-21,4.130000114440918
2022-12-22,4.039999961853027
2022-12-23,4.210000038146973
2022-12-27,4.170000076293945
2022-12-28,4.179999828338623
2022-12-29,4.199999809265137
2022-12-30,4.300000190734863
2023-01-03,4.150000095367432
2023-01-04,4.340000152587891
2023-01-05,4.300000190734863
2023-01-06,4.199999809265137
2023-01-09,4.199999809265137
2023-01-10,4.300000190734863
2023-01-11,4.340000152587891
2023-01-12,4.489999771118164
2023-01-13,4.400000095367432
2023-01-17,4.360000133514404
2023-01-18,4.400000095367432
2023-01-19,4.309999942779541
2023-01-20,4.320000171661377
2023-01-23,4.28000020980835
2023-01-24,4.25
2023-01-25,4.25
2023-01-26,4.25
2023-01-27,4.269999980926514
2023-01-30,4.25
2023-01-31,4.369999885559082
2023-02-01,4.360000133514404
2023-02-02,4.449999809265137
2023-02-03,4.409999847412109
2023-02-06,4.340000152587891
2023-02-07,4.360000133514404
2023-02-08,4.309999942779541
2023-02-09,4.329999923706055
2023-02-10,4.309999942779541
2023-02-13,4.340000152587891
2023-02-14,4.320000171661377
2023-02-15,4.300000190734863
2023-02-16,4.269999980926514
2023-02-17,4.309999942779541
2023-02-21,4.25
2023-02-22,4.239999771118164
2023-02-23,4.25
2023-02-24,4.25
2023-02-27,4.199999809265137
2023-02-28,4.239999771118164
2023-03-01,4.25
2023-03-02,4.199999809265137
2023-03-03,4.199999809265137
2023-03-06,4.199999809265137
2023-03-07,4.25
2023-03-08,4.210000038146973
2023-03-09,3.950000047683716
2023-03-10,3.950000047683716
2023-03-13,4.059999942779541
2023-03-14,3.9800000190734863
2023-03-15,4.079999923706055
2023-03-16,4.0
2023-03-17,4.070000171661377
2023-03-20,4.039999961853027
2023-03-21,4.170000076293945
2023-03-22,4.099999904632568
2023-03-23,4.190000057220459
2023-03-24,4.360000133514404
2023-03-27,4.289999961853027
2023-03-28,4.260000228881836
2023-03-29,4.360000133514404
2023-03-30,4.110000133514404
2023-03-31,4.119999885559082
2023-04-03,4.21999979019165
2023-04-04,4.179999828338623
2023-04-05,4.239999771118164
